,Symbol,Expiration,Size,Strike,Spot,Received,Type,Cap,diff
0,PXD,2021/03/19,$1.40M,130.0,128.25,2021/01/16 04:28,Call,1400.0,59
1,PXD,2021/03/19,$840.00K,140.0,128.25,2021/01/16 04:28,Call,840.0,59
2,CCL,2021/01/22,$368.94K,21.0,20.95,2021/01/16 04:27,Put,368.94,3
3,SWBI,2021/02/19,$128.38K,17.5,21.13,2021/01/16 04:27,Put,128.38,31
4,SWBI,2021/02/19,$74.89K,30.0,21.13,2021/01/16 04:27,Call,74.89,31
5,SWBI,2021/02/19,$274.58K,25.0,21.13,2021/01/16 04:27,Call,274.58,31
6,AMC,2021/02/19,$226.00K,3.0,2.38,2021/01/16 04:26,Put,226.0,31
7,AMC,2021/02/19,$126.00K,3.0,2.38,2021/01/16 04:26,Call,126.0,31
8,GE,2021/02/19,$135.64K,12.0,11.4,2021/01/16 04:25,Call,135.64,31
9,UAL,2021/03/19,$1.22M,45.0,44.11,2021/01/16 04:25,Call,1220.0,59
10,DBX,2021/07/16,$401.97K,28.0,22.17,2021/01/16 04:24,Call,401.97,178
13,RIOT,2021/01/22,$141.41K,32.0,25.41,2021/01/16 04:19,Call,141.41,3
14,SPCE,2021/01/29,$70.04K,40.0,30.69,2021/01/16 04:19,Call,70.04,10
16,NIO,2021/01/22,$83.30K,65.0,55.89,2021/01/16 04:17,Call,83.3,3
17,NOK,2021/04/16,$335.38K,2.0,4.13,2021/01/16 04:17,Call,335.38,87
18,SWCH,2021/02/19,$63.00K,18.0,16.61,2021/01/16 04:16,Call,63.0,31
19,X,2023/01/20,$275.00K,5.0,20.93,2021/01/16 04:15,Put,275.0,731
20,BRK/B,2021/01/22,$44.00K,225.0,234.47,2021/01/16 04:14,Put,44.0,3
21,AAL,2021/01/22,$112.00K,16.0,15.78,2021/01/16 04:13,Put,112.0,3
22,NYMT,2022/01/21,$98.70K,3.0,3.72,2021/01/16 04:12,Put,98.7,367
23,XOM,2021/03/19,$727.20K,50.0,48.14,2021/01/16 04:12,Call,727.2,59
25,NYMT,2022/01/21,$103.83K,3.0,3.71,2021/01/16 04:09,Put,103.83,367
26,CSCO,2021/06/18,$945.00K,45.0,45.46,2021/01/16 04:07,Put,945.0,150
29,AAL,2021/01/22,$140.00K,16.0,15.78,2021/01/16 04:05,Put,140.0,3
30,SNAP,2021/03/19,$405.00K,60.0,50.01,2021/01/16 04:03,Call,405.0,59
31,NYMT,2022/01/21,$125.00K,3.0,3.71,2021/01/16 04:03,Put,125.0,367
