,Symbol,Expiration,Size,Strike,Spot,Received,dt,Type,Cap,diff
2,TWTR,2021/02/19,$567.24K,55.0,48.05,2021/01/23 04:27,20210122,Call,567.24,17
6,PLTR,2021/03/19,$922.50K,32.0,32.08,2021/01/23 04:17,20210122,Call,922.5,45
7,PLTR,2021/03/19,$922.50K,32.0,32.08,2021/01/23 04:17,20210122,Put,922.5,45
9,EXC,2021/02/19,$90.00K,44.0,42.58,2021/01/23 04:17,20210122,Call,90.0,17
11,NOK,2021/06/18,$12.21K,10.0,4.2,2021/01/23 04:17,20210122,Call,12.21,136
17,STIM,2021/03/19,$188.00K,30.0,21.55,2021/01/23 04:15,20210122,Call,188.0,45
18,ENPH,2021/02/19,$1.23M,180.0,210.29,2021/01/23 04:11,20210122,Put,1230.0,17
19,ENPH,2021/02/19,$2.69M,200.0,210.29,2021/01/23 04:11,20210122,Put,2690.0,17
20,FAST,2021/02/19,$187.50K,47.1,47.7,2021/01/23 04:11,20210122,Put,187.5,17
21,FAST,2021/02/19,$90.00K,49.6,47.7,2021/01/23 04:11,20210122,Call,90.0,17
23,SPG,2021/03/19,$4.28M,100.0,95.9,2021/01/23 04:10,20210122,Put,4280.0,45
25,IQ,2022/01/21,$916.84K,10.0,20.67,2021/01/23 04:09,20210122,Put,916.84,353
29,TSM,2021/02/19,$914.60K,150.0,129.83,2021/01/23 04:06,20210122,Call,914.6,17
31,TSM,2021/02/19,$171.60K,150.0,129.83,2021/01/23 04:05,20210122,Call,171.6,17
33,ZNGA,2021/02/05,$65.00K,11.5,10.69,2021/01/23 04:02,20210122,Call,65.0,3
34,CCXI,2021/08/20,$2.30M,70.0,64.03,2021/01/23 04:00,20210122,Call,2300.0,199
35,TLRY,2021/03/19,$1.97M,8.0,18.17,2021/01/23 04:00,20210122,Call,1970.0,45
36,TLRY,2021/03/19,$2.06M,7.0,18.17,2021/01/23 04:00,20210122,Call,2060.0,45
37,TLRY,2022/01/21,$4.03M,5.0,18.17,2021/01/23 04:00,20210122,Call,4030.0000000000005,353
38,TLRY,2021/03/19,$2.68M,7.0,18.17,2021/01/23 04:00,20210122,Call,2680.0,45
39,SENS,2021/02/19,$32.36K,5.0,2.28,2021/01/23 04:00,20210122,Call,32.36,17
40,SNAP,2021/02/19,$291.60K,70.0,53.48,2021/01/23 03:57,20210122,Call,291.6,17
44,BRK/B,2021/02/05,$136.00K,240.0,233.64,2021/01/23 03:53,20210122,Call,136.0,3
45,PLUG,2021/02/05,$138.67K,90.0,65.76,2021/01/23 03:50,20210122,Call,138.67,3
49,NNDM,2021/02/19,$840.00K,10.0,14.37,2021/01/23 03:46,20210122,Call,840.0,17
50,FBP,2021/03/19,$50.00K,8.0,9.86,2021/01/23 03:44,20210122,Put,50.0,45
51,BHC,2021/02/05,$320.60K,25.0,26.49,2021/01/23 03:43,20210122,Call,320.6,3
53,BHC,2021/02/05,$84.53K,28.0,26.49,2021/01/23 03:43,20210122,Call,84.53,3
54,NIO,2021/02/19,$446.61K,80.0,61.89,2021/01/23 03:42,20210122,Call,446.61,17
55,NIO,2021/03/19,$881.22K,75.0,61.9,2021/01/23 03:42,20210122,Call,881.22,45
56,TPR,2021/05/21,$331.32K,30.0,33.99,2021/01/23 03:41,20210122,Put,331.32,108
57,TPR,2021/05/21,$421.68K,37.5,33.99,2021/01/23 03:41,20210122,Call,421.68,108
58,BBBY,2021/02/19,$440.00K,31.0,28.71,2021/01/23 03:41,20210122,Call,440.0,17
60,IFF,2021/02/19,$7.72M,150.0,115.57,2021/01/23 03:39,20210122,Put,7720.0,17
61,IFF,2021/02/19,$48.40K,150.0,115.57,2021/01/23 03:39,20210122,Call,48.4,17
63,MAC,2021/03/19,$111.12K,10.0,14.49,2021/01/23 03:35,20210122,Put,111.12,45
64,MAC,2021/03/19,$178.25K,20.0,14.49,2021/01/23 03:35,20210122,Call,178.25,45
65,PBR,2021/03/19,$350.28K,10.0,10.11,2021/01/23 03:33,20210122,Call,350.28,45
70,TWTR,2021/02/19,$483.22K,55.0,48.0,2021/01/23 03:29,20210122,Call,483.22,17
71,GSX,2021/02/19,$1.21M,80.0,90.91,2021/01/23 03:29,20210122,Put,1210.0,17
72,GSX,2021/02/19,$702.21K,70.0,90.91,2021/01/23 03:29,20210122,Put,702.21,17
73,AMC,2021/03/19,$116.00K,6.0,3.45,2021/01/23 03:28,20210122,Call,116.0,45
74,AMC,2021/03/19,$620.00K,6.0,3.45,2021/01/23 03:28,20210122,Put,620.0,45
75,AMC,2021/03/19,$302.00K,4.0,3.46,2021/01/23 03:27,20210122,Put,302.0,45
76,SFIX,2021/02/19,$1.67M,90.0,89.08,2021/01/23 03:27,20210122,Call,1670.0,17
77,HLT,2021/03/19,$268.51K,85.0,104.83,2021/01/23 03:26,20210122,Put,268.51,45
78,AMC,2021/02/19,$136.00K,5.0,3.45,2021/01/23 03:26,20210122,Call,136.0,17
79,AMC,2021/02/19,$442.00K,5.0,3.45,2021/01/23 03:26,20210122,Put,442.0,17
81,VRM,2021/02/19,$187.50K,45.0,36.75,2021/01/23 03:22,20210122,Call,187.5,17
82,TSM,2021/02/19,$287.68K,145.0,129.99,2021/01/23 03:20,20210122,Call,287.68,17
83,GE,2021/02/12,$52.35K,12.0,11.15,2021/01/23 03:19,20210122,Call,52.35,10
84,ABR,2022/01/21,$325.00K,10.0,14.57,2021/01/23 03:11,20210122,Put,325.0,353
85,ABR,2023/01/20,$400.00K,7.5,14.57,2021/01/23 03:11,20210122,Put,400.0,717
86,TOL,2021/03/19,$496.36K,55.0,50.43,2021/01/23 03:09,20210122,Call,496.36,45
87,GME,2021/03/19,$1.38M,37.0,58.47,2021/01/23 03:08,20210122,Put,1380.0,45
88,GSX,2021/03/19,$8.05M,100.0,91.69,2021/01/23 03:07,20210122,Put,8050.000000000001,45
89,GSX,2021/03/19,$4.89M,100.0,91.69,2021/01/23 03:07,20210122,Call,4890.0,45
90,MAC,2021/03/19,$104.17K,10.0,14.31,2021/01/23 03:05,20210122,Put,104.17,45
91,MAC,2021/03/19,$150.95K,20.0,14.31,2021/01/23 03:05,20210122,Call,150.95,45
92,SQ,2021/06/18,$13.74M,240.0,221.67,2021/01/23 03:03,20210122,Call,13740.0,136
93,PLUG,2021/02/05,$291.76K,90.0,64.94,2021/01/23 02:57,20210122,Call,291.76,3
94,AA,2021/02/19,$594.88K,22.5,19.44,2021/01/23 02:55,20210122,Put,594.88,17
95,AA,2021/02/19,$278.08K,20.0,19.44,2021/01/23 02:55,20210122,Put,278.08,17
99,SKT,2021/03/19,$322.50K,12.0,12.95,2021/01/23 02:48,20210122,Put,322.5,45
100,SKT,2021/03/19,$130.00K,10.0,12.95,2021/01/23 02:48,20210122,Put,130.0,45
101,JWN,2022/01/21,$1.02M,55.0,36.43,2021/01/23 02:47,20210122,Call,1020.0,353
102,JWN,2022/01/21,$2.02M,40.0,36.43,2021/01/23 02:47,20210122,Call,2020.0,353
104,BB,2021/02/12,$334.00K,17.0,13.76,2021/01/23 02:44,20210122,Call,334.0,10
105,GSX,2021/04/16,$1.31M,125.0,91.9,2021/01/23 02:42,20210122,Call,1310.0,73
106,GSX,2021/02/19,$1.23M,75.0,91.9,2021/01/23 02:42,20210122,Put,1230.0,17
107,SPG,2021/02/19,$168.00K,110.0,94.67,2021/01/23 02:41,20210122,Call,168.0,17
108,CMCSA,2022/01/21,$188.00K,37.5,48.78,2021/01/23 02:40,20210122,Put,188.0,353
109,ET,2021/02/19,$14.05K,7.5,6.55,2021/01/23 02:39,20210122,Call,14.05,17
110,GME,2021/03/19,$2.04M,60.0,61.31,2021/01/23 02:37,20210122,Put,2040.0,45
111,GME,2021/02/19,$146.15K,21.0,61.35,2021/01/23 02:37,20210122,Put,146.15,17
113,GME,2021/03/19,$2.80M,39.0,61.86,2021/01/23 02:35,20210122,Call,2800.0,45
114,PLD,2021/02/19,$97.20K,110.0,101.32,2021/01/23 02:34,20210122,Call,97.2,17
115,AMT,2021/02/19,$120.00K,240.0,224.06,2021/01/23 02:33,20210122,Call,120.0,17
117,BBBY,2021/02/19,$534.00K,31.0,29.58,2021/01/23 02:32,20210122,Call,534.0,17
118,KO,2021/02/12,$371.98K,48.5,48.77,2021/01/23 02:32,20210122,Call,371.98,10
119,ABBV,2021/02/05,$70.63K,105.0,111.39,2021/01/23 02:31,20210122,Put,70.63,3
120,DD,2021/02/12,$6.19M,105.0,80.78,2021/01/23 02:31,20210122,Put,6190.0,10
121,DD,2021/02/12,$37.50K,105.0,80.78,2021/01/23 02:31,20210122,Call,37.5,10
122,BE,2021/02/19,$43.00K,27.0,39.15,2021/01/23 02:31,20210122,Put,43.0,17
123,BBBY,2021/02/19,$452.00K,31.0,29.17,2021/01/23 02:29,20210122,Call,452.0,17
124,PBR,2021/03/19,$54.31K,11.0,10.13,2021/01/23 02:28,20210122,Call,54.31,45
125,FTAI,2021/02/19,$5.84M,20.0,23.31,2021/01/23 02:26,20210122,Call,5840.0,17
126,FUBO,2021/03/19,$5.60M,45.0,36.3,2021/01/23 02:26,20210122,Call,5600.0,45
127,FUBO,2021/03/19,$6.85M,40.0,36.3,2021/01/23 02:26,20210122,Call,6850.0,45
128,FUBO,2021/03/19,$3.48M,35.0,36.3,2021/01/23 02:26,20210122,Call,3480.0,45
129,FUBO,2021/03/19,$5.19M,35.0,36.3,2021/01/23 02:26,20210122,Call,5190.0,45
130,GME,2021/03/19,$780.00K,39.0,60.99,2021/01/23 02:26,20210122,Put,780.0,45
132,ABBV,2021/02/05,$299.00K,111.0,111.33,2021/01/23 02:24,20210122,Call,299.0,3
133,CYRX,2021/03/19,$826.80K,90.0,78.93,2021/01/23 02:22,20210122,Call,826.8,45
134,CYRX,2021/03/19,$2.34M,90.0,78.93,2021/01/23 02:22,20210122,Put,2340.0,45
135,BCRX,2022/01/21,$581.73K,4.5,9.26,2021/01/23 02:21,20210122,Call,581.73,353
138,TWTR,2021/03/19,$194.40K,36.0,48.02,2021/01/23 02:17,20210122,Put,194.4,45
139,ZNGA,2021/03/19,$104.80K,11.0,10.66,2021/01/23 02:17,20210122,Call,104.8,45
140,UBER,2022/01/21,$1.31M,50.0,54.36,2021/01/23 02:13,20210122,Call,1310.0,353
141,UBER,2022/01/21,$510.00K,75.0,54.36,2021/01/23 02:13,20210122,Call,510.0,353
142,DD,2021/02/19,$24.00K,105.0,80.72,2021/01/23 02:12,20210122,Call,24.0,17
143,PLTR,2021/02/19,$42.66K,21.0,29.62,2021/01/23 02:11,20210122,Put,42.66,17
144,PLTR,2021/02/19,$58.99K,21.0,29.64,2021/01/23 02:11,20210122,Put,58.99,17
145,GEO,2021/03/19,$273.25K,9.0,8.36,2021/01/23 02:10,20210122,Put,273.25,45
148,VRTX,2021/07/16,$2.97M,260.0,239.51,2021/01/23 02:08,20210122,Call,2970.0,164
149,VRTX,2021/04/16,$1.66M,260.0,239.51,2021/01/23 02:08,20210122,Call,1660.0,73
153,PLUG,2021/02/05,$135.31K,90.0,64.6,2021/01/23 02:03,20210122,Call,135.31,3
154,PLTR,2021/02/19,$531.39K,28.0,29.7,2021/01/23 02:03,20210122,Put,531.39,17
155,VIAC,2021/02/12,$45.00K,40.0,44.8,2021/01/23 02:00,20210122,Put,45.0,10
156,VIAC,2021/02/12,$46.00K,40.0,44.8,2021/01/23 02:00,20210122,Put,46.0,10
157,VIAC,2021/02/12,$198.00K,45.0,44.8,2021/01/23 02:00,20210122,Put,198.0,10
158,FUBO,2021/03/19,$2.93M,35.0,37.35,2021/01/23 01:58,20210122,Put,2930.0,45
160,ZNGA,2021/06/18,$365.50K,15.0,10.77,2021/01/23 01:58,20210122,Call,365.5,136
162,GILD,2021/02/19,$72.80K,61.5,67.22,2021/01/23 01:55,20210122,Put,72.8,17
163,DISH,2021/03/19,$165.00K,45.0,30.64,2021/01/23 01:54,20210122,Call,165.0,45
164,CSTM,2021/02/19,$197.20K,12.0,13.47,2021/01/23 01:52,20210122,Put,197.2,17
167,TEVA,2021/02/19,$140.77K,13.0,12.48,2021/01/23 01:49,20210122,Call,140.77,17
168,SKT,2021/02/19,$430.00K,12.0,12.57,2021/01/23 01:49,20210122,Put,430.0,17
169,TWTR,2021/02/12,$86.40K,58.0,47.78,2021/01/23 01:49,20210122,Call,86.4,10
170,DD,2021/02/19,$2.44M,105.0,81.03,2021/01/23 01:48,20210122,Put,2440.0,17
173,VIAV,2021/09/17,$450.00K,14.0,16.04,2021/01/23 01:47,20210122,Put,450.0,227
174,SWBI,2021/02/19,$77.19K,20.0,18.09,2021/01/23 01:45,20210122,Call,77.19,17
175,PLTR,2021/02/19,$342.30K,30.0,28.91,2021/01/23 01:41,20210122,Call,342.3,17
176,USB,2021/09/17,$516.60K,37.5,45.87,2021/01/23 01:41,20210122,Put,516.6,227
177,USB,2021/09/17,$784.12K,50.0,45.87,2021/01/23 01:41,20210122,Call,784.12,227
178,USB,2021/09/17,$984.00K,42.5,45.87,2021/01/23 01:41,20210122,Put,984.0,227
179,FRT,2021/02/19,$86.52K,75.0,86.47,2021/01/23 01:41,20210122,Put,86.52,17
180,CVX,2021/03/19,$102.50K,105.0,91.29,2021/01/23 01:37,20210122,Call,102.5,45
181,COP,2021/03/05,$179.10K,45.0,42.68,2021/01/23 01:37,20210122,Call,179.1,31
184,PBR,2021/07/16,$810.00K,9.0,10.1,2021/01/23 01:35,20210122,Put,810.0,164
186,TSM,2021/02/19,$165.00K,145.0,129.71,2021/01/23 01:33,20210122,Call,165.0,17
