,Symbol,Expiration,Size,Strike,Spot,Received,Type,Cap,diff,dt
61,OXY,2021/03/19,$5.02M,25.0,23.39,2021/01/20 03:24,Call,5020.0,58,20210119
62,PLTR,2021/03/19,$417.00K,35.0,26.67,2021/01/20 03:24,Call,417.0,58,20210119
63,PLTR,2021/02/19,$178.50K,35.0,26.67,2021/01/20 03:24,Call,178.5,30,20210119
64,PLTR,2021/03/19,$1.73M,35.0,26.67,2021/01/20 03:24,Put,1730.0,58,20210119
65,PLTR,2021/02/19,$1.46M,35.0,26.67,2021/01/20 03:24,Put,1460.0,30,20210119
66,CSCO,2021/03/19,$1.02M,50.0,45.2,2021/01/20 03:23,Put,1020.0,58,20210119
67,CSCO,2021/03/19,$84.00K,50.0,45.2,2021/01/20 03:23,Call,84.0,58,20210119
68,UBER,2022/01/21,$8.96M,45.0,55.93,2021/01/20 03:23,Put,8960.0,366,20210119
69,UBER,2022/01/21,$10.98M,70.0,55.93,2021/01/20 03:23,Call,10980.0,366,20210119
70,WMB,2021/02/12,$176.00K,23.5,22.6,2021/01/20 03:23,Call,176.0,23,20210119
71,WMB,2021/02/12,$64.00K,20.5,22.6,2021/01/20 03:23,Put,64.0,23,20210119
72,VALE,2021/04/16,$163.92K,20.0,17.55,2021/01/20 03:23,Call,163.92,86,20210119
73,BMY,2021/03/19,$102.00K,60.0,66.41,2021/01/20 03:21,Put,102.0,58,20210119
74,GE,2021/03/19,$32.66K,15.0,11.5,2021/01/20 03:20,Call,32.66,58,20210119
75,SPCE,2021/02/19,$267.00K,42.0,31.11,2021/01/20 03:17,Call,267.0,30,20210119
76,AAL,2021/01/22,$65.00K,15.5,16.11,2021/01/20 03:16,Put,65.0,2,20210119
77,BABA,2021/03/19,$1.26M,220.0,249.39,2021/01/20 03:16,Put,1260.0,58,20210119
78,CSCO,2021/03/19,$1.02M,50.0,45.28,2021/01/20 03:13,Put,1020.0,58,20210119
79,CSCO,2021/03/19,$90.00K,50.0,45.28,2021/01/20 03:13,Call,90.0,58,20210119
80,DD,2021/02/12,$4.29M,105.0,83.95,2021/01/20 03:12,Put,4290.0,23,20210119
81,VALE,2021/03/19,$284.00K,17.0,17.56,2021/01/20 03:12,Put,284.0,58,20210119
82,LI,2021/02/19,$1.29M,35.0,35.09,2021/01/20 03:06,Put,1290.0,30,20210119
83,IDEX,2021/04/16,$1.07M,2.0,3.34,2021/01/20 03:05,Call,1070.0,86,20210119
84,ABBV,2021/02/19,$126.50K,120.0,111.69,2021/01/20 03:03,Call,126.5,30,20210119
85,VALE,2021/03/19,$164.00K,19.0,17.59,2021/01/20 03:00,Call,164.0,58,20210119
86,EQX,2021/07/16,$61.50K,17.5,10.1,2021/01/20 02:53,Call,61.5,177,20210119
87,SFM,2021/02/19,$382.32K,22.0,21.28,2021/01/20 02:51,Put,382.32,30,20210119
88,SFM,2021/06/18,$691.15K,22.0,21.36,2021/01/20 02:50,Put,691.15,149,20210119
