,Symbol,Expiration,Size,Strike,Spot,Received,dt,Type,Cap,diff
0,SLB,2021/08/20,$737.83K,30.0,24.67,2021/02/05 04:28,20210204,Call,737.83,196
1,ENB,2022/01/21,$67.50K,45.0,35.12,2021/02/05 04:28,20210204,Call,67.5,350
2,M,2021/02/19,$105.80K,14.0,15.12,2021/02/05 04:27,20210204,Put,105.8,14
3,HAL,2022/01/21,$531.16K,12.5,19.05,2021/02/05 04:27,20210204,Put,531.16,350
4,HAL,2021/04/16,$484.00K,20.0,19.05,2021/02/05 04:27,20210204,Put,484.0,70
5,HAL,2021/02/19,$438.00K,21.0,19.05,2021/02/05 04:27,20210204,Put,438.0,14
6,CNX,2021/02/19,$200.00K,14.0,13.2,2021/02/05 04:26,20210204,Call,200.0,14
7,CNX,2021/02/19,$71.25K,15.0,13.2,2021/02/05 04:26,20210204,Call,71.25,14
8,GE,2023/01/20,$634.74K,10.0,11.46,2021/02/05 04:24,20210204,Call,634.74,714
9,MPC,2021/04/16,$10.50K,25.0,47.01,2021/02/05 04:22,20210204,Put,10.5,70
10,CNK,2021/03/19,$99.75K,15.0,19.87,2021/02/05 04:22,20210204,Put,99.75,42
11,CNK,2021/03/19,$203.49K,25.0,19.87,2021/02/05 04:22,20210204,Call,203.49,42
12,SABR,2021/03/19,$567.60K,13.0,12.86,2021/02/05 04:16,20210204,Call,567.6,42
13,PBR,2021/07/16,$150.00K,10.0,10.8,2021/02/05 04:16,20210204,Put,150.0,161
14,PBR,2021/02/19,$375.00K,11.0,10.8,2021/02/05 04:16,20210204,Put,375.0,14
15,PBR,2022/01/21,$2.50M,10.0,10.8,2021/02/05 04:16,20210204,Put,2500.0,350
16,PBR,2022/01/21,$225.00K,8.0,10.8,2021/02/05 04:16,20210204,Put,225.0,350
17,ACB,2021/02/19,$98.26K,18.0,13.04,2021/02/05 04:15,20210204,Call,98.26,14
18,TLRY,2021/02/19,$95.02K,40.0,25.92,2021/02/05 04:15,20210204,Call,95.02,14
19,TME,2021/03/19,$323.32K,22.0,25.5,2021/02/05 04:14,20210204,Put,323.32,42
20,IFF,2021/02/19,$4.34M,150.0,130.48,2021/02/05 04:12,20210204,Put,4340.0,14
21,IFF,2021/02/19,$195.39K,150.0,130.48,2021/02/05 04:12,20210204,Call,195.39,14
22,XSPA,2021/07/16,$159.23K,3.0,2.22,2021/02/05 04:12,20210204,Call,159.23,161
23,DISH,2022/01/21,$792.00K,60.0,31.39,2021/02/05 04:10,20210204,Call,792.0,350
