,Symbol,Expiration,Size,Strike,Spot,Received,dt,Type,Cap,diff
0,OPEN,2021/03/19,$27.00K,30.0,22.04,2021/03/10 04:28,20210309,Call,27.0,8
1,OPEN,2021/04/16,$225.00K,27.0,22.04,2021/03/10 04:28,20210309,Call,225.0,36
2,UBER,2021/05/21,$1.54M,60.0,55.82,2021/03/10 04:27,20210309,Call,1540.0,71
3,UBER,2021/05/21,$795.60K,70.0,55.82,2021/03/10 04:27,20210309,Call,795.6,71
4,SABR,2021/03/19,$194.00K,16.0,16.42,2021/03/10 04:26,20210309,Call,194.0,8
5,SABR,2021/03/19,$494.00K,14.0,16.42,2021/03/10 04:26,20210309,Call,494.0,8
6,SNDL,2021/03/12,$47.50K,1.5,1.4,2021/03/10 04:26,20210309,Call,47.5,1
7,SE,2023/01/20,$17.25M,250.0,229.77,2021/03/10 04:25,20210309,Call,17250.0,680
8,PLUG,2021/03/19,$41.54K,60.0,42.34,2021/03/10 04:20,20210309,Call,41.54,8
9,SNDL,2021/03/12,$32.46K,1.5,1.44,2021/03/10 04:19,20210309,Call,32.46,1
10,SNDL,2021/03/12,$119.13K,1.5,1.44,2021/03/10 04:19,20210309,Call,119.13,1
11,OXY,2021/08/20,$249.00K,17.0,28.73,2021/03/10 04:17,20210309,Put,249.0,162
12,VIAC,2021/09/17,$2.47M,80.0,79.82,2021/03/10 04:16,20210309,Put,2470.0,190
13,SNAP,2021/03/12,$471.25K,57.0,56.74,2021/03/10 04:16,20210309,Call,471.25,1
14,SNAP,2021/03/12,$150.00K,54.0,56.75,2021/03/10 04:15,20210309,Put,150.0,1
15,SNDL,2021/03/19,$20.93K,2.0,1.42,2021/03/10 04:15,20210309,Call,20.93,8
16,BEKE,2021/03/19,$140.00K,40.0,53.89,2021/03/10 04:08,20210309,Put,140.0,8
17,SNDL,2021/03/12,$16.71K,1.5,1.38,2021/03/10 04:04,20210309,Call,16.71,1
18,CCJ,2021/03/19,$64.00K,15.0,15.87,2021/03/10 03:59,20210309,Put,64.0,8
19,CCJ,2021/03/19,$58.00K,17.0,15.87,2021/03/10 03:59,20210309,Call,58.0,8
20,CCJ,2021/03/19,$181.50K,15.0,15.88,2021/03/10 03:58,20210309,Call,181.5,8
21,EBAY,2021/03/12,$114.00K,56.5,56.7,2021/03/10 03:58,20210309,Put,114.0,1
22,SCPL,2021/05/21,$1.05M,20.0,16.76,2021/03/10 03:56,20210309,Call,1050.0,71
23,SCPL,2021/05/21,$500.00K,12.5,16.76,2021/03/10 03:56,20210309,Put,500.0,71
24,SCPL,2021/05/21,$1.25M,15.0,16.76,2021/03/10 03:56,20210309,Put,1250.0,71
25,SNDL,2021/04/16,$49.11K,1.5,1.35,2021/03/10 03:54,20210309,Call,49.11,36
26,SNDL,2021/03/12,$20.46K,1.5,1.35,2021/03/10 03:48,20210309,Call,20.46,1
27,LOTZ,2021/03/19,$20.02K,12.5,8.41,2021/03/10 03:43,20210309,Call,20.02,8
28,LOTZ,2021/03/19,$18.49K,12.5,8.41,2021/03/10 03:43,20210309,Call,18.49,8
29,LOTZ,2021/07/16,$246.48K,15.0,8.41,2021/03/10 03:43,20210309,Call,246.48,127
30,DOW,2021/04/16,$2.90M,67.5,62.28,2021/03/10 03:43,20210309,Put,2900.0,36
31,FCX,2021/03/19,$87.00K,32.0,34.0,2021/03/10 03:41,20210309,Put,87.0,8
32,DAL,2023/01/20,$1.73M,40.0,47.91,2021/03/10 03:41,20210309,Put,1730.0,680
33,SNDL,2021/03/19,$37.28K,1.5,1.34,2021/03/10 03:40,20210309,Call,37.28,8
34,SNDL,2021/03/12,$9.29K,1.5,1.34,2021/03/10 03:40,20210309,Call,9.29,1
35,SNDL,2021/03/12,$10.39K,1.5,1.34,2021/03/10 03:40,20210309,Call,10.39,1
36,SNDL,2021/03/12,$8.00K,1.5,1.34,2021/03/10 03:40,20210309,Call,8.0,1
37,SNDL,2021/03/12,$15.20K,1.5,1.34,2021/03/10 03:40,20210309,Call,15.2,1
38,VALE,2022/01/21,$644.13K,17.0,17.11,2021/03/10 03:38,20210309,Call,644.13,316
39,TMUS,2021/03/19,$375.00K,130.0,127.26,2021/03/10 03:37,20210309,Call,375.0,8
40,AMC,2021/03/12,$78.33K,8.0,10.28,2021/03/10 03:36,20210309,Put,78.33,1
41,GPS,2021/03/26,$95.00K,26.5,29.31,2021/03/10 03:36,20210309,Put,95.0,15
42,AMC,2021/03/12,$57.56K,8.0,10.26,2021/03/10 03:36,20210309,Put,57.56,1
43,AMC,2021/03/12,$47.87K,8.0,10.28,2021/03/10 03:35,20210309,Put,47.87,1
44,VTRS,2023/01/20,$420.75K,12.5,14.12,2021/03/10 03:31,20210309,Put,420.75,680
45,BEKE,2021/03/19,$112.50K,40.0,53.14,2021/03/10 03:29,20210309,Put,112.5,8
46,DDOG,2021/04/16,$220.80K,100.0,82.09,2021/03/10 03:27,20210309,Call,220.8,36
47,TECK,2021/05/21,$472.00K,23.0,20.99,2021/03/10 03:26,20210309,Call,472.0,71
48,AMC,2021/03/12,$255.92K,10.0,10.3,2021/03/10 03:24,20210309,Put,255.92,1
49,SYF,2021/03/19,$70.00K,38.5,40.44,2021/03/10 03:23,20210309,Put,70.0,8
50,CAN,2021/03/19,$393.08K,40.0,26.05,2021/03/10 03:21,20210309,Call,393.08,8
51,PLTR,2021/06/18,$3.19M,26.0,24.38,2021/03/10 03:17,20210309,Call,3190.0,99
52,COP,2021/05/21,$914.52K,70.0,58.74,2021/03/10 03:17,20210309,Call,914.52,71
53,PLTR,2021/06/18,$870.40K,26.0,24.43,2021/03/10 03:15,20210309,Call,870.4,99
54,SNDL,2021/03/19,$39.27K,1.5,1.28,2021/03/10 03:14,20210309,Call,39.27,8
55,NGA,2021/04/16,$346.79K,20.0,16.15,2021/03/10 03:13,20210309,Call,346.79,36
56,NGA,2021/03/19,$14.82K,30.0,16.15,2021/03/10 03:13,20210309,Call,14.82,8
57,AFRM,2021/03/19,$194.90K,70.0,79.58,2021/03/10 03:13,20210309,Put,194.9,8
58,NEPT,2021/08/20,$55.00K,1.0,1.54,2021/03/10 03:12,20210309,Put,55.0,162
59,MTDR,2021/04/16,$316.00K,22.5,25.01,2021/03/10 03:10,20210309,Put,316.0,36
60,NPA,2021/03/19,$25.86K,20.0,12.14,2021/03/10 03:09,20210309,Call,25.86,8
61,NPA,2021/08/20,$220.00K,22.5,12.14,2021/03/10 03:09,20210309,Call,220.0,162
62,NPA,2021/03/19,$6.00K,30.0,12.14,2021/03/10 03:09,20210309,Call,6.0,8
63,PTON,2021/04/16,$352.05K,90.0,116.11,2021/03/10 03:07,20210309,Put,352.05,36
64,UAA,2021/10/15,$720.00K,22.5,22.66,2021/03/10 03:03,20210309,Put,720.0,218
65,LLY,2021/03/19,$566.00K,220.0,207.96,2021/03/10 03:00,20210309,Call,566.0,8
66,LLY,2021/03/19,$522.00K,195.0,207.96,2021/03/10 03:00,20210309,Put,522.0,8
67,DIS,2021/03/12,$141.75K,190.0,196.39,2021/03/10 02:58,20210309,Put,141.75,1
68,WKHS,2021/03/12,$124.53K,20.0,17.04,2021/03/10 02:57,20210309,Call,124.53,1
69,PLTR,2021/03/12,$65.08K,23.0,24.47,2021/03/10 02:53,20210309,Put,65.08,1
70,TME,2021/03/19,$442.50K,23.0,26.2,2021/03/10 02:51,20210309,Put,442.5,8
71,PLTR,2021/03/12,$47.05K,22.0,24.4,2021/03/10 02:49,20210309,Put,47.05,1
72,PLTR,2021/03/12,$70.84K,23.0,24.41,2021/03/10 02:46,20210309,Put,70.84,1
73,PLAY,2021/03/19,$428.00K,43.5,43.7,2021/03/10 02:45,20210309,Call,428.0,8
74,SENS,2022/01/21,$161.31K,10.0,3.08,2021/03/10 02:45,20210309,Call,161.31,316
75,TAP,2021/04/16,$160.49K,45.0,47.71,2021/03/10 02:43,20210309,Put,160.49,36
76,SNOW,2021/04/16,$9.60M,250.0,231.07,2021/03/10 02:42,20210309,Call,9600.0,36
77,SNOW,2021/04/16,$12.64M,240.0,231.07,2021/03/10 02:42,20210309,Call,12640.0,36
78,MRVL,2021/05/21,$441.00K,65.0,43.62,2021/03/10 02:40,20210309,Call,441.0,71
79,MRVL,2021/04/16,$2.31M,50.0,43.62,2021/03/10 02:40,20210309,Call,2310.0,36
80,MRVL,2021/05/21,$451.50K,65.0,43.62,2021/03/10 02:40,20210309,Call,451.5,71
81,OXY,2021/04/16,$454.96K,29.0,28.66,2021/03/10 02:40,20210309,Call,454.96,36
82,FSR,2021/03/19,$82.89K,30.0,22.49,2021/03/10 02:39,20210309,Call,82.89,8
83,DDD,2021/03/19,$100.00K,22.0,26.44,2021/03/10 02:37,20210309,Put,100.0,8
84,PLTR,2021/05/21,$156.21K,38.0,24.41,2021/03/10 02:37,20210309,Call,156.21,71
85,NCLH,2021/04/16,$650.00K,30.0,29.44,2021/03/10 02:36,20210309,Put,650.0,36
86,NCLH,2021/04/16,$532.00K,30.0,29.44,2021/03/10 02:36,20210309,Call,532.0,36
87,NCLH,2021/03/19,$900.00K,25.0,29.44,2021/03/10 02:36,20210309,Call,900.0,8
88,GOEV,2021/04/16,$125.00K,25.0,12.23,2021/03/10 02:35,20210309,Call,125.0,36
