,Symbol,Expiration,Size,Strike,Spot,Received,dt,Type,Cap,diff
0,GS,2021/03/19,$8.16M,270.0,321.79,2021/02/27 04:27,20210226,Call,8160.0,16
1,PINS,2021/03/19,$272.00K,95.0,80.43,2021/02/27 04:24,20210226,Call,272.0,16
2,UAL,2023/01/20,$262.50K,20.0,52.99,2021/02/27 04:20,20210226,Put,262.5,688
3,CIM,2021/03/19,$375.00K,11.0,11.62,2021/02/27 04:16,20210226,Call,375.0,16
4,AUY,2022/01/21,$984.00K,4.0,4.03,2021/02/27 04:11,20210226,Put,984.0,324
5,SPWR,2021/03/19,$364.00K,32.0,35.52,2021/02/27 04:08,20210226,Put,364.0,16
6,TGT,2022/01/21,$1.91M,210.0,183.53,2021/02/27 04:05,20210226,Call,1910.0,324
7,NOK,2021/03/05,$9.17K,4.5,3.95,2021/02/27 04:04,20210226,Call,9.17,2
8,NOK,2021/03/05,$7.96K,4.5,3.95,2021/02/27 04:04,20210226,Call,7.96,2
9,SQ,2021/04/16,$8.76M,230.0,228.99,2021/02/27 04:03,20210226,Call,8760.0,44
10,SQ,2021/04/16,$9.13M,230.0,228.99,2021/02/27 04:03,20210226,Put,9130.0,44
11,GSAT,2022/01/21,$226.35K,2.0,1.76,2021/02/27 04:01,20210226,Call,226.35,324
12,VALE,2021/06/18,$725.00K,17.0,16.86,2021/02/27 04:01,20210226,Call,725.0,107
13,VALE,2021/06/18,$415.00K,19.0,16.86,2021/02/27 04:01,20210226,Call,415.0,107
14,INFN,2021/03/05,$682.00K,6.5,9.91,2021/02/27 04:00,20210226,Call,682.0,2
15,AMC,2021/03/19,$324.50K,8.0,8.45,2021/02/27 03:57,20210226,Put,324.5,16
16,VFC,2021/03/19,$287.50K,84.0,79.35,2021/02/27 03:56,20210226,Call,287.5,16
18,HL,2021/03/19,$29.11K,5.5,6.58,2021/02/27 03:53,20210226,Put,29.11,16
19,BEN,2021/03/19,$125.14K,25.0,26.39,2021/02/27 03:51,20210226,Put,125.14,16
20,DRE,2021/04/16,$241.03K,40.0,39.56,2021/02/27 03:50,20210226,Put,241.03,44
21,RGLD,2021/04/16,$496.50K,110.0,103.92,2021/02/27 03:49,20210226,Call,496.5,44
22,RGLD,2021/04/16,$606.00K,100.0,103.92,2021/02/27 03:49,20210226,Put,606.0,44
23,TME,2021/10/15,$456.00K,22.0,26.14,2021/02/27 03:47,20210226,Put,456.0,226
25,AG,2021/03/19,$65.28K,25.0,18.08,2021/02/27 03:41,20210226,Call,65.28,16
26,ON,2023/01/20,$2.14M,35.0,40.04,2021/02/27 03:41,20210226,Put,2140.0,688
27,PSTH,2021/04/16,$315.00K,50.0,29.27,2021/02/27 03:37,20210226,Call,315.0,44
28,NRG,2021/03/19,$400.00K,38.0,36.58,2021/02/27 03:34,20210226,Call,400.0,16
29,KR,2021/03/05,$43.67K,30.5,32.3,2021/02/27 03:33,20210226,Put,43.67,2
30,VALE,2021/03/19,$900.00K,17.0,17.02,2021/02/27 03:33,20210226,Call,900.0,16
31,GOEV,2021/03/19,$42.59K,30.0,12.83,2021/02/27 03:28,20210226,Call,42.59,16
32,GOEV,2021/03/19,$24.23K,30.0,12.83,2021/02/27 03:28,20210226,Call,24.23,16
33,GOEV,2021/04/16,$57.00K,30.0,12.84,2021/02/27 03:28,20210226,Call,57.0,44
34,GOEV,2021/08/20,$128.58K,40.0,12.87,2021/02/27 03:27,20210226,Call,128.58,170
35,M,2023/01/20,$307.50K,10.0,15.26,2021/02/27 03:26,20210226,Put,307.5,688
36,M,2023/01/20,$309.00K,10.0,15.26,2021/02/27 03:26,20210226,Put,309.0,688
37,M,2022/01/21,$150.00K,30.0,15.26,2021/02/27 03:26,20210226,Call,150.0,324
38,VIAC,2021/03/19,$2.17M,50.0,63.99,2021/02/27 03:25,20210226,Call,2170.0,16
