,Symbol,u_cnt,cnt,call,put,recent_7,if,call_ratio
509,HTZGQ,1,2,2.0,,0,0,1.0
512,HWM,1,1,1.0,,0,0,1.0
515,HZO,1,1,,1.0,0,0,
522,IDRA,1,1,1.0,,0,0,1.0
494,HIMS,1,1,1.0,,0,0,1.0
523,IEA,1,1,1.0,,0,0,1.0
525,IGC,1,3,3.0,,3,0,1.0
491,HGEN,1,2,2.0,,0,0,1.0
527,IHRT,1,1,1.0,,1,0,1.0
528,IMGN,1,1,,1.0,1,0,
438,GERN,1,1,1.0,,0,0,1.0
488,HDSN,1,1,1.0,,0,0,1.0
485,HCA,1,1,1.0,,0,0,1.0
532,ING,1,1,1.0,,0,0,1.0
535,INVH,1,1,1.0,,0,0,1.0
482,HAIN,1,2,2.0,,0,0,1.0
536,IOVA,1,1,,1.0,0,0,
479,GTES,1,1,,1.0,1,0,
478,GTE,1,1,1.0,,1,1,1.0
538,IPHI,1,1,1.0,,0,0,1.0
542,IPV,1,1,1.0,,1,1,1.0
545,IRDM,1,1,1.0,,0,0,1.0
547,ISBC,1,1,1.0,,0,0,1.0
530,INFN,1,2,,2.0,2,1,
587,KODK,1,2,1.0,1.0,0,0,0.5
588,KOS,1,1,,1.0,0,0,
435,GDS,1,2,2.0,,0,0,1.0
399,FITB,1,1,,1.0,0,0,
398,FISV,1,1,,1.0,0,0,
397,FIS,1,1,1.0,,0,0,1.0
629,LPRO,1,1,1.0,,0,0,1.0
630,LRCX,1,1,,1.0,1,0,
631,LRN,1,1,1.0,,0,0,1.0
633,LULU,1,1,,1.0,0,0,
637,LX,1,1,1.0,,1,1,1.0
639,LYG,1,1,1.0,,0,0,1.0
644,MAG,1,1,,1.0,0,0,
647,MARK,1,1,1.0,,0,0,1.0
400,FIVN,1,2,1.0,1.0,0,0,0.5
651,MCF,1,1,1.0,,0,0,1.0
653,MCHP,1,2,1.0,1.0,2,0,0.5
655,MDC,1,1,,1.0,0,0,
383,EXPC,1,2,2.0,,0,0,1.0
656,MDLA,1,1,1.0,,0,0,1.0
381,EXEL,1,1,1.0,,0,0,1.0
658,MDP,1,1,1.0,,0,0,1.0
379,EXAS,1,1,,1.0,1,1,
659,MDRX,1,1,,1.0,1,0,
660,MDT,1,1,1.0,,0,0,1.0
661,MELI,1,2,,2.0,0,0,
662,MEOH,1,1,1.0,,0,0,1.0
652,MCFE,1,1,1.0,,1,0,1.0
371,ESTC,1,4,,4.0,3,0,
628,LPL,1,1,1.0,,0,0,1.0
405,FLNT,1,3,3.0,,0,0,1.0
433,GDOT,1,1,,1.0,0,0,
594,KURA,1,1,1.0,,0,0,1.0
596,LAUR,1,1,1.0,,0,0,1.0
599,LBRT,1,1,,1.0,0,0,
600,LBTYA,1,1,,1.0,0,0,
602,LC,1,1,1.0,,0,0,1.0
426,FTK,1,1,1.0,,0,0,1.0
604,LCUT,1,1,1.0,,0,0,1.0
424,FTFT,1,2,2.0,,0,0,1.0
605,LEG,1,2,1.0,1.0,0,0,0.5
607,LESL,1,1,,1.0,0,0,
624,LOPE,1,1,1.0,,1,0,1.0
611,LGND,1,1,,1.0,0,0,
416,FRSX,1,3,1.0,2.0,0,0,0.3333333333333333
615,LLNW,1,1,1.0,,0,0,1.0
414,FREE,1,1,1.0,,0,0,1.0
619,LNC,1,1,1.0,,0,0,1.0
621,LOB,1,1,,1.0,0,0,
622,LODE,1,3,3.0,,0,0,1.0
410,FNV,1,1,1.0,,1,0,1.0
623,LOGI,1,1,,1.0,0,0,
408,FLY,1,1,1.0,,0,0,1.0
407,FLWS,1,1,1.0,,0,0,1.0
406,FLR,1,1,1.0,,1,0,1.0
613,LIN,1,1,1.0,,0,0,1.0
870,REZI,1,2,2.0,,0,0,1.0
252,COWN,1,1,1.0,,0,0,1.0
220,CLII,1,1,1.0,,1,0,1.0
99,AVID,1,1,,1.0,0,0,
98,AVGO,1,1,1.0,,0,0,1.0
1043,TUSK,1,2,2.0,,0,0,1.0
1045,TWNK,1,1,1.0,,0,0,1.0
1048,TXMD,1,1,,1.0,1,0,
1057,UCTT,1,1,,1.0,0,0,
91,ATNF,1,1,1.0,,1,0,1.0
90,ATI,1,1,1.0,,1,0,1.0
89,ATHX,1,2,2.0,,0,0,1.0
88,ATH,1,1,1.0,,0,0,1.0
87,ATCO,1,1,1.0,,0,0,1.0
1042,TUP,1,1,,1.0,0,0,
86,AT,1,1,1.0,,0,0,1.0
1061,ULBI,1,1,1.0,,0,0,1.0
1065,UNIT,1,1,,1.0,0,0,
81,AQMS,1,1,1.0,,0,0,1.0
80,AQB,1,1,,1.0,0,0,
1071,UPWK,1,1,1.0,,0,0,1.0
1073,USAT,1,1,,1.0,0,0,
1081,VBIV,1,1,1.0,,0,0,1.0
74,APEN,1,2,2.0,,2,0,1.0
1082,VCVC,1,1,1.0,,0,0,1.0
72,AON,1,1,1.0,,0,0,1.0
1083,VEDL,1,1,1.0,,0,0,1.0
1060,UHS,1,1,1.0,,0,0,1.0
1087,VG,1,2,2.0,,2,1,1.0
1041,TTM,1,2,,2.0,0,0,
1040,TTD,1,1,1.0,,0,0,1.0
1003,TGI,1,1,1.0,,0,0,1.0
1004,TGNA,1,2,2.0,,0,0,1.0
1010,TISI,1,2,2.0,,0,0,1.0
128,BEST,1,1,,1.0,1,0,
1015,TMHC,1,1,,1.0,0,0,
1016,TMO,1,1,1.0,,1,0,1.0
1018,TNK,1,1,1.0,,0,0,1.0
1020,TPB,1,1,1.0,,0,0,1.0
1023,TPX,1,2,1.0,1.0,0,0,0.5
122,BDSI,1,1,1.0,,0,0,1.0
121,BDN,1,1,1.0,,0,0,1.0
102,AWK,1,1,,1.0,1,1,
1026,TRHC,1,1,,1.0,1,0,
116,BBIO,1,1,,1.0,0,0,
1029,TROX,1,1,1.0,,0,0,1.0
221,CLMT,1,1,1.0,,1,0,1.0
112,BAH,1,1,,1.0,0,0,
1032,TRTN,1,1,,1.0,0,0,
1033,TRVG,1,1,1.0,,0,0,1.0
1034,TRVN,1,1,1.0,,0,0,1.0
108,AYRO,1,2,2.0,,0,0,1.0
107,AXU,1,1,,1.0,0,0,
1036,TSEM,1,2,1.0,1.0,2,1,0.5
104,AXNX,1,2,1.0,1.0,0,0,0.5
117,BC,1,1,1.0,,0,0,1.0
69,AN,1,2,1.0,1.0,2,0,0.5
68,AMTX,1,1,1.0,,1,0,1.0
1090,VIAV,1,1,,1.0,0,0,
31,AFRM,1,2,,2.0,2,1,
1134,WMC,1,2,,2.0,0,0,
1135,WMG,1,2,1.0,1.0,0,0,0.5
25,ADVM,1,1,1.0,,0,0,1.0
1143,WTRH,1,1,1.0,,0,0,1.0
23,ADSK,1,1,,1.0,0,0,
22,ADS,1,1,,1.0,0,0,
21,ADNT,1,3,2.0,1.0,0,0,0.6666666666666666
20,ADM,1,1,,1.0,0,0,
1147,WWR,1,1,,1.0,0,0,
1149,WYND,1,3,2.0,1.0,0,0,0.6666666666666666
1132,WLL,1,1,1.0,,0,0,1.0
1153,XENT,1,2,1.0,1.0,0,0,0.5
13,ACHC,1,1,1.0,,0,0,1.0
1159,XP,1,1,1.0,,1,0,1.0
1161,XRX,1,1,1.0,,0,0,1.0
10,ABT,1,1,1.0,,1,0,1.0
1165,YETI,1,2,1.0,1.0,0,0,0.5
1167,YPF,1,7,7.0,,7,1,1.0
1168,YRCW,1,1,1.0,,0,0,1.0
6,ABC,1,2,1.0,1.0,0,0,0.5
1172,ZG,1,1,,1.0,1,0,
4,AAWW,1,1,1.0,,1,0,1.0
3,AAP,1,3,2.0,1.0,0,0,0.6666666666666666
1156,XLNX,1,1,,1.0,0,0,
33,AGEN,1,1,1.0,,0,0,1.0
1129,WISH,1,1,1.0,,1,0,1.0
1128,WGO,1,1,,1.0,0,0,
66,AMSC,1,1,1.0,,1,1,1.0
1093,VIR,1,2,,2.0,0,0,
63,AMPE,1,2,2.0,,0,0,1.0
62,AMH,1,1,,1.0,1,0,
1098,VNE,1,1,,1.0,0,0,
1099,VNET,1,1,1.0,,0,0,1.0
1101,VOYA,1,2,2.0,,0,0,1.0
1103,VRRM,1,1,1.0,,0,0,1.0
1106,VSAT,1,1,1.0,,0,0,1.0
55,ALT,1,1,1.0,,0,0,1.0
54,ALNY,1,1,1.0,,0,0,1.0
1109,VTR,1,1,1.0,,0,0,1.0
52,ALLT,1,1,1.0,,0,0,1.0
50,ALC,1,1,1.0,,0,0,1.0
49,ALB,1,1,1.0,,1,1,1.0
1112,VVNT,1,2,2.0,,0,0,1.0
1113,VVPR,1,1,1.0,,0,0,1.0
1114,VVV,1,1,1.0,,1,0,1.0
1125,WEN,1,1,1.0,,0,0,1.0
44,AIV,1,1,1.0,,1,0,1.0
43,AIR,1,1,1.0,,1,0,1.0
40,AHT,1,1,1.0,,0,0,1.0
39,AHCO,1,1,1.0,,0,0,1.0
38,AGTC,1,1,1.0,,0,0,1.0
37,AGRX,1,2,2.0,,0,0,1.0
135,BHF,1,1,1.0,,1,0,1.0
136,BHVN,1,2,1.0,1.0,0,0,0.5
1030,TRP,1,1,1.0,,0,0,1.0
994,TCS,1,1,,1.0,0,0,
920,SHYF,1,1,1.0,,0,0,1.0
185,CC,1,1,,1.0,0,0,
921,SIMO,1,1,1.0,,0,0,1.0
923,SJM,1,2,,2.0,2,0,
926,SKX,1,1,,1.0,0,0,
933,SLS,1,2,2.0,,0,0,1.0
934,SMED,1,1,,1.0,0,0,
935,SMSI,1,2,2.0,,0,0,1.0
937,SNCR,1,1,,1.0,0,0,
918,SGRY,1,3,2.0,1.0,0,0,0.6666666666666666
174,CAJ,1,1,1.0,,0,0,1.0
943,SNY,1,1,1.0,,0,0,1.0
950,SPB,1,2,2.0,,0,0,1.0
168,BXMT,1,1,1.0,,0,0,1.0
954,SPH,1,1,1.0,,0,0,1.0
959,SQM,1,2,2.0,,0,0,1.0
963,SSPK,1,1,,1.0,0,0,
965,STAA,1,1,1.0,,0,0,1.0
966,STAR,1,1,1.0,,0,0,1.0
160,BRX,1,1,1.0,,0,0,1.0
172,BZH,1,1,,1.0,1,0,
914,SFIX,1,1,,1.0,0,0,
189,CCK,1,1,,1.0,0,0,
191,CCO,1,1,1.0,,0,0,1.0
874,RGS,1,1,,1.0,0,0,
875,RH,1,4,2.0,2.0,0,0,0.5
876,RHI,1,1,1.0,,1,0,1.0
882,RLGY,1,1,,1.0,0,0,
883,RMBS,1,1,1.0,,1,0,1.0
885,ROAD,1,1,,1.0,0,0,
212,CHWY,1,3,1.0,2.0,3,0,0.3333333333333333
209,CHPT,1,1,1.0,,1,1,1.0
888,ROOT,1,1,1.0,,0,0,1.0
889,RPAI,1,1,1.0,,0,0,1.0
891,RRD,1,2,2.0,,2,0,1.0
205,CGEN,1,1,1.0,,1,1,1.0
897,RWLK,1,1,1.0,,0,0,1.0
201,CFG,1,1,,1.0,1,0,
901,SAN,1,2,2.0,,0,0,1.0
198,CERN,1,1,1.0,,0,0,1.0
197,CDLX,1,1,,1.0,1,1,
903,SAP,1,2,2.0,,0,0,1.0
194,CCXI,1,1,1.0,,0,0,1.0
904,SAVA,1,2,2.0,,0,0,1.0
192,CCS,1,1,1.0,,0,0,1.0
968,STIM,1,1,1.0,,0,0,1.0
970,STLA,1,2,2.0,,0,0,1.0
504,HPE,1,1,1.0,,0,0,1.0
972,STM,1,1,1.0,,0,0,1.0
992,TCDA,1,1,1.0,,0,0,1.0
990,TAL,1,1,1.0,,0,0,1.0
141,BJ,1,1,1.0,,0,0,1.0
142,BK,1,1,,1.0,1,0,
143,BKE,1,1,1.0,,0,0,1.0
971,STLD,1,1,,1.0,0,0,
145,BLDR,1,1,,1.0,1,0,
146,BLL,1,1,,1.0,0,0,
149,BLUE,1,2,,2.0,2,0,
987,SYNH,1,1,,1.0,1,0,
977,STWD,1,3,1.0,2.0,0,0,0.3333333333333333
973,STMP,1,1,,1.0,0,0,
153,BNED,1,1,,1.0,0,0,
974,STNG,1,1,1.0,,0,0,1.0
1024,TR,2,2,2.0,,0,0,1.0
548,IT,2,2,2.0,,0,0,1.0
895,RUN,2,2,2.0,,0,0,1.0
