,Symbol,u_cnt,cnt,call,put,recent_7,if,call_ratio
368,ESGC,2,3,3.0,,2,0,1.0
16,ACM,2,7,7.0,,0,0,1.0
231,CMI,2,2,2.0,,0,0,1.0
17,ACTG,2,7,7.0,,0,0,1.0
222,CLNE,2,5,4.0,1.0,2,0,0.8
1052,UA,3,4,4.0,,0,0,1.0
345,EGHT,3,3,2.0,1.0,0,0,0.6666666666666666
343,EBON,3,3,1.0,2.0,0,0,0.3333333333333333
341,EB,3,4,4.0,,2,0,1.0
838,PSTI,3,3,2.0,1.0,1,1,0.6666666666666666
1044,TVTY,3,3,3.0,,0,0,1.0
97,AVDL,3,3,2.0,1.0,1,0,0.6666666666666666
871,RF,3,4,1.0,3.0,0,0,0.25
93,ATUS,3,3,2.0,1.0,0,0,0.6666666666666666
333,DVAX,3,9,9.0,,0,0,1.0
103,AXL,3,6,2.0,4.0,0,0,0.3333333333333333
150,BMO,3,5,3.0,2.0,2,0,0.6
836,PSTG,3,4,,4.0,3,1,
737,NOV,3,3,1.0,2.0,0,0,0.3333333333333333
256,CPRI,3,7,6.0,1.0,2,1,0.8571428571428571
327,DRE,3,3,,3.0,2,0,
170,BYD,3,4,4.0,,1,0,1.0
254,CPE,3,3,2.0,1.0,0,0,0.6666666666666666
1059,UFS,3,4,3.0,1.0,0,0,0.75
200,CF,3,3,1.0,2.0,0,0,0.3333333333333333
961,SRE,3,4,2.0,2.0,2,0,0.5
360,EPR,3,10,10.0,,0,0,1.0
1072,URBN,3,3,,3.0,1,0,
77,APO,3,7,3.0,4.0,0,0,0.42857142857142855
1069,UPLD,3,5,5.0,,0,0,1.0
868,REKR,3,14,9.0,5.0,0,0,0.6428571428571429
1063,UNFI,3,5,2.0,3.0,1,0,0.4
355,ENPH,3,5,2.0,3.0,2,0,0.4
223,CLNY,3,6,5.0,1.0,0,0,0.8333333333333334
930,SLG,3,4,3.0,1.0,1,0,0.75
849,QEP,3,4,1.0,3.0,0,0,0.25
155,BNS,3,5,2.0,3.0,0,0,0.4
352,ENB,3,4,3.0,1.0,0,0,0.75
505,HPQ,3,3,3.0,,1,0,1.0
919,SHOP,3,5,2.0,3.0,1,0,0.4
842,PVG,3,3,1.0,2.0,1,0,0.3333333333333333
705,MVIS,3,4,4.0,,1,0,1.0
707,NAK,3,5,5.0,,0,0,1.0
742,NRZ,3,5,4.0,1.0,1,0,0.8
325,DOYU,3,4,4.0,,0,0,1.0
259,CREE,3,4,4.0,,0,0,1.0
817,PLL,3,4,,4.0,1,0,
778,OTIC,3,6,5.0,1.0,0,0,0.8333333333333334
297,DASH,3,3,2.0,1.0,2,0,0.6666666666666666
1007,THC,3,3,2.0,1.0,0,0,0.6666666666666666
215,CLA,3,3,3.0,,0,0,1.0
131,BGCP,3,8,5.0,3.0,0,0,0.625
784,PAA,3,3,3.0,,1,0,1.0
787,PAGP,3,4,4.0,,0,0,1.0
881,RL,3,3,2.0,1.0,1,1,0.6666666666666666
955,SPLK,3,5,3.0,2.0,1,0,0.6
997,TEAM,3,5,5.0,,4,0,1.0
144,BLDP,3,4,3.0,1.0,0,0,0.75
995,TD,3,3,1.0,2.0,0,0,0.3333333333333333
138,BIIB,3,7,3.0,4.0,0,0,0.42857142857142855
804,PEP,3,3,3.0,,1,1,1.0
277,CSX,3,3,2.0,1.0,1,1,0.6666666666666666
216,CLDR,3,3,3.0,,1,0,1.0
270,CRWD,3,4,3.0,1.0,2,1,0.75
810,PHM,3,3,2.0,1.0,0,0,0.6666666666666666
984,SWK,3,5,1.0,4.0,0,0,0.2
1013,TM,3,3,3.0,,1,0,1.0
202,CFII,3,3,2.0,1.0,0,0,0.6666666666666666
896,RVLV,3,5,4.0,1.0,0,0,0.8
323,DOCU,3,4,2.0,2.0,2,1,0.5
203,CG,3,4,4.0,,0,0,1.0
947,SOLO,3,4,3.0,1.0,1,0,0.75
752,NVCR,3,7,7.0,,4,0,1.0
753,NVDA,3,5,1.0,4.0,0,0,0.2
754,NVS,3,4,4.0,,0,0,1.0
893,RSI,3,4,4.0,,0,0,1.0
118,BCOV,3,5,5.0,,0,0,1.0
260,CRIS,3,4,4.0,,0,0,1.0
766,OMCL,3,4,,4.0,0,0,
767,OMER,3,5,3.0,2.0,0,0,0.6
126,BEN,3,4,2.0,2.0,2,0,0.5
266,CRSP,3,4,3.0,1.0,3,1,0.75
825,PRCH,3,10,7.0,3.0,0,0,0.7
267,CRSR,3,5,1.0,4.0,0,0,0.2
821,PM,3,3,2.0,1.0,0,0,0.6666666666666666
771,ONB,3,3,3.0,,0,0,1.0
503,HP,3,4,4.0,,0,0,1.0
1050,TXRH,3,4,,4.0,0,0,
1118,WATT,3,3,3.0,,1,0,1.0
1164,YELL,3,4,4.0,,1,0,1.0
9,ABR,3,4,,4.0,0,0,
601,LBTYK,3,3,3.0,,2,1,1.0
427,FTOC,3,4,4.0,,0,0,1.0
603,LCI,3,4,1.0,3.0,0,0,0.25
46,AJRD,3,3,2.0,1.0,0,0,0.6666666666666666
422,FTAI,3,3,2.0,1.0,0,0,0.6666666666666666
47,AKAM,3,5,,5.0,0,0,
484,HBI,3,4,3.0,1.0,1,1,0.75
1119,WB,3,4,,4.0,1,0,
415,FROG,3,4,3.0,1.0,1,0,0.75
531,INFY,3,7,4.0,3.0,6,0,0.5714285714285714
617,LMND,3,3,,3.0,1,0,
413,FR,3,3,1.0,2.0,1,0,0.3333333333333333
487,HD,3,7,5.0,2.0,0,0,0.7142857142857143
8,ABNB,3,3,1.0,2.0,1,0,0.3333333333333333
57,AMAT,3,3,2.0,1.0,1,0,0.6666666666666666
403,FLDM,3,5,2.0,3.0,0,0,0.4
1169,YUM,3,3,2.0,1.0,0,0,0.6666666666666666
1105,VRTX,3,5,3.0,2.0,2,0,0.6
1104,VRT,3,3,,3.0,0,0,
1108,VSTO,3,4,4.0,,0,0,1.0
60,AMCX,3,3,,3.0,0,0,
595,LAC,3,3,3.0,,0,0,1.0
592,KSS,3,4,3.0,1.0,1,0,0.75
1150,WYNN,3,9,8.0,1.0,8,0,0.8888888888888888
19,ADI,3,6,4.0,2.0,4,1,0.6666666666666666
1152,XEC,3,3,,3.0,0,0,
1146,WWE,3,3,3.0,,1,0,1.0
467,GOOGL,3,3,3.0,,0,0,1.0
554,JAZZ,3,3,3.0,,2,0,1.0
568,KBH,3,3,1.0,2.0,1,0,0.3333333333333333
24,ADT,3,3,2.0,1.0,1,0,0.6666666666666666
460,GNW,3,4,2.0,2.0,0,0,0.5
472,GS,3,5,1.0,4.0,1,0,0.2
1163,XXII,3,6,6.0,,2,0,1.0
552,IVZ,3,4,3.0,1.0,1,1,0.75
28,AER,3,5,,5.0,0,0,
452,GLW,3,5,5.0,,0,0,1.0
448,GLNG,3,5,2.0,3.0,0,0,0.4
30,AFL,3,8,4.0,4.0,2,1,0.5
34,AGI,3,3,2.0,1.0,1,0,0.6666666666666666
35,AGNC,3,5,1.0,4.0,0,0,0.2
585,KNX,3,4,4.0,,1,0,1.0
546,IRM,3,6,1.0,5.0,0,0,0.16666666666666666
475,GSM,3,4,2.0,2.0,0,0,0.5
1124,WELL,3,5,4.0,1.0,2,0,0.8
1140,WPM,3,3,1.0,2.0,1,0,0.3333333333333333
61,AMGN,3,3,2.0,1.0,1,0,0.6666666666666666
618,LMT,3,3,3.0,,0,0,1.0
520,IBN,3,4,2.0,2.0,0,0,0.5
517,IAC,3,5,5.0,,4,0,1.0
654,MDB,3,3,,3.0,0,0,
1084,VERU,3,4,4.0,,0,0,1.0
518,IBKR,3,3,1.0,2.0,0,0,0.3333333333333333
386,FAII,3,5,4.0,1.0,1,0,0.8
67,AMT,3,3,1.0,2.0,0,0,0.3333333333333333
1171,ZEN,3,3,3.0,,1,0,1.0
374,ETRN,3,11,6.0,5.0,0,0,0.5454545454545454
649,MAXR,3,4,4.0,,1,0,1.0
1080,VAPO,3,4,3.0,1.0,0,0,0.75
665,MFA,3,4,1.0,3.0,0,0,0.25
1174,ZI,3,3,2.0,1.0,0,0,0.6666666666666666
666,MFC,3,5,3.0,2.0,0,0,0.6
513,HYLN,3,3,3.0,,1,0,1.0
1094,VIRT,3,3,,3.0,1,0,
64,AMRN,3,3,3.0,,0,0,1.0
1075,USFD,3,5,5.0,,0,0,1.0
1076,UUUU,3,3,2.0,1.0,0,0,0.6666666666666666
695,MT,4,6,6.0,,1,0,1.0
41,AI,4,7,2.0,5.0,5,1,0.2857142857142857
154,BNGO,4,4,2.0,2.0,1,0,0.5
511,HUN,4,6,2.0,4.0,0,0,0.3333333333333333
544,IRBT,4,5,2.0,3.0,0,0,0.4
807,PFSI,4,4,3.0,1.0,1,0,0.75
280,CVM,4,4,3.0,1.0,1,1,0.75
697,MTDR,4,6,,6.0,1,0,
1,AACQ,4,4,4.0,,3,1,1.0
593,KTB,4,5,5.0,,1,0,1.0
669,MGNI,4,6,3.0,3.0,1,1,0.5
281,CVNA,4,7,4.0,3.0,1,0,0.5714285714285714
249,COST,4,11,6.0,5.0,1,1,0.5454545454545454
1162,XSPA,4,4,4.0,,2,1,1.0
157,BOX,4,4,3.0,1.0,1,0,0.75
166,BWA,4,6,6.0,,0,0,1.0
159,BRK/B,4,10,8.0,2.0,4,1,0.8
1074,USB,4,6,4.0,2.0,0,0,0.6666666666666666
996,TDC,4,6,2.0,4.0,2,0,0.3333333333333333
916,SFT,4,4,4.0,,0,0,1.0
561,JMIA,4,9,1.0,8.0,7,1,0.1111111111111111
468,GPN,4,6,2.0,4.0,0,0,0.3333333333333333
1148,WY,4,4,4.0,,1,0,1.0
79,APXT,4,5,5.0,,1,0,1.0
986,SYF,4,11,5.0,6.0,0,0,0.45454545454545453
1144,WU,4,11,7.0,4.0,2,1,0.6363636363636364
570,KDP,4,5,5.0,,1,0,1.0
373,ETM,4,6,5.0,1.0,1,0,0.8333333333333334
1070,UPS,4,6,4.0,2.0,1,0,0.6666666666666666
960,SRAC,4,8,7.0,1.0,4,1,0.875
26,AEM,4,4,2.0,2.0,1,0,0.5
982,SWBI,4,5,3.0,2.0,2,0,0.6
261,CRK,4,9,9.0,,1,1,1.0
983,SWCH,4,5,5.0,,1,1,1.0
180,CARR,4,5,3.0,2.0,0,0,0.6
265,CROX,4,20,15.0,5.0,0,0,0.75
688,MPLX,4,4,4.0,,0,0,1.0
872,RFP,4,5,5.0,,0,0,1.0
864,RDS/A,4,5,5.0,,0,0,1.0
999,TELL,4,6,4.0,2.0,0,0,0.6666666666666666
29,AES,4,4,3.0,1.0,1,0,0.75
219,CLGX,4,4,4.0,,0,0,1.0
78,APPH,4,6,4.0,2.0,1,0,0.6666666666666666
691,MRNA,4,4,2.0,2.0,1,0,0.5
15,ACIA,4,5,4.0,1.0,0,0,0.8
687,MPLN,4,5,3.0,2.0,3,0,0.6
1096,VLO,4,6,6.0,,0,0,1.0
382,EXK,4,4,4.0,,0,0,1.0
477,GT,4,7,6.0,1.0,5,0,0.8571428571428571
1002,TFC,4,6,5.0,1.0,2,0,0.8333333333333334
906,SBE,4,7,5.0,2.0,1,0,0.7142857142857143
409,FNF,4,4,3.0,1.0,0,0,0.75
526,IGT,4,7,7.0,,2,0,1.0
944,SO,4,5,3.0,2.0,0,0,0.6
316,DLTR,4,6,5.0,1.0,1,0,0.8333333333333334
317,DM,4,6,2.0,4.0,5,0,0.3333333333333333
898,RWT,4,7,3.0,4.0,2,0,0.42857142857142855
747,NTR,4,4,4.0,,0,0,1.0
946,SOL,4,5,4.0,1.0,1,0,0.8
495,HIMX,4,6,2.0,4.0,0,0,0.3333333333333333
394,FEYE,4,5,2.0,3.0,0,0,0.4
632,LTHM,4,7,6.0,1.0,2,1,0.8571428571428571
721,NGA,4,5,4.0,1.0,3,1,0.8
740,NPA,4,5,5.0,,4,1,1.0
645,MAR,4,6,2.0,4.0,2,1,0.3333333333333333
945,SOAC,4,6,4.0,2.0,3,1,0.6666666666666666
1038,TSN,4,10,,10.0,0,0,
328,DRI,4,7,7.0,,2,0,1.0
105,AXP,4,6,3.0,3.0,0,0,0.5
732,NLY,4,6,2.0,4.0,0,0,0.3333333333333333
335,DXC,4,8,7.0,1.0,0,0,0.875
1046,TWO,4,5,2.0,3.0,1,0,0.4
1097,VMW,4,4,2.0,2.0,1,1,0.5
100,AVTR,4,6,3.0,3.0,0,0,0.5
1092,VIPS,4,4,3.0,1.0,2,0,0.75
489,HES,4,4,2.0,2.0,1,0,0.5
620,LNG,4,6,3.0,3.0,2,0,0.5
301,DD,4,5,5.0,,0,0,1.0
289,CZR,4,6,4.0,2.0,0,0,0.6666666666666666
910,SDC,4,6,6.0,,3,1,1.0
211,CHTR,4,7,,7.0,0,0,
533,INO,4,5,3.0,2.0,0,0,0.6
51,ALKS,4,9,5.0,4.0,1,0,0.5555555555555556
53,ALLY,4,6,3.0,3.0,1,0,0.5
120,BCS,4,8,8.0,,2,0,1.0
614,LITE,4,6,1.0,5.0,1,0,0.16666666666666666
388,FBP,4,5,2.0,3.0,0,0,0.4
713,NCR,4,7,5.0,2.0,2,1,0.7142857142857143
783,OZON,4,4,,4.0,0,0,
213,CIIC,4,5,3.0,2.0,3,1,0.6
1115,VXRT,4,7,5.0,2.0,2,0,0.7142857142857143
928,SLCA,4,7,1.0,6.0,1,0,0.14285714285714285
469,GPRE,4,4,4.0,,2,0,1.0
124,BEAM,4,4,4.0,,0,0,1.0
307,DG,4,8,4.0,4.0,2,0,0.5
486,HCC,4,4,4.0,,0,0,1.0
429,FUSE,4,8,5.0,3.0,0,0,0.625
193,CCX,5,5,4.0,1.0,2,0,0.8
964,SSRM,5,5,4.0,1.0,1,0,0.8
917,SGMS,5,6,6.0,,2,1,1.0
516,IAA,5,7,6.0,1.0,0,0,0.8571428571428571
951,SPCE,5,9,6.0,3.0,4,0,0.6666666666666666
908,SBUX,5,10,4.0,6.0,0,0,0.4
225,CLR,5,10,5.0,5.0,0,0,0.5
7,ABEV,5,7,6.0,1.0,1,0,0.8571428571428571
941,SNPR,5,6,6.0,,2,0,1.0
1177,ZNTE,5,5,1.0,4.0,0,0,0.2
206,CGRO,5,6,5.0,1.0,2,1,0.8333333333333334
948,SONO,5,8,7.0,1.0,1,0,0.875
549,ITP,5,9,9.0,,0,0,1.0
1155,XL,5,11,3.0,8.0,7,0,0.2727272727272727
962,SRNE,5,6,4.0,2.0,0,0,0.6666666666666666
558,JEF,5,9,7.0,2.0,1,0,0.7777777777777778
675,MILE,5,8,6.0,2.0,2,0,0.75
967,STAY,5,8,5.0,3.0,2,0,0.625
302,DDD,5,12,2.0,10.0,9,1,0.16666666666666666
470,GPRO,5,5,3.0,2.0,1,1,0.6
1022,TPR,5,10,6.0,4.0,1,0,0.6
123,BE,5,5,,5.0,1,0,
312,DISCK,5,9,6.0,3.0,0,0,0.6666666666666666
1025,TRGP,5,5,4.0,1.0,1,1,0.8
404,FLEX,5,8,5.0,3.0,0,0,0.625
626,LOW,5,7,6.0,1.0,1,0,0.8571428571428571
115,BBD,5,10,1.0,9.0,1,0,0.1
402,FL,5,5,1.0,4.0,2,0,0.2
324,DOW,5,6,1.0,5.0,2,0,0.16666666666666666
1102,VRM,5,11,6.0,5.0,8,0,0.5454545454545454
95,AU,5,8,6.0,2.0,0,0,0.75
344,EDIT,5,6,3.0,3.0,2,0,0.5
716,NET,5,13,6.0,7.0,0,0,0.46153846153846156
1051,U,5,8,2.0,6.0,1,0,0.25
65,AMRS,5,7,5.0,2.0,3,0,0.7142857142857143
385,EXPR,5,6,4.0,2.0,1,0,0.6666666666666666
1062,UMC,5,7,7.0,,2,0,1.0
1085,VFC,5,9,9.0,,4,0,1.0
356,EOG,5,7,4.0,3.0,0,0,0.5714285714285714
685,MP,5,11,9.0,2.0,4,0,0.8181818181818182
682,MO,5,11,10.0,1.0,4,1,0.9090909090909091
369,ESI,5,7,6.0,1.0,1,1,0.8571428571428571
677,MLCO,5,6,1.0,5.0,2,1,0.16666666666666666
772,ONEM,5,7,1.0,6.0,2,0,0.14285714285714285
610,LGF/A,5,7,7.0,,4,1,1.0
137,BIDU,5,8,6.0,2.0,3,1,0.75
298,DB,5,7,6.0,1.0,4,1,0.8571428571428571
848,QELL,5,7,6.0,1.0,3,0,0.8571428571428571
846,QCOM,5,7,3.0,4.0,0,0,0.42857142857142855
844,PXD,5,10,7.0,3.0,0,0,0.7
975,STPK,5,10,3.0,7.0,0,0,0.3
1145,WW,5,7,1.0,6.0,4,0,0.14285714285714285
1142,WSC,5,7,3.0,4.0,1,0,0.42857142857142855
981,SUM,5,7,7.0,,2,0,1.0
264,CRON,5,5,4.0,1.0,1,0,0.8
1138,WORK,5,5,4.0,1.0,1,0,0.8
824,PPL,5,6,5.0,1.0,0,0,0.8333333333333334
147,BLMN,5,7,4.0,3.0,0,0,0.5714285714285714
447,GIX,5,7,5.0,2.0,0,0,0.7142857142857143
822,PNC,5,5,5.0,,1,0,1.0
279,CTSH,5,7,6.0,1.0,1,0,0.8571428571428571
785,PAAS,5,8,4.0,4.0,0,0,0.5
808,PG,5,7,5.0,2.0,1,0,0.7142857142857143
993,TCOM,5,5,1.0,4.0,1,0,0.2
786,PACB,5,9,5.0,4.0,0,0,0.5555555555555556
367,ERJ,5,6,6.0,,4,0,1.0
1122,WDAY,5,11,1.0,10.0,3,0,0.09090909090909091
790,PARR,5,8,8.0,,0,0,1.0
1117,W,5,13,3.0,10.0,0,0,0.23076923076923078
792,PBF,5,7,6.0,1.0,1,0,0.8571428571428571
988,SYY,6,10,3.0,7.0,0,0,0.3
969,STKL,6,20,17.0,3.0,2,1,0.85
1019,TOL,6,10,8.0,2.0,4,0,0.8
1067,UNP,6,8,3.0,5.0,0,0,0.375
70,ANGI,6,8,4.0,4.0,0,0,0.5
110,AZN,6,10,6.0,4.0,4,1,0.6
177,CAR,6,20,10.0,10.0,0,0,0.5
1053,UAA,6,8,6.0,2.0,1,0,0.75
1166,YNDX,6,12,11.0,1.0,6,0,0.9166666666666666
1049,TXN,6,9,5.0,4.0,3,0,0.5555555555555556
1100,VNO,6,10,2.0,8.0,1,0,0.2
1086,VFF,6,6,4.0,2.0,1,0,0.6666666666666666
1021,TPGY,6,9,3.0,6.0,1,1,0.3333333333333333
843,PVH,6,15,10.0,5.0,5,0,0.6666666666666666
555,JBLU,6,9,8.0,1.0,1,0,0.8888888888888888
793,PBI,6,7,3.0,4.0,0,0,0.42857142857142855
524,IFF,6,11,5.0,6.0,2,1,0.45454545454545453
693,MRSN,6,11,7.0,4.0,0,0,0.6363636363636364
878,RIO,6,7,5.0,2.0,0,0,0.7142857142857143
879,RIOT,6,7,4.0,3.0,1,1,0.5714285714285714
362,EQT,6,6,4.0,2.0,0,0,0.6666666666666666
884,RMO,6,9,9.0,,4,0,1.0
890,RRC,6,9,8.0,1.0,0,0,0.8888888888888888
378,EVRI,6,8,7.0,1.0,2,1,0.875
534,INSG,6,14,7.0,7.0,3,0,0.5
853,QSR,6,12,2.0,10.0,2,0,0.16666666666666666
905,SAVE,6,14,14.0,,0,0,1.0
431,GCI,6,9,9.0,,0,0,1.0
861,RCL,6,12,7.0,5.0,1,0,0.5833333333333334
924,SKLZ,6,8,1.0,7.0,5,1,0.125
276,CSTM,6,8,7.0,1.0,4,1,0.875
640,LYV,6,6,3.0,3.0,0,0,0.5
514,HZNP,6,9,8.0,1.0,0,0,0.8888888888888888
412,FOXA,6,7,5.0,2.0,2,0,0.7142857142857143
597,LAZR,6,10,4.0,6.0,5,1,0.4
303,DDOG,7,8,4.0,4.0,2,1,0.5
285,CX,7,16,14.0,2.0,2,0,0.875
1131,WKHS,7,13,11.0,2.0,4,0,0.8461538461538461
719,NFLX,7,15,10.0,5.0,4,0,0.6666666666666666
803,PENN,7,10,10.0,,1,0,1.0
616,LLY,7,10,9.0,1.0,2,0,0.9
847,QD,7,19,7.0,12.0,10,1,0.3684210526315789
459,GNUS,7,17,16.0,1.0,5,1,0.9411764705882353
306,DELL,7,16,13.0,3.0,4,1,0.8125
726,NIU,7,11,1.0,10.0,2,0,0.09090909090909091
473,GSAH,7,21,15.0,6.0,5,1,0.7142857142857143
728,NKLA,7,10,3.0,7.0,2,0,0.3
731,NLSN,7,9,6.0,3.0,4,0,0.6666666666666666
125,BEKE,7,10,2.0,8.0,6,1,0.2
119,BCRX,7,9,7.0,2.0,0,0,0.7777777777777778
418,FSLR,7,9,2.0,7.0,0,0,0.2222222222222222
451,GLUU,7,17,17.0,,0,0,1.0
232,CNC,7,9,5.0,4.0,2,1,0.5555555555555556
922,SIRI,7,16,14.0,2.0,9,1,0.875
1095,VLDR,7,16,8.0,8.0,8,0,0.5
195,CDE,7,7,6.0,1.0,0,0,0.8571428571428571
915,SFM,7,11,1.0,10.0,1,1,0.09090909090909091
1179,ZTO,7,19,3.0,16.0,5,0,0.15789473684210525
646,MARA,7,13,12.0,1.0,1,1,0.9230769230769231
683,MOMO,7,8,7.0,1.0,2,0,0.875
1088,VGAC,7,10,8.0,2.0,1,1,0.8
163,BTWN,7,18,14.0,4.0,7,1,0.7777777777777778
183,CBAT,7,13,12.0,1.0,0,0,0.9230769230769231
45,AJAX,7,12,9.0,3.0,2,0,0.75
565,JWN,8,14,8.0,6.0,5,1,0.5714285714285714
788,PAGS,8,17,16.0,1.0,6,0,0.9411764705882353
1017,TMUS,8,18,13.0,5.0,2,1,0.7222222222222222
1120,WBA,8,15,11.0,4.0,0,0,0.7333333333333333
642,MA,8,14,9.0,5.0,2,0,0.6428571428571429
789,PANW,8,12,6.0,6.0,1,0,0.5
347,ELAN,8,10,3.0,7.0,6,0,0.3
27,AEO,8,15,9.0,6.0,4,1,0.6
92,ATOS,8,19,19.0,,9,1,1.0
326,DQ,8,25,1.0,24.0,9,0,0.04
734,NNDM,8,16,13.0,3.0,4,1,0.8125
384,EXPE,8,21,10.0,11.0,1,0,0.47619047619047616
657,MDLZ,8,9,8.0,1.0,0,0,0.8888888888888888
380,EXC,8,11,10.0,1.0,1,0,0.9090909090909091
727,NKE,8,13,11.0,2.0,5,0,0.8461538461538461
375,ETSY,8,19,9.0,10.0,2,1,0.47368421052631576
703,MUR,8,19,15.0,4.0,4,1,0.7894736842105263
350,ELY,8,17,9.0,8.0,6,1,0.5294117647058824
441,GFI,8,8,6.0,2.0,0,0,0.75
94,ATVI,8,12,8.0,4.0,0,0,0.6666666666666666
650,MCD,8,10,7.0,3.0,2,0,0.7
770,ON,8,12,5.0,7.0,6,1,0.4166666666666667
393,FE,8,13,10.0,3.0,0,0,0.7692307692307693
490,HEXO,8,15,14.0,1.0,2,0,0.9333333333333333
979,SU,8,13,10.0,3.0,1,0,0.7692307692307693
255,CPLG,8,13,13.0,,6,1,1.0
841,PTON,8,11,7.0,4.0,2,1,0.6363636363636364
989,TAK,8,15,9.0,6.0,0,0,0.6
854,QTT,8,14,7.0,7.0,0,0,0.5
957,SPWR,8,18,2.0,16.0,2,0,0.1111111111111111
952,SPG,8,12,7.0,5.0,1,0,0.5833333333333334
161,BSX,8,14,12.0,2.0,7,0,0.8571428571428571
907,SBSW,8,18,18.0,,3,0,1.0
496,HL,8,12,9.0,3.0,2,0,0.75
171,BYND,8,20,1.0,19.0,4,0,0.05
5,ABBV,8,9,8.0,1.0,1,0,0.8888888888888888
423,FTCH,8,18,9.0,9.0,12,1,0.5
387,FANG,9,19,19.0,,6,1,1.0
96,AUY,9,10,3.0,7.0,2,0,0.3
1133,WMB,9,12,6.0,6.0,0,0,0.5
250,COTY,9,11,6.0,5.0,1,1,0.5454545454545454
73,APA,9,13,9.0,4.0,7,1,0.6923076923076923
715,NEM,9,14,11.0,3.0,4,0,0.7857142857142857
246,COP,9,17,14.0,3.0,1,1,0.8235294117647058
1035,TRXC,9,15,13.0,2.0,2,0,0.8666666666666667
437,GEO,9,15,3.0,12.0,3,1,0.2
204,CGC,9,18,9.0,9.0,1,0,0.5
664,MET,9,11,5.0,6.0,2,1,0.45454545454545453
342,EBAY,9,13,8.0,5.0,3,0,0.6153846153846154
831,PRTY,9,16,15.0,1.0,1,0,0.9375
998,TECK,9,13,7.0,6.0,7,1,0.5384615384615384
1005,TGT,9,11,10.0,1.0,5,0,0.9090909090909091
419,FSLY,9,12,5.0,7.0,4,0,0.4166666666666667
1110,VTRS,9,19,12.0,7.0,5,0,0.631578947368421
539,IPOD,9,21,14.0,7.0,4,1,0.6666666666666666
463,GOGO,9,13,12.0,1.0,2,1,0.9230769230769231
1121,WBT,10,23,22.0,1.0,4,0,0.9565217391304348
894,RTX,10,13,9.0,4.0,0,0,0.6923076923076923
1014,TME,10,25,3.0,22.0,4,1,0.12
690,MRK,10,13,10.0,3.0,0,0,0.7692307692307693
761,NYMT,10,23,13.0,10.0,2,0,0.5652173913043478
75,APHA,10,15,12.0,3.0,2,0,0.8
1175,ZM,10,21,12.0,9.0,1,0,0.5714285714285714
521,IDEX,10,12,11.0,1.0,2,0,0.9166666666666666
148,BLNK,10,18,7.0,11.0,6,1,0.3888888888888889
130,BFT,10,19,17.0,2.0,8,0,0.8947368421052632
176,CAN,10,16,10.0,6.0,7,0,0.625
741,NRG,10,22,4.0,18.0,2,1,0.18181818181818182
365,ERIC,10,17,9.0,8.0,0,0,0.5294117647058824
796,PCG,10,19,19.0,,1,0,1.0
704,MUX,11,51,46.0,5.0,0,0,0.9019607843137255
236,CNK,11,17,7.0,10.0,3,1,0.4117647058823529
696,MTCH,11,17,11.0,6.0,7,1,0.6470588235294118
931,SLM,11,21,6.0,15.0,7,1,0.2857142857142857
82,AR,11,20,14.0,6.0,2,0,0.7
852,QS,11,29,21.0,8.0,5,0,0.7241379310344828
913,SENS,11,32,32.0,,4,1,1.0
359,EPD,11,20,14.0,6.0,11,1,0.7
1027,TRIP,11,15,14.0,1.0,0,0,0.9333333333333333
428,FUBO,11,24,23.0,1.0,6,1,0.9583333333333334
390,FCEL,11,22,17.0,5.0,2,0,0.7727272727272727
880,RKT,11,53,29.0,24.0,37,0,0.5471698113207547
581,KMI,11,16,14.0,2.0,1,0,0.875
106,AXTA,11,12,10.0,2.0,0,0,0.8333333333333334
589,KR,11,15,7.0,8.0,1,1,0.4666666666666667
283,CVX,11,17,9.0,8.0,6,1,0.5294117647058824
684,MOS,12,32,25.0,7.0,13,1,0.78125
1009,TIGR,12,36,23.0,13.0,11,1,0.6388888888888888
519,IBM,12,16,9.0,7.0,5,0,0.5625
1170,Z,12,21,5.0,16.0,3,0,0.23809523809523808
282,CVS,12,28,14.0,14.0,0,0,0.5
550,ITUB,12,30,18.0,12.0,6,1,0.6
1077,UWMC,12,43,36.0,7.0,29,1,0.8372093023255814
551,IVR,12,21,14.0,7.0,1,1,0.6666666666666666
543,IQ,12,20,12.0,8.0,3,0,0.6
909,SCHW,12,18,9.0,9.0,2,0,0.5
483,HAL,12,19,6.0,13.0,7,0,0.3157894736842105
833,PSAC,12,27,22.0,5.0,7,1,0.8148148148148148
694,MRVL,12,25,16.0,9.0,7,1,0.64
641,M,13,26,11.0,15.0,6,0,0.4230769230769231
498,HLT,13,26,14.0,12.0,5,0,0.5384615384615384
1123,WDC,13,36,32.0,4.0,13,1,0.8888888888888888
1116,VZ,13,19,13.0,6.0,4,0,0.6842105263157895
668,MGM,13,27,16.0,11.0,7,0,0.5925925925925926
139,BILI,13,19,8.0,11.0,7,1,0.42105263157894735
322,DNN,13,119,103.0,16.0,13,1,0.865546218487395
1136,WMT,13,26,15.0,11.0,4,1,0.5769230769230769
311,DISCA,13,29,21.0,8.0,6,0,0.7241379310344828
334,DVN,13,29,21.0,8.0,8,1,0.7241379310344828
634,LUMN,13,22,15.0,7.0,3,0,0.6818181818181818
540,IPOE,13,21,15.0,6.0,5,1,0.7142857142857143
411,FOLD,14,25,12.0,13.0,0,0,0.48
114,BBBY,14,39,21.0,18.0,1,0,0.5384615384615384
