,Symbol,Expiration,Size,Strike,Spot,Received,dt,Type,Cap,diff,today
58,XOM,2021/07/16,$2.73M,50.0,48.22,2021/01/14 02:01,20210113,Call,2730.0,164,126
59,LOW,2021/03/19,$485.11K,185.0,171.65,2021/01/14 01:58,20210113,Call,485.11,45,7
60,AAL,2021/03/19,$357.50K,15.0,15.51,2021/01/14 01:55,20210113,Put,357.5,45,7
61,OPEN,2021/03/19,$688.31K,25.0,27.33,2021/01/14 01:54,20210113,Call,688.31,45,7
62,MU,2021/03/19,$1.23M,87.5,79.4,2021/01/14 01:54,20210113,Call,1230.0,45,7
63,TWTR,2022/01/21,$228.00K,18.0,47.94,2021/01/14 01:54,20210113,Put,228.0,353,315
64,UBER,2021/03/19,$400.52K,65.0,59.09,2021/01/14 01:52,20210113,Call,400.52,45,7
65,PBR,2021/03/19,$40.60K,13.0,11.2,2021/01/14 01:48,20210113,Call,40.6,45,7
66,BYND,2021/06/18,$31.43M,165.0,125.85,2021/01/14 01:45,20210113,Put,31430.0,136,98
67,BYND,2021/06/18,$19.70M,140.0,125.85,2021/01/14 01:45,20210113,Put,19700.0,136,98
68,SFM,2021/03/19,$326.70K,21.0,20.5,2021/01/14 01:40,20210113,Put,326.7,45,7
69,SU,2021/06/18,$204.00K,20.0,18.5,2021/01/14 01:40,20210113,Call,204.0,136,98
70,UPS,2021/07/16,$710.00K,145.0,162.74,2021/01/14 01:38,20210113,Put,710.0,164,126
71,UPS,2021/07/16,$1.20M,165.0,162.74,2021/01/14 01:38,20210113,Call,1200.0,164,126
72,MPLN,2021/04/16,$72.00K,10.0,7.83,2021/01/14 01:34,20210113,Call,72.0,73,35
73,AAL,2021/06/18,$225.00K,8.0,15.3,2021/01/14 01:33,20210113,Put,225.0,136,98
74,OPEN,2021/03/19,$2.20M,25.0,27.3,2021/01/14 01:31,20210113,Call,2200.0,45,7
75,WYND,2021/12/17,$500.00K,55.0,47.05,2021/01/14 01:30,20210113,Call,500.0,318,280
76,VALE,2021/06/18,$172.90K,20.0,18.14,2021/01/14 01:30,20210113,Call,172.9,136,98
77,VALE,2021/06/18,$61.10K,25.0,18.14,2021/01/14 01:30,20210113,Call,61.1,136,98
78,TLRY,2021/06/18,$684.77K,15.0,15.38,2021/01/14 01:24,20210113,Put,684.77,136,98
79,PRTY,2021/04/16,$586.47K,5.0,7.25,2021/01/14 01:24,20210113,Call,586.47,73,35
80,TSM,2021/04/16,$37.50K,70.0,119.48,2021/01/14 01:24,20210113,Put,37.5,73,35
81,MAC,2021/03/19,$306.95K,12.0,12.15,2021/01/14 01:20,20210113,Put,306.95,45,7
82,MAC,2021/03/19,$131.55K,10.0,12.15,2021/01/14 01:20,20210113,Put,131.55,45,7
83,ABBV,2021/07/16,$824.41K,110.0,111.97,2021/01/14 01:19,20210113,Call,824.41,164,126
84,DISH,2022/01/21,$740.00K,25.0,32.58,2021/01/14 01:19,20210113,Put,740.0,353,315
85,DOW,2022/01/21,$735.00K,55.0,59.99,2021/01/14 01:17,20210113,Put,735.0,353,315
86,HLT,2021/07/16,$1.72M,105.0,110.93,2021/01/14 01:17,20210113,Put,1720.0,164,126
87,HLT,2021/07/16,$1.37M,120.0,110.93,2021/01/14 01:17,20210113,Call,1370.0,164,126
88,HLT,2021/07/16,$560.00K,85.0,110.93,2021/01/14 01:17,20210113,Put,560.0,164,126
89,WPM,2021/06/18,$202.65K,35.0,41.87,2021/01/14 01:13,20210113,Put,202.65,136,98
90,PRTY,2021/04/16,$786.60K,5.0,7.15,2021/01/14 01:13,20210113,Call,786.6,73,35
91,PRTY,2021/04/16,$300.00K,5.0,7.15,2021/01/14 01:13,20210113,Call,300.0,73,35
92,PRTY,2021/04/16,$392.68K,5.0,7.17,2021/01/14 01:12,20210113,Call,392.68,73,35
93,PLUG,2021/03/19,$11.11M,25.0,70.58,2021/01/14 01:09,20210113,Call,11110.0,45,7
94,WYND,2021/12/17,$770.00K,45.0,46.97,2021/01/14 01:09,20210113,Put,770.0,318,280
95,WYND,2021/12/17,$510.00K,55.0,46.97,2021/01/14 01:09,20210113,Call,510.0,318,280
96,VSTO,2021/05/21,$287.50K,35.0,28.85,2021/01/14 01:06,20210113,Call,287.5,108,70
97,AAL,2022/01/21,$865.00K,10.0,15.19,2021/01/14 01:06,20210113,Put,865.0,353,315
98,VIAC,2021/03/19,$840.00K,44.0,42.62,2021/01/14 01:06,20210113,Put,840.0,45,7
99,ABNB,2022/01/21,$2.56M,130.0,171.38,2021/01/14 01:04,20210113,Put,2560.0,353,315
100,IPOF,2021/07/16,$187.92K,25.0,14.74,2021/01/14 00:58,20210113,Call,187.92,164,126
101,CSCO,2022/01/21,$515.00K,45.0,45.76,2021/01/14 00:56,20210113,Put,515.0,353,315
102,USB,2022/01/21,$490.00K,60.0,49.18,2021/01/14 00:54,20210113,Call,490.0,353,315
103,JD,2022/01/21,$1.83M,80.0,88.46,2021/01/14 00:53,20210113,Put,1830.0,353,315
