,Symbol,Expiration,Size,Strike,Spot,Received,dt,Type,Cap,diff,today
1945,NOK,2023/01/20,$149.30K,5.0,4.76,2021/01/27 00:26,20210126,Call,149.3,723,679
1946,VZ,2023/01/20,$191.00K,40.0,56.75,2021/01/27 00:25,20210126,Put,191.0,723,679
1947,TDC,2021/04/16,$90.66K,22.5,26.92,2021/01/27 00:25,20210126,Put,90.66,79,35
1948,SBUX,2021/03/19,$415.00K,105.0,104.07,2021/01/27 00:24,20210126,Call,415.0,51,7
1949,THC,2022/01/21,$6.72M,25.0,50.07,2021/01/27 00:22,20210126,Call,6720.0,359,315
1950,EXPR,2021/04/16,$125.00K,5.0,3.11,2021/01/27 00:22,20210126,Call,125.0,79,35
1951,AAL,2022/01/21,$402.00K,15.0,15.56,2021/01/27 00:21,20210126,Put,402.0,359,315
1952,DISCK,2021/06/18,$4.35M,32.5,34.55,2021/01/27 00:20,20210126,Put,4350.0,142,98
1953,GOGO,2021/03/19,$627.06K,11.0,14.79,2021/01/27 00:18,20210126,Call,627.06,51,7
1954,IPOE,2021/07/16,$600.00K,17.5,20.41,2021/01/27 00:16,20210126,Call,600.0,170,126
1955,FCX,2021/03/19,$45.00K,41.0,27.4,2021/01/27 00:15,20210126,Call,45.0,51,7
1956,FCX,2021/03/19,$138.00K,38.0,27.4,2021/01/27 00:15,20210126,Call,138.0,51,7
1957,FCX,2021/03/19,$141.00K,35.0,27.4,2021/01/27 00:15,20210126,Call,141.0,51,7
1958,TRQ,2021/06/18,$170.00K,12.0,10.83,2021/01/27 00:14,20210126,Call,170.0,142,98
1959,NOK,2023/01/20,$179.40K,5.0,4.81,2021/01/27 00:04,20210126,Call,179.4,723,679
1960,SLM,2021/03/19,$48.00K,11.0,13.15,2021/01/27 00:04,20210126,Put,48.0,51,7
1961,VNE,2021/08/20,$592.50K,24.0,26.1,2021/01/27 00:00,20210126,Put,592.5,205,161
1962,NOK,2021/07/16,$125.00K,4.0,4.77,2021/01/26 23:58,20210126,Call,125.0,170,126
1963,SLM,2021/03/19,$49.00K,11.0,13.18,2021/01/26 23:56,20210126,Put,49.0,51,7
1964,KHC,2023/01/20,$700.00K,35.0,34.08,2021/01/26 23:56,20210126,Put,700.0,723,679
1965,ET,2022/01/21,$180.00K,12.0,6.75,2021/01/26 23:55,20210126,Call,180.0,359,315
1966,PBR,2022/01/21,$212.22K,10.0,10.49,2021/01/26 23:55,20210126,Put,212.22,359,315
1967,ET,2022/01/21,$98.64K,12.0,6.84,2021/01/26 23:53,20210126,Call,98.64,359,315
1968,BABA,2021/04/16,$2.67M,270.0,262.98,2021/01/26 23:52,20210126,Call,2670.0,79,35
1969,BABA,2021/04/16,$1.08M,320.0,263.04,2021/01/26 23:52,20210126,Call,1080.0,79,35
1970,KMI,2021/09/17,$53.00K,18.0,15.24,2021/01/26 23:52,20210126,Call,53.0,233,189
1971,AAL,2021/03/19,$38.00K,10.0,15.59,2021/01/26 23:52,20210126,Put,38.0,51,7
1972,AXTA,2021/04/16,$1.01M,30.0,27.76,2021/01/26 23:51,20210126,Call,1010.0,79,35
1973,CRM,2021/04/16,$915.00K,210.0,226.47,2021/01/26 23:48,20210126,Put,915.0,79,35
1974,SLM,2021/03/19,$45.50K,11.0,13.21,2021/01/26 23:46,20210126,Put,45.5,51,7
1975,SPCE,2021/03/19,$648.31K,44.0,40.77,2021/01/26 23:45,20210126,Call,648.31,51,7
1976,GOOG,2021/07/16,$46.40M,1660.0,1911.13,2021/01/26 23:44,20210126,Call,46400.0,170,126
1977,BB,2022/01/21,$1.70M,10.0,18.53,2021/01/26 23:44,20210126,Put,1700.0,359,315
1978,NOK,2023/01/20,$131.57K,7.0,4.87,2021/01/26 23:44,20210126,Call,131.57,723,679
1979,UUUU,2021/07/16,$122.87K,5.0,4.3,2021/01/26 23:43,20210126,Call,122.87,170,126
1980,NYMT,2021/04/16,$274.01K,3.0,4.11,2021/01/26 23:43,20210126,Call,274.01,79,35
1981,NYMT,2021/04/16,$274.89K,3.0,4.11,2021/01/26 23:43,20210126,Call,274.89,79,35
1982,BEKE,2021/04/16,$1.01M,65.0,66.6,2021/01/26 23:42,20210126,Put,1010.0,79,35
1983,OPEN,2021/05/21,$2.93M,35.0,28.71,2021/01/26 23:42,20210126,Put,2930.0,114,70
1984,OPEN,2021/05/21,$793.82K,35.0,28.72,2021/01/26 23:42,20210126,Call,793.82,114,70
1985,GLNG,2021/03/19,$400.00K,10.0,11.19,2021/01/26 23:42,20210126,Call,400.0,51,7
1986,AG,2021/04/16,$577.20K,13.0,14.29,2021/01/26 23:39,20210126,Put,577.2,79,35
1987,NYMT,2022/01/21,$68.80K,4.5,4.1,2021/01/26 23:39,20210126,Call,68.8,359,315
1988,SPCE,2021/03/19,$682.00K,45.0,40.38,2021/01/26 23:38,20210126,Call,682.0,51,7
1989,AG,2021/04/16,$212.95K,13.0,14.31,2021/01/26 23:37,20210126,Put,212.95,79,35
1990,NYMT,2021/04/16,$549.56K,3.0,4.1,2021/01/26 23:36,20210126,Call,549.56,79,35
1991,EXPR,2021/04/16,$180.00K,2.0,3.19,2021/01/26 23:36,20210126,Call,180.0,79,35
1992,WOOF,2021/06/18,$1.35M,22.5,27.37,2021/01/26 23:34,20210126,Put,1350.0,142,98
1993,IRM,2021/04/16,$148.28K,30.0,32.36,2021/01/26 23:34,20210126,Put,148.28,79,35
1994,LLY,2021/03/19,$645.00K,230.0,212.02,2021/01/26 23:33,20210126,Call,645.0,51,7
1995,LLY,2021/03/19,$1.31M,210.0,212.02,2021/01/26 23:33,20210126,Call,1310.0,51,7
1996,ERIC,2021/05/21,$65.34K,15.0,12.12,2021/01/26 23:32,20210126,Call,65.34,114,70
1997,RTX,2021/03/19,$453.68K,75.0,68.72,2021/01/26 23:31,20210126,Call,453.68,51,7
1998,GFI,2021/07/16,$81.81K,12.0,9.75,2021/01/26 23:30,20210126,Call,81.81,170,126
1999,GE,2022/01/21,$44.95K,22.0,11.63,2021/01/26 23:30,20210126,Call,44.95,359,315
2000,RTX,2021/03/19,$225.26K,75.0,69.11,2021/01/26 23:29,20210126,Call,225.26,51,7
2001,LYFT,2021/04/16,$660.24K,50.0,47.73,2021/01/26 23:27,20210126,Put,660.24,79,35
2002,CHEF,2021/04/16,$261.45K,35.0,30.02,2021/01/26 23:26,20210126,Call,261.45,79,35
2003,CHEF,2021/04/16,$133.63K,40.0,30.02,2021/01/26 23:26,20210126,Call,133.63,79,35
2004,XPEV,2021/10/15,$1.32M,50.0,55.64,2021/01/26 23:26,20210126,Put,1320.0,261,217
2005,NOK,2022/01/21,$118.00K,10.0,4.88,2021/01/26 23:26,20210126,Call,118.0,359,315
2006,PBR,2021/03/19,$112.35K,11.0,10.52,2021/01/26 23:23,20210126,Put,112.35,51,7
2007,NOK,2022/01/21,$172.72K,4.0,4.92,2021/01/26 23:23,20210126,Call,172.72,359,315
2008,NOK,2023/01/20,$120.00K,7.0,4.92,2021/01/26 23:23,20210126,Call,120.0,723,679
2009,NOK,2022/01/21,$89.39K,4.0,4.92,2021/01/26 23:23,20210126,Put,89.39,359,315
2010,AGI,2021/09/17,$861.00K,10.0,8.1,2021/01/26 23:22,20210126,Call,861.0,233,189
2011,NOK,2022/01/21,$134.00K,10.0,4.92,2021/01/26 23:22,20210126,Call,134.0,359,315
2012,PEIX,2021/04/16,$90.00K,10.0,7.58,2021/01/26 23:20,20210126,Call,90.0,79,35
2013,NIO,2021/08/20,$1.35M,55.0,59.14,2021/01/26 23:19,20210126,Put,1350.0,205,161
2014,GILD,2021/08/20,$310.00K,60.0,67.4,2021/01/26 23:18,20210126,Put,310.0,205,161
2015,PBR,2021/03/19,$107.06K,11.0,10.55,2021/01/26 23:18,20210126,Put,107.06,51,7
2016,PBR,2021/03/19,$106.85K,11.0,10.54,2021/01/26 23:17,20210126,Put,106.85,51,7
2017,PBR,2021/03/19,$106.11K,11.0,10.53,2021/01/26 23:17,20210126,Put,106.11,51,7
2018,PBR,2021/03/19,$119.27K,11.0,10.53,2021/01/26 23:17,20210126,Put,119.27,51,7
2019,CGC,2021/04/16,$347.82K,40.0,34.97,2021/01/26 23:17,20210126,Call,347.82,79,35
2020,NIO,2021/04/16,$455.00K,85.0,59.49,2021/01/26 23:16,20210126,Call,455.0,79,35
2021,NIO,2021/04/16,$905.00K,65.0,59.49,2021/01/26 23:16,20210126,Call,905.0,79,35
2022,NOK,2022/01/21,$116.99K,7.0,4.91,2021/01/26 23:16,20210126,Call,116.99,359,315
2023,NOK,2022/01/21,$148.65K,5.0,4.9,2021/01/26 23:16,20210126,Call,148.65,359,315
2024,NTNX,2022/01/21,$640.90K,37.5,32.87,2021/01/26 23:16,20210126,Call,640.9,359,315
2025,NOK,2023/01/20,$121.48K,7.0,4.88,2021/01/26 23:15,20210126,Call,121.48,723,679
2026,M,2021/03/19,$76.00K,12.0,14.31,2021/01/26 23:15,20210126,Put,76.0,51,7
2027,M,2021/03/19,$78.00K,12.0,14.3,2021/01/26 23:14,20210126,Put,78.0,51,7
2028,VALE,2022/01/21,$69.36K,30.0,17.34,2021/01/26 23:14,20210126,Call,69.36,359,315
2029,NOK,2022/01/21,$74.06K,4.0,4.96,2021/01/26 23:13,20210126,Put,74.06,359,315
2030,SBUX,2021/06/18,$57.75K,67.5,103.55,2021/01/26 23:12,20210126,Put,57.75,142,98
2031,CGC,2021/04/16,$680.00K,40.0,35.07,2021/01/26 23:12,20210126,Call,680.0,79,35
2032,GD,2021/08/20,$224.00K,185.0,152.71,2021/01/26 23:12,20210126,Call,224.0,205,161
2033,LGF/A,2021/03/19,$134.55K,17.0,14.75,2021/01/26 23:10,20210126,Call,134.55,51,7
2034,CGC,2021/04/16,$542.64K,40.0,35.38,2021/01/26 23:10,20210126,Call,542.64,79,35
2035,EXC,2021/07/16,$540.00K,45.0,42.88,2021/01/26 23:08,20210126,Call,540.0,170,126
2036,JPM,2022/01/21,$1.67M,115.0,132.45,2021/01/26 23:08,20210126,Put,1670.0,359,315
2037,FE,2021/04/16,$280.00K,30.0,31.83,2021/01/26 23:06,20210126,Put,280.0,79,35
2038,VNO,2021/03/19,$373.75K,35.0,39.63,2021/01/26 23:06,20210126,Put,373.75,51,7
2039,VNO,2021/03/19,$104.00K,30.0,39.63,2021/01/26 23:06,20210126,Put,104.0,51,7
2040,BBBY,2021/05/21,$507.00K,19.0,32.41,2021/01/26 23:04,20210126,Put,507.0,114,70
2041,BBBY,2021/05/21,$306.00K,19.0,32.41,2021/01/26 23:04,20210126,Put,306.0,114,70
2042,BBBY,2021/05/21,$888.00K,24.0,32.41,2021/01/26 23:04,20210126,Put,888.0,114,70
2043,NOK,2021/03/19,$124.00K,4.0,4.89,2021/01/26 23:04,20210126,Call,124.0,51,7
2044,NOK,2021/04/16,$58.76K,7.0,4.91,2021/01/26 23:02,20210126,Call,58.76,79,35
2045,DKNG,2021/03/19,$564.63K,65.0,55.96,2021/01/26 23:02,20210126,Call,564.63,51,7
2046,GE,2021/03/19,$49.57K,13.0,11.66,2021/01/26 23:01,20210126,Call,49.57,51,7
2047,IRM,2021/04/16,$744.95K,30.0,32.36,2021/01/26 23:00,20210126,Put,744.95,79,35
2048,NOK,2021/07/16,$66.00K,4.0,4.92,2021/01/26 23:00,20210126,Put,66.0,170,126
2049,NOK,2021/07/16,$207.84K,4.0,4.92,2021/01/26 23:00,20210126,Call,207.84,170,126
2050,CTSH,2021/07/16,$2.10M,90.0,80.01,2021/01/26 22:58,20210126,Call,2100.0,170,126
2051,CTSH,2021/03/19,$1.35M,80.0,80.01,2021/01/26 22:58,20210126,Call,1350.0,51,7
2052,EXPE,2021/03/19,$793.83K,120.0,135.38,2021/01/26 22:58,20210126,Put,793.83,51,7
2053,EXPE,2021/03/19,$895.17K,150.0,135.38,2021/01/26 22:58,20210126,Call,895.17,51,7
2054,FIZZ,2021/03/19,$1.63M,100.0,116.99,2021/01/26 22:57,20210126,Put,1630.0,51,7
2055,FIZZ,2021/03/19,$840.00K,90.0,116.99,2021/01/26 22:57,20210126,Put,840.0,51,7
2056,NOK,2022/01/21,$126.84K,7.0,4.92,2021/01/26 22:57,20210126,Call,126.84,359,315
2057,TJX,2021/03/19,$442.06K,72.5,65.19,2021/01/26 22:55,20210126,Call,442.06,51,7
2058,NOK,2021/06/18,$203.00K,6.0,4.94,2021/01/26 22:55,20210126,Put,203.0,142,98
2059,NCNO,2021/08/20,$999.60K,60.0,76.41,2021/01/26 22:52,20210126,Put,999.6,205,161
2060,NOK,2021/07/16,$165.00K,4.0,4.94,2021/01/26 22:52,20210126,Call,165.0,170,126
2061,NOK,2021/03/19,$133.00K,4.0,4.92,2021/01/26 22:51,20210126,Call,133.0,51,7
2062,VALE,2021/03/19,$45.45K,20.0,17.32,2021/01/26 22:49,20210126,Call,45.45,51,7
2063,PBR,2021/03/19,$588.00K,10.0,10.39,2021/01/26 22:48,20210126,Call,588.0,51,7
2064,AMC,2021/03/19,$213.00K,5.5,5.0,2021/01/26 22:46,20210126,Call,213.0,51,7
2065,AMC,2021/03/19,$158.00K,10.0,5.0,2021/01/26 22:46,20210126,Call,158.0,51,7
2066,AMC,2021/03/19,$212.00K,5.5,4.99,2021/01/26 22:46,20210126,Call,212.0,51,7
2067,AMC,2021/03/19,$157.00K,10.0,4.99,2021/01/26 22:46,20210126,Call,157.0,51,7
2068,SKT,2021/03/19,$163.80K,16.0,13.61,2021/01/26 22:45,20210126,Call,163.8,51,7
2069,PLTR,2021/03/19,$360.00K,24.0,35.27,2021/01/26 22:43,20210126,Put,360.0,51,7
2070,PLTR,2021/03/19,$680.00K,28.0,35.27,2021/01/26 22:43,20210126,Put,680.0,51,7
2071,SKT,2021/03/19,$275.44K,12.0,13.72,2021/01/26 22:41,20210126,Put,275.44,51,7
2072,GE,2022/01/21,$573.50K,10.0,11.89,2021/01/26 22:39,20210126,Call,573.5,359,315
2073,AG,2021/04/16,$373.52K,13.0,14.08,2021/01/26 22:39,20210126,Put,373.52,79,35
2074,CCL,2022/01/21,$568.58K,15.0,19.29,2021/01/26 22:38,20210126,Put,568.58,359,315
2075,INSG,2021/09/17,$574.03K,20.0,20.15,2021/01/26 22:37,20210126,Put,574.03,233,189
2076,INSG,2021/09/17,$766.40K,17.5,20.08,2021/01/26 22:37,20210126,Put,766.4,233,189
2077,INSG,2021/09/17,$604.45K,15.0,20.19,2021/01/26 22:35,20210126,Put,604.45,233,189
2078,SWN,2022/01/21,$90.00K,4.0,3.48,2021/01/26 22:35,20210126,Call,90.0,359,315
2079,MAC,2021/03/19,$223.50K,13.0,17.52,2021/01/26 22:35,20210126,Put,223.5,51,7
2080,GE,2021/03/19,$110.60K,12.0,12.18,2021/01/26 22:35,20210126,Call,110.6,51,7
2081,GE,2021/03/19,$234.81K,12.0,12.18,2021/01/26 22:35,20210126,Call,234.81,51,7
2082,MAC,2021/03/19,$236.12K,14.0,17.32,2021/01/26 22:34,20210126,Put,236.12,51,7
2083,GE,2021/03/19,$424.67K,13.0,12.2,2021/01/26 22:34,20210126,Call,424.67,51,7
2084,NOK,2021/03/19,$275.54K,5.0,5.12,2021/01/26 22:34,20210126,Call,275.54,51,7
2085,NOK,2021/04/16,$90.00K,7.0,5.13,2021/01/26 22:34,20210126,Call,90.0,79,35
2086,NOK,2021/06/18,$64.00K,4.0,5.13,2021/01/26 22:34,20210126,Put,64.0,142,98
2087,PLTR,2021/03/19,$2.09M,33.0,35.25,2021/01/26 22:33,20210126,Put,2090.0,51,7
2088,INSG,2021/09/17,$309.10K,15.0,20.28,2021/01/26 22:32,20210126,Put,309.1,233,189
2089,VIAC,2021/03/19,$599.76K,50.0,48.96,2021/01/26 22:31,20210126,Put,599.76,51,7
2090,FSLR,2021/09/17,$2.33M,120.0,108.65,2021/01/26 22:30,20210126,Call,2330.0,233,189
2091,DDOG,2021/07/16,$1.30M,130.0,108.62,2021/01/26 22:30,20210126,Call,1300.0,170,126
2092,TLRY,2021/03/19,$2.19M,7.0,18.55,2021/01/28 04:29,20210127,Call,2190.0,50,7
2093,CMCSA,2021/04/16,$50.00K,60.0,48.75,2021/01/28 04:26,20210127,Call,50.0,78,35
2094,CNP,2021/03/19,$229.35K,19.0,20.75,2021/01/28 04:25,20210127,Put,229.35,50,7
2095,NOK,2023/01/20,$1.12M,5.0,6.93,2021/01/28 04:25,20210127,Call,1120.0,722,679
2096,GME,2021/07/16,$18.00K,0.5,332.65,2021/01/28 04:25,20210127,Put,18.0,169,126
2097,DISCA,2021/03/19,$1.19M,45.0,43.3,2021/01/28 04:24,20210127,Call,1190.0,50,7
2098,DISCA,2021/03/19,$705.00K,50.0,43.3,2021/01/28 04:24,20210127,Call,705.0,50,7
2099,DISCK,2021/03/19,$555.00K,37.5,33.55,2021/01/28 04:24,20210127,Call,555.0,50,7
2100,DISCK,2021/03/19,$255.00K,42.5,33.55,2021/01/28 04:24,20210127,Call,255.0,50,7
2101,AAL,2021/06/18,$760.00K,13.0,16.67,2021/01/28 04:23,20210127,Put,760.0,141,98
2102,GME,2021/04/16,$64.90M,12.0,344.5,2021/01/28 04:22,20210127,Call,64900.00000000001,78,35
2103,NEE,2021/03/19,$450.00K,90.0,80.74,2021/01/28 04:21,20210127,Call,450.0,50,7
2104,SKT,2021/03/19,$427.50K,14.0,17.96,2021/01/28 04:14,20210127,Put,427.5,50,7
2105,KGC,2023/01/20,$135.00K,17.0,6.8,2021/01/28 04:12,20210127,Call,135.0,722,679
2106,KGC,2023/01/20,$485.00K,7.0,6.8,2021/01/28 04:12,20210127,Call,485.0,722,679
2107,AAL,2021/06/18,$350.00K,10.0,16.68,2021/01/28 04:12,20210127,Put,350.0,141,98
2108,NOK,2021/03/19,$600.21K,10.0,6.9,2021/01/28 04:10,20210127,Call,600.21,50,7
2109,AMC,2021/06/18,$29.70K,0.5,18.53,2021/01/28 04:08,20210127,Put,29.7,141,98
2110,AMC,2021/06/18,$321.30K,3.5,18.53,2021/01/28 04:08,20210127,Put,321.3,141,98
2111,AMC,2021/06/18,$108.00K,2.0,18.53,2021/01/28 04:08,20210127,Put,108.0,141,98
2112,RRR,2021/04/16,$730.00K,22.5,23.96,2021/01/28 04:06,20210127,Call,730.0,78,35
2113,RRR,2021/04/16,$240.00K,30.0,23.96,2021/01/28 04:06,20210127,Call,240.0,78,35
2114,CSCO,2022/01/21,$246.00K,32.5,45.84,2021/01/28 04:06,20210127,Put,246.0,358,315
2115,GM,2021/06/18,$1.25M,49.0,49.11,2021/01/28 04:01,20210127,Put,1250.0,141,98
2116,NOK,2021/07/16,$1.57M,5.0,6.87,2021/01/28 03:59,20210127,Call,1570.0,169,126
2117,TLRY,2021/03/19,$3.82M,7.0,19.01,2021/01/28 03:57,20210127,Call,3820.0,50,7
2118,GE,2022/01/21,$730.37K,15.0,10.79,2021/01/28 03:53,20210127,Call,730.37,358,315
2119,ACI,2021/04/16,$2.17M,17.5,20.17,2021/01/28 03:49,20210127,Call,2170.0,78,35
2120,SWCH,2021/05/21,$245.00K,20.0,17.42,2021/01/28 03:46,20210127,Call,245.0,113,70
2121,AMC,2021/06/18,$135.00K,2.0,17.89,2021/01/28 03:34,20210127,Put,135.0,141,98
2122,AMC,2021/06/18,$48.60K,1.0,17.89,2021/01/28 03:34,20210127,Put,48.6,141,98
2123,AMC,2021/06/18,$329.40K,3.5,17.89,2021/01/28 03:34,20210127,Put,329.4,141,98
2124,SWCH,2021/05/21,$175.00K,20.0,17.39,2021/01/28 03:33,20210127,Call,175.0,113,70
2125,TPGY,2021/04/16,$1.03M,30.0,25.83,2021/01/28 03:33,20210127,Call,1030.0,78,35
2126,MU,2021/03/19,$269.42K,65.0,75.7,2021/01/28 03:33,20210127,Put,269.42,50,7
2127,DIS,2021/06/18,$1.88M,150.0,163.52,2021/01/28 03:29,20210127,Put,1880.0,141,98
2128,DISCA,2021/03/19,$328.86K,50.0,42.55,2021/01/28 03:27,20210127,Call,328.86,50,7
2129,W,2023/01/20,$12.84M,230.0,284.77,2021/01/28 03:24,20210127,Put,12840.0,722,679
2130,MU,2021/03/19,$357.58K,67.5,76.14,2021/01/28 03:23,20210127,Put,357.58,50,7
2131,CRON,2021/04/16,$706.75K,9.0,10.61,2021/01/28 03:23,20210127,Call,706.75,78,35
2132,DELL,2021/03/19,$807.00K,80.0,74.98,2021/01/28 03:21,20210127,Call,807.0,50,7
2133,DELL,2021/03/19,$195.00K,90.0,74.98,2021/01/28 03:21,20210127,Call,195.0,50,7
2134,GME,2021/03/19,$2.38M,40.0,314.5,2021/01/28 03:15,20210127,Put,2380.0,50,7
2135,GE,2021/03/19,$28.68K,15.0,10.84,2021/01/28 03:13,20210127,Call,28.68,50,7
2136,GOLD,2022/01/21,$1.06M,20.0,22.41,2021/01/28 03:12,20210127,Put,1060.0,358,315
2137,GE,2021/03/19,$100.00K,15.0,10.84,2021/01/28 03:10,20210127,Call,100.0,50,7
2138,FANG,2021/03/19,$644.00K,80.0,57.81,2021/01/28 03:06,20210127,Call,644.0,50,7
2139,FANG,2021/03/19,$555.00K,80.0,57.76,2021/01/28 03:05,20210127,Call,555.0,50,7
2140,PLUG,2021/03/19,$5.04M,65.0,67.97,2021/01/28 03:04,20210127,Put,5040.0,50,7
2141,PLUG,2021/03/19,$6.28M,65.0,67.97,2021/01/28 03:04,20210127,Call,6280.0,50,7
2142,NOK,2021/04/16,$2.00M,4.0,7.5,2021/01/28 03:01,20210127,Call,2000.0,78,35
2143,PLTR,2021/03/19,$1.88M,24.0,43.02,2021/01/28 02:59,20210127,Put,1880.0,50,7
2144,PLTR,2021/03/19,$18.65M,26.0,43.02,2021/01/28 02:59,20210127,Call,18650.0,50,7
2145,LYFT,2023/01/20,$5.40M,50.0,45.5,2021/01/28 02:55,20210127,Call,5400.0,722,679
2146,AAL,2021/03/19,$558.00K,15.0,16.98,2021/01/28 02:54,20210127,Put,558.0,50,7
2147,GNUS,2021/04/16,$299.08K,2.0,2.68,2021/01/28 02:53,20210127,Call,299.08,78,35
2148,LOW,2021/03/19,$787.50K,180.0,171.58,2021/01/28 02:51,20210127,Call,787.5,50,7
2149,LOW,2021/03/19,$210.00K,200.0,171.58,2021/01/28 02:51,20210127,Call,210.0,50,7
2150,VIAC,2021/03/19,$243.00K,29.0,53.76,2021/01/28 02:46,20210127,Put,243.0,50,7
2151,GSX,2021/03/19,$516.52K,30.0,147.23,2021/01/28 02:45,20210127,Put,516.52,50,7
2152,GSX,2021/03/19,$4.08M,65.0,147.23,2021/01/28 02:45,20210127,Put,4080.0,50,7
2153,GSX,2021/03/19,$5.17M,100.0,147.23,2021/01/28 02:45,20210127,Put,5170.0,50,7
2154,SNDL,2021/03/19,$56.03K,1.0,0.62,2021/01/28 02:43,20210127,Call,56.03,50,7
2155,NOK,2022/01/21,$493.35K,7.0,7.02,2021/01/28 02:40,20210127,Call,493.35,358,315
2156,GE,2021/03/19,$105.00K,12.0,10.86,2021/01/28 02:38,20210127,Call,105.0,50,7
2157,NOK,2021/04/16,$626.72K,4.0,7.03,2021/01/28 02:36,20210127,Call,626.72,78,35
2158,NOK,2021/04/16,$612.50K,4.0,6.93,2021/01/28 02:36,20210127,Call,612.5,78,35
2159,NOK,2021/04/16,$524.65K,4.0,6.93,2021/01/28 02:34,20210127,Call,524.65,78,35
2160,WPG,2021/09/17,$208.34K,5.0,14.25,2021/01/28 02:33,20210127,Put,208.34,232,189
2161,NCLH,2021/03/19,$200.02K,30.0,23.96,2021/01/28 02:32,20210127,Call,200.02,50,7
2162,NIO,2021/03/19,$2.58M,60.0,58.3,2021/01/28 02:31,20210127,Call,2580.0,50,7
2163,NIO,2021/03/19,$3.08M,60.0,58.3,2021/01/28 02:31,20210127,Put,3080.0,50,7
2164,ATUS,2021/03/19,$650.00K,40.0,34.85,2021/01/28 02:21,20210127,Call,650.0,50,7
2165,NLY,2022/01/21,$38.62K,10.0,8.32,2021/01/28 02:20,20210127,Call,38.62,358,315
2166,STPK,2021/04/16,$900.00K,25.0,27.45,2021/01/28 02:19,20210127,Put,900.0,78,35
2167,STPK,2021/04/16,$495.00K,40.0,27.45,2021/01/28 02:19,20210127,Call,495.0,78,35
2168,SNDL,2021/03/19,$69.43K,1.0,0.65,2021/01/28 02:19,20210127,Call,69.43,50,7
2169,AAL,2021/03/19,$243.77K,18.0,17.02,2021/01/28 02:18,20210127,Call,243.77,50,7
2170,AAL,2021/03/19,$688.31K,25.0,17.01,2021/01/28 02:18,20210127,Call,688.31,50,7
2171,CRSR,2021/12/17,$4.39M,50.0,45.37,2021/01/28 02:17,20210127,Call,4390.0,323,280
2172,CRSR,2021/12/17,$6.36M,50.0,45.37,2021/01/28 02:17,20210127,Put,6360.0,323,280
2173,GSAT,2021/12/17,$88.62K,3.0,1.12,2021/01/28 02:17,20210127,Call,88.62,323,280
2174,AAL,2022/01/21,$741.00K,30.0,17.25,2021/01/28 02:09,20210127,Call,741.0,358,315
2175,NIO,2021/03/19,$2.22M,55.0,58.01,2021/01/28 02:08,20210127,Call,2220.0,50,7
2176,Z,2022/01/21,$5.02M,125.0,131.57,2021/01/28 02:03,20210127,Put,5020.0,358,315
2177,BOX,2021/06/18,$115.17K,25.0,18.77,2021/01/28 02:02,20210127,Call,115.17,141,98
2178,TMUS,2021/03/19,$1.38M,130.0,125.26,2021/01/28 02:00,20210127,Call,1380.0,50,7
2179,TMUS,2021/03/19,$384.00K,145.0,125.26,2021/01/28 02:00,20210127,Call,384.0,50,7
2180,FCX,2021/03/19,$357.00K,23.0,25.97,2021/01/28 01:58,20210127,Put,357.0,50,7
2181,KMI,2021/09/17,$1.09M,13.0,15.08,2021/01/28 01:56,20210127,Call,1090.0,232,189
2182,KMI,2021/03/19,$756.09K,12.0,15.08,2021/01/28 01:56,20210127,Call,756.09,50,7
2183,KMI,2021/03/19,$429.51K,13.0,15.08,2021/01/28 01:56,20210127,Call,429.51,50,7
2184,MA,2021/03/19,$1.95M,335.0,317.61,2021/01/28 01:52,20210127,Call,1950.0,50,7
2185,MA,2021/03/19,$764.29K,360.0,317.61,2021/01/28 01:52,20210127,Call,764.29,50,7
2186,MA,2021/03/19,$625.87K,270.0,317.61,2021/01/28 01:52,20210127,Put,625.87,50,7
2187,TRIP,2021/03/19,$283.33K,40.0,34.76,2021/01/28 01:50,20210127,Call,283.33,50,7
2188,ORCL,2021/04/16,$153.00K,70.0,63.11,2021/01/28 01:45,20210127,Call,153.0,78,35
2189,PBR,2021/03/19,$66.73K,12.0,10.49,2021/01/28 01:40,20210127,Call,66.73,50,7
2190,MARA,2021/03/19,$293.69K,40.0,18.19,2021/01/28 01:39,20210127,Call,293.69,50,7
2191,GM,2022/01/21,$2.28M,45.0,49.41,2021/01/28 01:39,20210127,Put,2280.0,358,315
2192,BB,2021/06/18,$140.88K,7.0,21.91,2021/01/28 01:37,20210127,Put,140.88,141,98
2193,BB,2021/06/18,$560.00K,9.0,21.91,2021/01/28 01:37,20210127,Put,560.0,141,98
2194,BB,2021/06/18,$563.50K,7.0,21.91,2021/01/28 01:37,20210127,Put,563.5,141,98
2195,IDEX,2021/07/16,$345.11K,7.0,4.07,2021/01/28 01:36,20210127,Call,345.11,169,126
2196,TWTR,2021/03/19,$510.00K,55.0,49.41,2021/01/28 01:36,20210127,Call,510.0,50,7
2197,TWTR,2021/03/19,$1.33M,55.0,49.41,2021/01/28 01:36,20210127,Put,1330.0,50,7
2198,GME,2021/04/16,$60.57M,12.0,315.75,2021/01/28 01:36,20210127,Call,60570.0,78,35
2199,NOK,2021/07/16,$539.64K,4.0,6.58,2021/01/28 01:36,20210127,Call,539.64,169,126
2200,AAL,2022/01/21,$749.00K,18.0,17.28,2021/01/28 01:35,20210127,Put,749.0,358,315
