,Symbol,Expiration,Size,Strike,Spot,Received,dt,Type,Cap,diff
0,TIGR,2021/03/19,$366.13K,15.0,18.61,2021/01/22 04:28,20210121,Put,366.13,45
1,HP,2021/06/18,$410.00K,30.0,24.67,2021/01/22 04:24,20210121,Call,410.0,136
2,PFE,2021/02/05,$71.29K,37.5,36.44,2021/01/22 04:23,20210121,Call,71.29,3
3,COP,2021/02/19,$300.90K,45.0,43.33,2021/01/22 04:22,20210121,Call,300.9,17
4,IPOF,2021/07/16,$430.00K,12.5,16.07,2021/01/22 04:21,20210121,Put,430.0,164
5,IPOF,2021/07/16,$1.15M,15.0,16.07,2021/01/22 04:21,20210121,Call,1150.0,164
6,IPOF,2021/07/16,$757.50K,20.0,16.07,2021/01/22 04:21,20210121,Call,757.5,164
8,DLTR,2021/05/21,$2.04M,115.0,108.17,2021/01/22 04:15,20210121,Call,2040.0,108
9,NIO,2021/02/19,$1.42M,58.5,58.19,2021/01/22 04:14,20210121,Call,1420.0,17
11,X,2022/01/21,$590.00K,10.0,19.38,2021/01/22 04:14,20210121,Put,590.0,353
12,IPOD,2021/07/16,$360.00K,12.5,17.84,2021/01/22 04:13,20210121,Put,360.0,164
13,IPOD,2021/07/16,$1.08M,20.0,17.84,2021/01/22 04:13,20210121,Call,1080.0,164
14,IPOD,2021/07/16,$1.43M,15.0,17.84,2021/01/22 04:13,20210121,Call,1430.0,164
15,SCHW,2022/01/21,$624.00K,47.0,58.84,2021/01/22 04:12,20210121,Put,624.0,353
17,TLRY,2021/03/19,$2.64M,7.0,18.0,2021/01/22 04:07,20210121,Call,2640.0,45
18,TRXC,2021/07/16,$1.08M,1.0,3.22,2021/01/22 04:06,20210121,Call,1080.0,164
19,TRXC,2022/01/21,$1.13M,1.0,3.22,2021/01/22 04:06,20210121,Call,1130.0,353
20,SFT,2021/12/17,$180.00K,20.0,8.25,2021/01/22 04:06,20210121,Call,180.0,318
22,UNFI,2021/05/21,$5.34M,25.0,24.46,2021/01/22 04:04,20210121,Put,5340.0,108
23,IVR,2023/01/20,$187.50K,3.0,3.57,2021/01/22 04:02,20210121,Put,187.5,717
24,ZNGA,2021/02/05,$68.72K,11.0,10.33,2021/01/22 04:01,20210121,Call,68.72,3
25,IPOF,2021/07/16,$1.14M,15.0,16.17,2021/01/22 03:59,20210121,Call,1140.0,164
26,IPOF,2021/07/16,$816.00K,20.0,16.17,2021/01/22 03:59,20210121,Call,816.0,164
27,FBP,2021/03/19,$3.95M,6.0,9.91,2021/01/22 03:57,20210121,Call,3950.0,45
28,LVS,2021/03/19,$300.00K,65.0,55.31,2021/01/22 03:56,20210121,Call,300.0,45
29,LVS,2021/03/19,$645.00K,60.0,55.31,2021/01/22 03:56,20210121,Call,645.0,45
30,RF,2021/02/19,$70.00K,17.0,17.93,2021/01/22 03:56,20210121,Put,70.0,17
31,ACIA,2021/05/21,$88.00K,115.0,114.48,2021/01/22 03:54,20210121,Call,88.0,108
33,ORCL,2022/01/21,$182.00K,85.0,61.47,2021/01/22 03:51,20210121,Call,182.0,353
34,AUY,2022/01/21,$132.00K,4.0,5.24,2021/01/22 03:51,20210121,Put,132.0,353
35,IVR,2022/01/21,$67.20K,2.0,3.55,2021/01/22 03:49,20210121,Put,67.2,353
36,DD,2021/02/12,$22.00K,105.0,81.49,2021/01/22 03:49,20210121,Call,22.0,10
37,DD,2021/02/12,$4.79M,105.0,81.49,2021/01/22 03:49,20210121,Put,4790.0,10
41,IVR,2023/01/20,$371.85K,3.0,3.55,2021/01/22 03:46,20210121,Put,371.85,717
42,EGO,2021/07/16,$208.42K,14.0,11.33,2021/01/22 03:44,20210121,Call,208.42,164
43,CSCO,2022/01/21,$930.00K,40.0,45.13,2021/01/22 03:44,20210121,Put,930.0,353
44,DD,2021/02/12,$45.00K,105.0,81.5,2021/01/22 03:42,20210121,Call,45.0,10
45,DD,2021/02/12,$7.18M,105.0,81.5,2021/01/22 03:42,20210121,Put,7180.0,10
47,JNJ,2021/02/19,$783.73K,167.5,161.48,2021/01/22 03:34,20210121,Call,783.73,17
48,JNJ,2021/03/19,$918.63K,170.0,161.48,2021/01/22 03:34,20210121,Call,918.63,45
49,IPOD,2021/02/19,$317.93K,17.5,17.5,2021/01/22 03:32,20210121,Call,317.93,17
50,TAK,2021/04/16,$177.21K,17.5,17.32,2021/01/22 03:30,20210121,Call,177.21,73
51,TAK,2021/04/16,$255.97K,17.5,17.32,2021/01/22 03:30,20210121,Put,255.97,73
52,RBAC,2021/06/18,$230.00K,12.5,11.19,2021/01/22 03:29,20210121,Call,230.0,136
53,SO,2021/02/19,$280.75K,59.0,59.92,2021/01/22 03:19,20210121,Put,280.75,17
54,IVR,2022/01/21,$66.58K,2.0,3.53,2021/01/22 03:18,20210121,Put,66.58,353
56,PFE,2023/01/20,$330.00K,50.0,36.32,2021/01/22 03:16,20210121,Call,330.0,717
57,BABA,2021/02/19,$1.62M,285.0,259.83,2021/01/22 03:14,20210121,Call,1620.0,17
59,ET,2022/01/21,$993.80K,5.0,6.67,2021/01/22 03:07,20210121,Call,993.8,353
60,LOW,2021/03/19,$1.10M,180.0,173.3,2021/01/22 03:05,20210121,Call,1100.0,45
61,PLTR,2021/03/19,$2.27M,26.0,25.96,2021/01/22 03:02,20210121,Call,2270.0,45
62,EOG,2021/03/19,$2.38M,55.0,55.68,2021/01/22 02:59,20210121,Put,2380.0,45
63,EOG,2021/03/19,$2.83M,55.0,55.68,2021/01/22 02:59,20210121,Call,2830.0,45
64,DVN,2022/01/21,$591.00K,12.74,17.9,2021/01/22 02:53,20210121,Put,591.0,353
65,EGO,2021/07/16,$209.09K,14.0,11.35,2021/01/22 02:50,20210121,Call,209.09,164
66,BHC,2021/02/19,$325.00K,26.0,26.78,2021/01/22 02:50,20210121,Put,325.0,17
67,BHC,2021/02/19,$452.50K,27.0,26.78,2021/01/22 02:50,20210121,Put,452.5,17
68,PBR,2021/07/16,$119.55K,8.0,10.52,2021/01/22 02:50,20210121,Put,119.55,164
70,TIGR,2021/02/19,$105.00K,30.0,17.0,2021/01/22 02:44,20210121,Call,105.0,17
71,TIGR,2021/02/19,$207.48K,20.0,16.98,2021/01/22 02:44,20210121,Call,207.48,17
73,SLB,2021/03/19,$494.00K,25.0,24.05,2021/01/22 02:43,20210121,Put,494.0,45
74,TJX,2021/02/19,$200.00K,71.5,68.34,2021/01/22 02:41,20210121,Call,200.0,17
75,PLTR,2021/02/19,$372.30K,26.0,25.94,2021/01/22 02:40,20210121,Put,372.3,17
76,AR,2022/01/21,$216.30K,10.0,6.43,2021/01/22 02:36,20210121,Call,216.3,353
77,TMUS,2021/03/19,$675.00K,135.0,130.62,2021/01/22 02:36,20210121,Call,675.0,45
78,TMUS,2021/03/19,$190.00K,150.0,130.62,2021/01/22 02:36,20210121,Call,190.0,45
79,DVN,2021/02/19,$299.56K,17.0,17.66,2021/01/22 02:34,20210121,Put,299.56,17
80,MPC,2021/02/19,$357.00K,45.0,45.12,2021/01/22 02:33,20210121,Call,357.0,17
81,FOLD,2021/02/19,$135.00K,10.0,20.47,2021/01/22 02:32,20210121,Put,135.0,17
82,FOLD,2021/02/19,$210.00K,31.0,20.47,2021/01/22 02:32,20210121,Call,210.0,17
83,FOLD,2021/02/19,$1.25M,21.0,20.47,2021/01/22 02:32,20210121,Call,1250.0,17
84,ZM,2021/03/19,$7.25M,390.0,376.43,2021/01/22 02:31,20210121,Call,7250.0,45
85,ZM,2021/03/19,$9.85M,390.0,376.43,2021/01/22 02:31,20210121,Put,9850.0,45
86,BBBY,2021/02/19,$358.00K,29.0,27.44,2021/01/22 02:30,20210121,Call,358.0,17
87,DOW,2021/02/19,$387.70K,55.0,57.44,2021/01/22 02:30,20210121,Put,387.7,17
88,CMCSA,2021/03/19,$1.62M,50.0,48.83,2021/01/22 02:30,20210121,Call,1620.0,45
89,CMCSA,2021/03/19,$2.77M,50.0,48.83,2021/01/22 02:30,20210121,Put,2770.0,45
90,XOM,2021/02/19,$300.00K,46.0,47.83,2021/01/22 02:29,20210121,Put,300.0,17
91,XOM,2021/02/19,$216.00K,50.0,47.83,2021/01/22 02:29,20210121,Call,216.0,17
92,VIAC,2021/03/19,$2.58M,40.0,44.68,2021/01/22 02:28,20210121,Put,2580.0,45
93,VIAC,2021/03/19,$10.68M,50.0,44.68,2021/01/22 02:28,20210121,Put,10680.0,45
94,MCD,2021/06/18,$300.00K,240.0,213.89,2021/01/22 02:27,20210121,Call,300.0,136
95,NOV,2021/05/21,$83.13K,10.0,13.35,2021/01/22 02:27,20210121,Put,83.13,108
96,QS,2021/03/19,$1.17M,60.0,50.22,2021/01/22 02:27,20210121,Call,1170.0,45
97,QS,2021/03/19,$2.67M,60.0,50.22,2021/01/22 02:27,20210121,Put,2670.0,45
98,IFF,2021/02/19,$3.50M,150.0,116.08,2021/01/22 02:20,20210121,Put,3500.0,17
99,KO,2022/01/21,$16.50K,75.0,48.92,2021/01/22 02:20,20210121,Call,16.5,353
100,GIK,2021/02/19,$140.88K,20.0,16.33,2021/01/22 02:19,20210121,Call,140.88,17
101,ET,2021/07/16,$1.78M,5.0,6.66,2021/01/22 02:17,20210121,Call,1780.0,164
102,UBER,2021/03/19,$780.32K,55.0,55.84,2021/01/22 02:17,20210121,Put,780.32,45
103,UAL,2021/02/19,$3.33M,45.0,42.83,2021/01/22 02:16,20210121,Put,3330.0,17
105,UAL,2021/02/19,$1.22M,45.0,42.71,2021/01/22 02:16,20210121,Put,1220.0,17
106,XOM,2021/04/16,$431.12K,47.5,47.99,2021/01/22 02:14,20210121,Put,431.12,73
107,MTDR,2021/03/19,$46.27K,10.0,15.22,2021/01/22 02:13,20210121,Put,46.27,45
108,BE,2021/08/20,$760.00K,33.0,37.57,2021/01/22 02:13,20210121,Put,760.0,199
109,CMCSA,2021/03/19,$2.37M,50.0,48.96,2021/01/22 02:10,20210121,Call,2370.0,45
