,Symbol,Expiration,Size,Strike,Spot,Received,dt,Type,Cap,diff
0,NYMT,2021/07/16,$38.06K,4.5,4.35,2021/03/09 04:29,20210308,Call,38.06,129
1,TLRY,2021/06/18,$320.00K,65.0,22.59,2021/03/09 04:29,20210308,Call,320.0,101
2,TLRY,2021/06/18,$8.78M,65.0,22.59,2021/03/09 04:29,20210308,Put,8780.0,101
3,SLM,2021/03/19,$93.50K,20.0,16.2,2021/03/09 04:28,20210308,Call,93.5,10
4,SLM,2021/03/19,$7.22M,20.0,16.2,2021/03/09 04:28,20210308,Put,7220.0,10
5,TMUS,2021/03/19,$1.14M,125.0,126.94,2021/03/09 04:28,20210308,Call,1140.0,10
6,TME,2021/03/19,$1.47M,23.0,25.31,2021/03/09 04:26,20210308,Put,1470.0,10
7,TME,2021/04/16,$1.17M,25.0,25.31,2021/03/09 04:26,20210308,Put,1170.0,38
8,SNDL,2021/03/19,$70.33K,1.5,1.16,2021/03/09 04:25,20210308,Put,70.33,10
9,CRM,2021/04/16,$6.58M,210.0,208.65,2021/03/09 04:23,20210308,Call,6580.0,38
10,CRM,2021/04/16,$2.69M,210.0,208.65,2021/03/09 04:23,20210308,Put,2690.0,38
11,CRM,2021/04/16,$2.41M,210.0,208.65,2021/03/09 04:23,20210308,Call,2410.0,38
12,CRM,2021/04/16,$7.33M,210.0,208.65,2021/03/09 04:23,20210308,Put,7330.0,38
13,FCX,2022/01/21,$2.70M,50.0,34.57,2021/03/09 04:23,20210308,Call,2700.0,318
14,FCX,2022/01/21,$5.33M,32.0,34.57,2021/03/09 04:23,20210308,Call,5330.0,318
15,FCX,2022/01/21,$906.25K,20.0,34.57,2021/03/09 04:23,20210308,Put,906.25,318
16,BILI,2021/03/19,$954.47K,85.0,98.54,2021/03/09 04:22,20210308,Put,954.47,10
17,DKNG,2021/10/15,$3.05M,70.0,60.85,2021/03/09 04:22,20210308,Put,3050.0,220
18,JBLU,2021/03/19,$129.96K,21.0,20.18,2021/03/09 04:20,20210308,Call,129.96,10
19,MGNI,2021/03/19,$960.00K,40.0,36.99,2021/03/09 04:19,20210308,Put,960.0,10
20,FCX,2022/01/21,$2.65M,32.0,34.64,2021/03/09 04:15,20210308,Call,2650.0,318
21,FCX,2022/01/21,$2.75M,50.0,34.64,2021/03/09 04:15,20210308,Call,2750.0,318
22,FCX,2022/01/21,$2.66M,32.0,34.64,2021/03/09 04:15,20210308,Call,2660.0,318
23,VALE,2021/03/19,$16.00K,15.0,17.26,2021/03/09 04:12,20210308,Put,16.0,10
24,XOM,2021/04/16,$1.59M,62.5,60.91,2021/03/09 04:10,20210308,Put,1590.0,38
25,XOM,2021/04/16,$948.00K,62.5,60.91,2021/03/09 04:10,20210308,Call,948.0,38
