,Symbol,Expiration,Size,Strike,Spot,Received,dt,Type,Cap,diff
0,STPK,2021/04/16,$360.00K,55.0,30.17,2021/03/11 04:29,20210310,Call,360.0,36
1,KHC,2022/01/21,$8.32M,20.0,39.6,2021/03/11 04:28,20210310,Call,8320.0,316
2,KHC,2021/04/16,$2.27M,30.0,39.6,2021/03/11 04:28,20210310,Call,2270.0,36
3,KHC,2022/01/21,$2.89M,25.0,39.6,2021/03/11 04:28,20210310,Call,2890.0,316
4,CFG,2022/01/21,$790.00K,50.0,44.49,2021/03/11 04:25,20210310,Call,790.0,316
5,ET,2021/03/12,$183.02K,9.0,8.56,2021/03/11 04:24,20210310,Put,183.02,1
6,RIG,2021/03/12,$19.24K,5.0,4.7,2021/03/11 04:17,20210310,Call,19.24,1
7,NFLX,2021/05/21,$10.72M,510.0,507.26,2021/03/11 04:17,20210310,Call,10720.0,71
8,NFLX,2021/05/21,$11.25M,510.0,507.26,2021/03/11 04:17,20210310,Put,11250.0,71
9,LUMN,2021/04/16,$2.00K,8.0,13.91,2021/03/11 04:16,20210310,Put,2.0,36
10,LUMN,2021/04/16,$60.00K,10.0,13.91,2021/03/11 04:16,20210310,Put,60.0,36
11,LUMN,2021/04/16,$100.00K,12.0,13.91,2021/03/11 04:16,20210310,Put,100.0,36
12,CWEN,2021/05/21,$208.39K,30.0,28.33,2021/03/11 04:13,20210310,Call,208.39,71
13,SLB,2021/06/18,$321.75K,40.0,29.71,2021/03/11 04:13,20210310,Call,321.75,99
14,RIG,2021/03/12,$19.49K,5.0,4.66,2021/03/11 04:12,20210310,Call,19.49,1
15,SLB,2021/05/21,$434.00K,27.5,29.7,2021/03/11 04:07,20210310,Put,434.0,71
16,CHPT,2021/03/19,$4.21M,7.5,28.57,2021/03/11 04:06,20210310,Call,4210.0,8
17,BOX,2021/04/16,$603.40K,21.0,21.0,2021/03/11 04:05,20210310,Call,603.4,36
18,STPK,2021/04/16,$320.00K,55.0,30.25,2021/03/11 04:05,20210310,Call,320.0,36
