,Symbol,Expiration,Size,Strike,Spot,Received,dt,Type,Cap,diff
0,IAA,2021/04/16,$826.80K,60.0,58.08,2021/01/26 04:29,20210125,Call,826.8,73
1,SPCE,2021/02/19,$454.29K,44.0,35.83,2021/01/26 04:26,20210125,Call,454.29,17
2,XL,2021/08/20,$525.00K,40.0,19.31,2021/01/26 04:25,20210125,Call,525.0,199
5,FR,2021/03/19,$136.50K,40.0,41.81,2021/01/26 04:23,20210125,Put,136.5,45
6,VALE,2021/04/16,$103.40K,23.0,16.86,2021/01/26 04:18,20210125,Call,103.4,73
7,NOK,2023/01/20,$181.79K,7.0,4.78,2021/01/26 04:17,20210125,Call,181.79,717
9,SNE,2022/01/21,$1.48M,115.0,98.75,2021/01/26 04:16,20210125,Call,1480.0,353
10,NOK,2022/01/21,$181.44K,10.0,4.78,2021/01/26 04:13,20210125,Call,181.44,353
11,NEE,2021/03/19,$1.22M,90.0,86.82,2021/01/26 04:13,20210125,Call,1220.0,45
12,NEE,2021/03/19,$2.77M,85.0,86.82,2021/01/26 04:13,20210125,Call,2770.0,45
14,BBBY,2021/03/19,$492.54K,26.0,31.95,2021/01/26 04:09,20210125,Put,492.54,45
15,CSCO,2022/01/21,$634.50K,42.5,44.87,2021/01/26 04:08,20210125,Put,634.5,353
16,LVS,2021/03/19,$630.00K,55.0,53.25,2021/01/26 04:07,20210125,Call,630.0,45
17,WU,2021/05/21,$224.17K,24.0,22.6,2021/01/26 03:59,20210125,Call,224.17,108
18,WU,2021/05/21,$30.04K,28.0,22.58,2021/01/26 03:59,20210125,Call,30.04,108
19,WU,2021/05/21,$23.85K,28.0,22.49,2021/01/26 03:55,20210125,Call,23.85,108
20,WU,2021/05/21,$151.05K,24.0,22.49,2021/01/26 03:55,20210125,Call,151.05,108
21,WU,2021/05/21,$27.98K,28.0,22.47,2021/01/26 03:55,20210125,Call,27.98,108
22,WU,2021/05/21,$214.54K,24.0,22.47,2021/01/26 03:55,20210125,Call,214.54,108
23,GSX,2021/04/16,$5.03M,120.0,99.84,2021/01/26 03:55,20210125,Put,5030.0,73
24,GSX,2021/04/16,$1.95M,120.0,99.84,2021/01/26 03:55,20210125,Call,1950.0,73
25,FTI,2021/02/19,$174.44K,12.0,10.44,2021/01/26 03:54,20210125,Call,174.44,17
26,AAL,2021/02/19,$232.80K,15.0,15.39,2021/01/26 03:47,20210125,Put,232.8,17
27,CBAT,2021/02/19,$121.35K,5.0,8.93,2021/01/26 03:45,20210125,Put,121.35,17
28,CBAT,2021/02/19,$171.26K,5.0,8.93,2021/01/26 03:45,20210125,Put,171.26,17
29,CBAT,2021/03/19,$189.10K,12.5,8.93,2021/01/26 03:45,20210125,Call,189.1,45
30,CBAT,2021/02/19,$96.00K,5.0,8.85,2021/01/26 03:41,20210125,Put,96.0,17
31,VNO,2021/03/19,$87.50K,30.0,38.74,2021/01/26 03:39,20210125,Put,87.5,45
32,VNO,2021/03/19,$195.00K,35.0,38.74,2021/01/26 03:39,20210125,Put,195.0,45
33,M,2023/01/20,$832.50K,25.0,14.21,2021/01/26 03:37,20210125,Call,832.5,717
34,AAL,2022/01/21,$1.11M,8.0,15.37,2021/01/26 03:36,20210125,Put,1110.0,353
36,BB,2021/03/05,$2.79M,20.0,18.31,2021/01/26 03:36,20210125,Call,2790.0,31
38,CCIV,2021/03/19,$45.40K,10.0,24.74,2021/01/26 03:35,20210125,Put,45.4,45
39,GM,2021/03/19,$372.00K,45.0,52.75,2021/01/26 03:34,20210125,Put,372.0,45
40,GM,2021/02/12,$261.00K,59.0,52.75,2021/01/26 03:34,20210125,Call,261.0,10
41,VIAC,2021/04/16,$1.01M,44.0,47.28,2021/01/26 03:31,20210125,Put,1010.0,73
42,VIAC,2021/04/16,$834.90K,37.0,47.28,2021/01/26 03:31,20210125,Put,834.9,73
43,IVR,2022/01/21,$127.40K,2.0,3.77,2021/01/26 03:30,20210125,Put,127.4,353
44,CBAT,2021/02/19,$75.00K,5.0,9.04,2021/01/26 03:29,20210125,Put,75.0,17
45,CBAT,2021/02/19,$73.50K,5.0,9.04,2021/01/26 03:29,20210125,Put,73.5,17
46,CBAT,2021/03/19,$163.50K,12.5,9.04,2021/01/26 03:29,20210125,Call,163.5,45
47,NOK,2022/01/21,$2.46M,4.0,4.78,2021/01/26 03:25,20210125,Put,2460.0,353
48,NOK,2022/01/21,$4.86M,4.0,4.78,2021/01/26 03:25,20210125,Call,4860.0,353
49,TSM,2021/02/19,$393.95K,150.0,130.49,2021/01/26 03:25,20210125,Call,393.95,17
50,PLTR,2021/03/19,$3.87M,33.0,34.51,2021/01/26 03:24,20210125,Put,3870.0,45
51,PLTR,2021/03/19,$2.34M,29.0,34.51,2021/01/26 03:24,20210125,Put,2340.0,45
52,BGS,2021/05/21,$525.00K,30.0,33.11,2021/01/26 03:23,20210125,Put,525.0,108
53,JD,2021/03/19,$3.05M,95.0,97.28,2021/01/26 03:21,20210125,Call,3050.0,45
54,PLTR,2021/03/19,$2.91M,26.0,34.52,2021/01/26 03:18,20210125,Call,2910.0,45
55,PLTR,2021/03/05,$3.55M,45.0,34.48,2021/01/26 03:17,20210125,Put,3550.0,31
56,PLTR,2021/03/05,$825.00K,45.0,34.48,2021/01/26 03:17,20210125,Call,825.0,31
57,SPCE,2021/02/19,$440.00K,44.0,35.42,2021/01/26 03:17,20210125,Call,440.0,17
59,PLTR,2021/03/19,$942.87K,29.0,34.36,2021/01/26 03:15,20210125,Put,942.87,45
60,PLTR,2021/03/19,$1.58M,33.0,34.36,2021/01/26 03:15,20210125,Put,1580.0,45
61,EPD,2021/03/19,$847.50K,20.0,21.11,2021/01/26 03:15,20210125,Put,847.5,45
62,MU,2021/04/16,$962.73K,85.0,81.2,2021/01/26 03:14,20210125,Call,962.73,73
63,FTAI,2021/02/19,$6.20M,20.0,23.42,2021/01/26 03:10,20210125,Call,6200.0,17
64,PLTR,2021/03/19,$1.67M,33.0,33.73,2021/01/26 03:08,20210125,Put,1670.0,45
65,PLTR,2021/03/19,$1.01M,29.0,33.73,2021/01/26 03:08,20210125,Put,1010.0,45
66,BGS,2021/05/21,$750.05K,30.0,33.24,2021/01/26 03:07,20210125,Put,750.05,108
67,LUV,2021/06/18,$1.04M,45.0,45.39,2021/01/26 03:06,20210125,Call,1040.0,136
68,PLTR,2021/03/19,$1.68M,33.0,33.93,2021/01/26 03:04,20210125,Put,1680.0,45
69,PLTR,2021/03/19,$1.02M,29.0,33.93,2021/01/26 03:04,20210125,Put,1020.0,45
