,dt,cnt
TSN,1,3
STNG,1,1
PBF,1,1
OTIS,1,1
OTIC,1,1
OSUR,1,1
SLM,1,1
OMCL,1,1
OLLI,1,2
OKE,1,1
SLF,1,2
SMED,1,1
NWL,1,1
NVT,1,1
NVS,1,2
SNE,1,1
NTR,1,1
NSTG,1,2
SO,1,2
NKLA,1,2
NYCB,1,1
NKE,1,1
SLCA,1,1
SKY,1,1
FLDM,1,3
RBAC,1,1
RBA,1,1
TGT,1,3
QEP,1,2
QELL,1,2
RFP,1,1
PVH,1,2
GSK,1,3
PVG,1,1
SHOP,1,1
SIG,1,1
PLL,1,1
PLD,1,1
TIGR,1,3
SKLZ,1,2
PENN,1,1
PDM,1,1
PSNL,1,1
EVH,1,1
SOL,1,2
NG,1,1
MET,1,2
MDT,1,1
GPN,1,3
MDC,1,1
MCD,1,1
MAXR,1,1
MARK,1,1
MAG,1,1
SRNE,1,1
SSYS,1,1
LYV,1,1
LYG,1,1
STIM,1,1
LUV,1,1
LOGI,1,1
RHI,1,2
LMND,1,2
LLNW,1,2
STAY,1,1
SOLO,1,1
SRE,1,2
MLCO,1,1
NFLX,1,2
NET,1,1
SONO,1,2
NEE,1,2
RGLD,1,2
NAVI,1,1
MUR,1,1
SPH,1,1
MIC,1,1
MTSI,1,1
MTCH,1,1
MT,1,2
SPR,1,1
MPW,1,1
MPLX,1,1
SQM,1,2
MO,1,1
RCII,1,3
MTG,1,2
UHS,1,1
REZI,1,1
UMC,1,1
ATOS,1,1
PCG,1,3
XEC,1,1
AUPH,1,1
CLDT,1,1
CLA,1,1
CL,1,2
CHWY,1,2
CHRW,1,2
CHGG,1,2
CFR,1,1
AVTR,1,1
AXL,1,1
CF,1,1
AXNX,1,2
AT,1,1
CCXI,1,1
CLR,1,1
VRM,1,1
VECO,1,2
CRWD,1,1
ANF,1,1
CRIS,1,1
VIAV,1,1
CQP,1,1
CPRT,1,1
SAVE,1,2
COUP,1,1
MDLZ,1,3
CNR,1,1
VOD,1,1
API,1,1
APO,1,2
CME,1,1
AR,1,2
XENT,1,2
CCX,1,1
VRTX,1,2
BTBT,1,2
WPM,1,1
WORK,1,2
VZ,1,1
BOX,1,1
BERY,1,1
BNED,1,1
WISH,1,1
BMO,1,2
BLNK,1,1
WB,1,1
BK,1,1
SABR,1,2
BILL,1,2
BHVN,1,2
BTWN,1,2
ETRN,1,1
BCS,1,1
BCRX,1,1
CCK,1,1
VSTO,1,2
RSI,1,2
MNST,1,3
ATUS,1,3
CAT,1,1
AZN,1,1
WY,1,2
BAX,1,1
CARA,1,2
WW,1,1
WPRT,1,1
CAG,1,1
VVPR,1,1
BXP,1,1
BWA,1,2
V,1,1
VLO,1,3
WDAY,1,2
WYND,1,3
DISCK,1,1
UPLD,1,2
AKAM,1,1
EPAM,1,2
EOG,1,2
ABUS,1,2
AGO,1,1
AG,1,1
CVNA,1,2
EPD,1,3
DMRC,1,1
AEM,1,1
UNP,1,1
DXC,1,2
ADSK,1,2
E,1,1
YRCW,1,1
ENBL,1,1
UNIT,1,1
EC,1,1
EDU,1,3
EGHT,1,1
UNH,1,1
ADNT,1,1
ABNB,1,1
UPS,1,2
EMR,1,1
DDOG,1,1
UUUU,1,1
RLGY,1,1
ESPR,1,2
CVX,1,1
EQX,1,2
RUN,1,1
ZI,1,1
ABC,1,2
CXO,1,1
AMPE,1,2
CYH,1,1
CYRX,1,2
ABEV,1,1
CZR,1,3
XLRN,1,1
USFD,1,2
ALNY,1,2
ALXN,1,3
XNET,1,1
DB,1,1
URBN,1,3
EQNR,1,1
DAN,1,1
DASH,1,3
