,Symbol,Expiration,Size,Strike,Spot,Received,dt,Type,Cap,diff
0,TECK,2021/04/16,$160.08K,24.0,22.69,2021/03/12 04:28,20210312,Call,160.08,32
1,IBM,2021/04/16,$750.00K,130.0,127.3,2021/03/12 04:25,20210312,Put,750.0,32
2,IBM,2021/04/16,$367.50K,130.0,127.3,2021/03/12 04:25,20210312,Call,367.5,32
3,PLTR,2021/03/19,$410.61K,25.5,26.62,2021/03/12 04:23,20210312,Call,410.61,4
4,GILD,2021/03/19,$1.32M,60.0,63.41,2021/03/12 04:22,20210312,Call,1320.0,4
5,IRM,2021/03/19,$440.00K,35.0,37.16,2021/03/12 04:22,20210312,Call,440.0,4
6,IRM,2021/04/16,$1.14M,30.0,37.16,2021/03/12 04:22,20210312,Call,1140.0,32
7,CX,2021/04/16,$58.42K,8.0,7.3,2021/03/12 04:21,20210312,Call,58.42,32
8,VIAC,2022/01/21,$50.88M,13.0,86.44,2021/03/12 04:19,20210312,Call,50880.0,312
9,VIAC,2021/03/19,$19.21M,50.0,86.44,2021/03/12 04:19,20210312,Call,19210.0,4
10,VIAC,2021/03/19,$17.42M,55.0,86.41,2021/03/12 04:18,20210312,Call,17420.0,4
11,MOS,2021/04/16,$315.88K,35.0,33.47,2021/03/12 04:17,20210312,Call,315.88,32
12,CX,2021/04/16,$100.00K,8.0,7.25,2021/03/12 04:16,20210312,Call,100.0,32
13,ACB,2021/03/26,$6.50K,30.0,10.42,2021/03/12 04:16,20210312,Call,6.5,11
14,EPC,2021/05/21,$437.50K,35.0,34.73,2021/03/12 04:15,20210312,Call,437.5,67
15,VALE,2021/03/19,$171.00K,19.0,18.01,2021/03/12 04:15,20210312,Call,171.0,4
16,DAL,2021/04/16,$120.15K,55.0,48.1,2021/03/12 04:14,20210312,Call,120.15,32
17,JPM,2021/06/18,$117.00K,95.0,154.33,2021/03/12 04:10,20210312,Put,117.0,95
18,TMUS,2021/03/19,$623.00K,130.0,126.4,2021/03/12 04:08,20210312,Call,623.0,4
20,TMUS,2021/03/19,$268.50K,130.0,126.4,2021/03/12 04:08,20210312,Call,268.5,4
21,TMUS,2021/03/19,$95.00K,140.0,126.4,2021/03/12 04:08,20210312,Call,95.0,4
22,PBR,2021/07/16,$38.63K,12.0,8.26,2021/03/12 04:05,20210312,Call,38.63,123
23,OGI,2021/03/19,$75.00K,5.0,3.96,2021/03/12 04:05,20210312,Call,75.0,4
24,AMRS,2021/06/18,$1.34M,20.0,17.99,2021/03/12 04:04,20210312,Call,1340.0,95
25,YNDX,2022/01/21,$2.53M,90.0,66.42,2021/03/12 04:04,20210312,Call,2530.0,312
26,YNDX,2022/01/21,$2.04M,60.0,66.42,2021/03/12 04:04,20210312,Call,2040.0,312
27,VALE,2021/03/19,$360.00K,19.0,18.0,2021/03/12 04:02,20210312,Call,360.0,4
28,TLRY,2021/03/19,$1.06M,25.0,26.63,2021/03/12 04:01,20210312,Call,1060.0,4
29,HCHC,2021/08/20,$63.45K,5.0,3.6,2021/03/12 03:58,20210312,Call,63.45,158
30,JPM,2022/01/21,$714.00K,75.0,154.46,2021/03/12 03:56,20210312,Put,714.0,312
31,SABR,2021/12/17,$901.80K,25.0,16.02,2021/03/12 03:56,20210312,Call,901.8,277
32,TMUS,2021/03/19,$494.88K,120.0,126.37,2021/03/12 03:55,20210312,Put,494.88,4
33,CLF,2022/01/21,$561.75K,20.0,16.7,2021/03/12 03:54,20210312,Call,561.75,312
34,IDRA,2021/03/19,$45.99K,3.0,4.97,2021/03/12 03:52,20210312,Put,45.99,4
35,PRPB,2021/05/21,$30.00K,12.5,10.32,2021/03/12 03:52,20210312,Call,30.0,67
