,Symbol,Expiration,Size,Strike,Spot,Received,dt,Type,Cap,diff
0,CNX,2021/03/19,$375.00K,15.0,14.01,2021/02/19 04:28,20210218,Call,375.0,28
2,PLTR,2021/05/21,$5.31M,25.0,25.01,2021/02/19 04:27,20210218,Call,5310.0,91
3,MFC,2021/09/17,$168.00K,18.0,19.72,2021/02/19 04:25,20210218,Put,168.0,210
4,MFC,2021/09/17,$176.00K,20.0,19.72,2021/02/19 04:25,20210218,Call,176.0,210
5,PLTR,2021/05/21,$6.90M,25.0,24.93,2021/02/19 04:21,20210218,Put,6900.0,91
6,BHC,2021/03/19,$889.00K,30.0,31.66,2021/02/19 04:21,20210218,Put,889.0,28
7,BHC,2021/03/19,$345.00K,27.0,31.66,2021/02/19 04:21,20210218,Put,345.0,28
8,LI,2021/02/26,$468.00K,27.5,29.49,2021/02/19 04:19,20210218,Put,468.0,7
9,COTY,2021/05/21,$161.16K,9.0,7.22,2021/02/19 04:18,20210218,Call,161.16,91
10,COTY,2021/05/21,$118.32K,10.0,7.22,2021/02/19 04:18,20210218,Call,118.32,91
12,PLUG,2021/03/19,$204.00K,75.0,51.91,2021/02/19 04:17,20210218,Call,204.0,28
13,COTY,2021/05/21,$135.09K,9.0,7.24,2021/02/19 04:17,20210218,Call,135.09,91
14,LI,2021/03/19,$995.30K,33.0,29.53,2021/02/19 04:17,20210218,Put,995.3,28
16,FCX,2021/04/16,$524.00K,40.0,34.45,2021/02/19 04:10,20210218,Call,524.0,56
17,FCX,2021/04/16,$168.00K,25.0,34.45,2021/02/19 04:10,20210218,Put,168.0,56
18,FCX,2021/04/16,$140.00K,48.0,34.45,2021/02/19 04:10,20210218,Call,140.0,56
19,NOK,2022/01/21,$54.22K,7.0,4.11,2021/02/19 04:10,20210218,Call,54.22,336
21,PLTR,2021/03/12,$687.53K,25.0,24.99,2021/02/19 04:06,20210218,Call,687.53,21
22,RMO,2021/03/19,$147.78K,17.5,14.55,2021/02/19 04:06,20210218,Call,147.78,28
23,AFL,2021/05/21,$2.65M,50.0,47.53,2021/02/19 04:05,20210218,Call,2650.0,91
24,AFL,2021/05/21,$1.32M,40.0,47.53,2021/02/19 04:05,20210218,Put,1320.0,91
27,FUTU,2021/03/19,$24.93M,15.0,171.13,2021/02/19 04:03,20210218,Call,24930.0,28
28,LYFT,2021/03/19,$517.50K,57.5,57.32,2021/02/19 04:02,20210218,Call,517.5,28
29,PBR,2021/04/16,$598.50K,10.0,10.82,2021/02/19 04:02,20210218,Call,598.5,56
