,Symbol,Expiration,Size,Strike,Spot,Received,dt,Type,Cap,diff
0,ZNGA,2022/01/21,$643.50K,10.0,12.04,2021/02/12 04:27,20210211,Call,643.5,343
1,ZNGA,2022/01/21,$633.75K,10.0,12.04,2021/02/12 04:27,20210211,Call,633.75,343
2,MA,2021/06/18,$7.18M,350.0,342.12,2021/02/12 04:25,20210211,Call,7180.0,126
3,MA,2021/02/19,$95.22K,320.0,342.12,2021/02/12 04:25,20210211,Put,95.22,7
4,MA,2021/06/18,$3.47M,310.0,342.12,2021/02/12 04:25,20210211,Put,3470.0,126
5,MA,2021/02/19,$1.75M,340.0,342.12,2021/02/12 04:25,20210211,Call,1750.0,7
6,MA,2021/02/19,$120.06K,370.0,342.12,2021/02/12 04:25,20210211,Call,120.06,7
7,MA,2021/06/18,$2.86M,390.0,342.12,2021/02/12 04:25,20210211,Call,2860.0,126
8,SIMO,2021/02/19,$2.05M,50.0,62.86,2021/02/12 04:21,20210211,Call,2050.0,7
9,SIMO,2021/02/19,$1.94M,55.0,62.86,2021/02/12 04:21,20210211,Call,1940.0,7
10,SVMK,2021/02/19,$351.53K,25.0,27.73,2021/02/12 04:14,20210211,Put,351.53,7
11,DNN,2021/07/16,$61.81K,2.5,1.08,2021/02/12 04:13,20210211,Call,61.81,154
12,ELY,2021/03/19,$251.25K,30.0,30.98,2021/02/12 04:09,20210211,Put,251.25,35
13,DNN,2021/04/16,$52.50K,2.5,1.08,2021/02/12 04:09,20210211,Call,52.5,63
14,DNN,2021/04/16,$43.40K,2.5,1.08,2021/02/12 04:09,20210211,Call,43.4,63
15,DNN,2021/04/16,$115.92K,2.5,1.08,2021/02/12 04:08,20210211,Call,115.92,63
16,PLTR,2021/02/19,$759.50K,31.5,33.19,2021/02/12 04:05,20210211,Put,759.5,7
17,AAL,2021/06/18,$104.00K,10.0,16.81,2021/02/12 04:05,20210211,Put,104.0,126
18,AAL,2021/05/21,$322.50K,16.0,16.81,2021/02/12 04:05,20210211,Put,322.5,98
19,AAL,2022/01/21,$435.00K,10.0,16.81,2021/02/12 04:05,20210211,Put,435.0,343
20,AAL,2021/03/19,$160.00K,15.0,16.81,2021/02/12 04:05,20210211,Put,160.0,35
21,AAL,2023/01/20,$945.00K,17.0,16.81,2021/02/12 04:05,20210211,Put,945.0,707
22,AAL,2021/02/19,$21.00K,15.0,16.81,2021/02/12 04:05,20210211,Put,21.0,7
23,ZGNX,2022/01/21,$1.25M,30.0,22.24,2021/02/12 04:02,20210211,Call,1250.0,343
24,MRVL,2021/02/19,$10.00K,65.0,51.85,2021/02/12 04:02,20210211,Call,10.0,7
25,MRVL,2021/02/19,$180.00K,55.0,51.85,2021/02/12 04:02,20210211,Call,180.0,7
26,TSN,2021/07/16,$820.00K,62.5,65.44,2021/02/12 03:52,20210211,Put,820.0,154
27,TSEM,2021/02/19,$232.50K,32.0,32.38,2021/02/12 03:51,20210211,Call,232.5,7
28,SNDL,2021/02/19,$357.20K,4.0,2.59,2021/02/12 03:50,20210211,Put,357.2,7
29,SNDL,2021/02/19,$780.80K,4.0,2.57,2021/02/12 03:48,20210211,Put,780.8,7
30,PLTR,2021/02/19,$1.06M,35.0,33.39,2021/02/12 03:48,20210211,Put,1060.0,7
31,TSN,2021/07/16,$800.00K,62.5,65.54,2021/02/12 03:46,20210211,Put,800.0,154
32,SLF,2021/05/21,$137.50K,45.0,49.22,2021/02/12 03:43,20210211,Put,137.5,98
33,SLF,2021/05/21,$425.00K,50.0,49.22,2021/02/12 03:43,20210211,Call,425.0,98
34,BGFV,2022/01/21,$102.00K,5.0,15.77,2021/02/12 03:42,20210211,Put,102.0,343
35,SQ,2023/01/20,$7.96M,350.0,265.39,2021/02/12 03:41,20210211,Call,7960.0,707
36,SQ,2023/01/20,$5.71M,200.0,265.39,2021/02/12 03:41,20210211,Put,5710.0,707
37,SNDL,2021/02/19,$1.01M,4.0,2.57,2021/02/12 03:41,20210211,Put,1010.0,7
38,TLRY,2021/02/19,$711.88K,40.0,34.48,2021/02/12 03:41,20210211,Call,711.88,7
39,TLRY,2021/02/19,$732.73K,40.0,34.77,2021/02/12 03:38,20210211,Call,732.73,7
40,CVS,2022/01/21,$2.00M,70.0,73.72,2021/02/12 03:37,20210211,Put,2000.0,343
