No.,No.链接,Ticker,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume,Rel Volume,Price,Change,Volume
28,https://finviz.com/quote.ashx?t=BKE&ty=c&p=d&b=1,BKE,-3.91%,0.80%,50.51%,115.40%,77.59%,29.73%,5.03%,4.30%,3.00,525.99K,0.80,37.88,1.31%,"421,142"
29,https://finviz.com/quote.ashx?t=BLMN&ty=c&p=d&b=1,BLMN,-1.55%,21.34%,49.14%,82.01%,45.97%,34.40%,5.27%,4.70%,2.20,2.14M,0.94,26.10,0.89%,"2,015,006"
30,https://finviz.com/quote.ashx?t=BLNK&ty=c&p=d&b=1,BLNK,-19.82%,-28.79%,35.09%,385.21%,1315.35%,-20.21%,11.93%,11.67%,2.30,12.10M,0.39,34.11,-10.17%,"4,763,053"
31,https://finviz.com/quote.ashx?t=BRP&ty=c&p=d&b=1,BRP,-9.35%,12.63%,-9.75%,-3.38%,65.30%,-11.31%,7.99%,5.52%,2.20,419.36K,0.46,26.58,-2.14%,"194,035"
32,https://finviz.com/quote.ashx?t=BTAI&ty=c&p=d&b=1,BTAI,-17.13%,-8.70%,7.32%,15.88%,50.38%,2.21%,9.54%,8.38%,1.60,537.91K,1.42,47.22,-10.42%,"755,885"
33,https://finviz.com/quote.ashx?t=BZUN&ty=c&p=d&b=1,BZUN,-2.19%,11.86%,23.57%,10.81%,47.37%,33.68%,6.29%,7.29%,1.90,1.33M,0.64,45.92,-3.18%,"863,642"
34,https://finviz.com/quote.ashx?t=CACC&ty=c&p=d&b=1,CACC,1.76%,1.20%,25.61%,-3.07%,-10.98%,8.32%,3.70%,3.70%,3.30,145.31K,0.45,374.93,-0.75%,"65,936"
35,https://finviz.com/quote.ashx?t=CHD&ty=c&p=d&b=1,CHD,-1.41%,-6.62%,-10.64%,-18.16%,7.35%,-10.09%,1.90%,1.95%,2.60,1.34M,0.85,78.43,-1.00%,"1,139,774"
36,https://finviz.com/quote.ashx?t=CHRS&ty=c&p=d&b=1,CHRS,-4.93%,-12.33%,-16.41%,-18.66%,-21.15%,-11.22%,7.11%,5.62%,1.90,1.30M,1.13,15.43,-1.91%,"1,455,729"
37,https://finviz.com/quote.ashx?t=CLOV&ty=c&p=d&b=1,CLOV,-19.83%,-39.97%,-20.21%,-21.05%,-,-50.57%,11.04%,8.29%,-,17.14M,1.50,8.29,-8.30%,"25,552,444"
38,https://finviz.com/quote.ashx?t=CLR&ty=c&p=d&b=1,CLR,1.75%,32.94%,70.03%,52.21%,50.03%,60.43%,6.36%,6.87%,2.80,2.83M,0.66,26.15,5.15%,"1,868,488"
39,https://finviz.com/quote.ashx?t=CLVS&ty=c&p=d&b=1,CLVS,-10.48%,-34.40%,12.80%,6.53%,-25.20%,15.62%,9.40%,10.49%,3.30,8.03M,0.90,5.55,-2.97%,"7,344,627"
