,Symbol,Expiration,Size,Strike,Spot,Received,dt,Type,Cap,diff
0,MTCH,2022/01/21,$1.93M,120.0,155.63,2021/03/02 04:27,20210301,Put,1930.0,324
1,NCLH,2023/01/20,$837.10K,15.0,29.66,2021/03/02 04:27,20210301,Put,837.1,688
2,GOLD,2021/03/19,$7.98K,26.0,19.0,2021/03/02 04:21,20210301,Call,7.98,16
3,PYPL,2021/06/18,$6.84M,270.0,273.62,2021/03/02 04:18,20210301,Call,6840.0,107
4,PYPL,2021/06/18,$5.84M,270.0,273.62,2021/03/02 04:18,20210301,Put,5840.0,107
5,VALE,2021/03/19,$300.00K,17.0,17.73,2021/03/02 04:18,20210301,Put,300.0,16
6,CAN,2021/03/19,$240.00K,40.0,21.6,2021/03/02 04:13,20210301,Call,240.0,16
7,MPC,2021/03/19,$88.80K,50.0,56.39,2021/03/02 04:13,20210301,Put,88.8,16
8,AUY,2023/01/20,$136.74K,3.5,4.03,2021/03/02 04:12,20210301,Put,136.74,688
9,AMC,2021/03/19,$162.50K,13.0,9.22,2021/03/02 04:11,20210301,Call,162.5,16
10,PBR,2021/03/05,$10.50K,8.5,7.89,2021/03/02 04:05,20210301,Call,10.5,2
11,PBR,2021/03/19,$43.90K,8.5,7.91,2021/03/02 04:02,20210301,Call,43.9,16
12,PYPL,2021/06/18,$5.25M,270.0,273.54,2021/03/02 03:55,20210301,Put,5250.0,107
13,PYPL,2021/06/18,$6.15M,270.0,273.54,2021/03/02 03:55,20210301,Call,6150.0,107
14,PBR,2023/01/20,$588.00K,7.0,7.99,2021/03/02 03:55,20210301,Put,588.0,688
15,GOEV,2021/03/19,$240.11K,15.0,14.38,2021/03/02 03:54,20210301,Call,240.11,16
16,NEE,2021/03/19,$17.83K,85.0,76.66,2021/03/02 03:53,20210301,Call,17.83,16
17,VLDR,2021/03/19,$120.00K,22.5,16.42,2021/03/02 03:53,20210301,Call,120.0,16
18,XOM,2021/06/18,$810.00K,55.0,57.06,2021/03/02 03:49,20210301,Call,810.0,107
19,HAL,2021/03/19,$67.50K,21.0,22.67,2021/03/02 03:46,20210301,Put,67.5,16
20,GOEV,2021/03/19,$83.04K,17.5,14.14,2021/03/02 03:45,20210301,Call,83.04,16
21,UWMC,2021/03/19,$88.70K,7.5,7.63,2021/03/02 03:43,20210301,Put,88.7,16
22,GOEV,2021/03/19,$306.98K,15.0,14.22,2021/03/02 03:41,20210301,Call,306.98,16
23,TECK,2021/05/21,$672.00K,22.0,21.01,2021/03/02 03:36,20210301,Call,672.0,79
