Name,Symbol,Side,Status,Filled,Total Qty,Price,Avg Price,Time-in-Force,Placed Time,Filled Time
CarParts com Inc,PRTS,Buy,Filled,30,30,@18.63,18.63,DAY,01/27/2021 11:32:24 EST,01/27/2021 11:32:25 EST
OneSpaWorld Holdings Ltd,OSW,Buy,Filled,50,50,@9.33,9.33,DAY,01/27/2021 11:28:25 EST,01/27/2021 11:28:26 EST
Corsair Gaming  Inc.,CRSR,Buy,Filled,10,10,@45.90,45.90,DAY,01/27/2021 11:24:18 EST,01/27/2021 11:24:18 EST
CyberOptics,CYBE,Sell,Filled,55,55,@25.16,25.16,DAY,01/27/2021 11:17:44 EST,01/27/2021 11:23:46 EST
fuboTV Inc.,FUBO,Sell,Filled,2,2,@54.41,54.41,DAY,01/27/2021 11:05:01 EST,01/27/2021 11:11:27 EST
Accuray,ARAY,Buy,Filled,50,50,@5.32,5.32,DAY,01/27/2021 10:36:43 EST,01/27/2021 10:36:45 EST
Root  Inc.,ROOT,Buy,Filled,50,50,@23.40,23.40,DAY,01/27/2021 10:33:23 EST,01/27/2021 11:59:56 EST
XPENG INC.,XPEV,Buy,Filled,10,10,@52.40,52.40,DAY,01/27/2021 10:21:45 EST,01/27/2021 10:21:51 EST
Root  Inc.,ROOT,Buy,Filled,20,20,@23.86,23.86,DAY,01/27/2021 09:49:09 EST,01/27/2021 09:58:20 EST
Tanger Factory,SKT,Buy,Filled,50,50,@19.47,19.47,DAY,01/27/2021 09:42:55 EST,01/27/2021 09:42:56 EST
Exone,XONE,Sell,Filled,45,45,@24.65,24.65,DAY,01/27/2021 09:32:18 EST,01/27/2021 09:34:06 EST
Ideanomics Inc,IDEX,Buy,Filled,20,20,@3.50,3.50,DAY,01/27/2021 09:16:42 EST,01/27/2021 09:16:43 EST
Tanger Factory,SKT,Buy,Filled,20,20,@16.85,16.85,DAY,01/27/2021 05:26:47 EST,01/27/2021 05:26:48 EST
Energy Transfer LP,ET,Buy,Filled,100,100,@6.74,6.74,DAY,01/26/2021 12:26:06 EST,01/26/2021 12:26:07 EST
American Well Corp,AMWL,Buy,Filled,10,10,@36.30,36.30,DAY,01/26/2021 12:17:18 EST,01/26/2021 12:17:18 EST
Exone,XONE,Sell,Filled,10,10,@27.10,27.10,DAY,01/26/2021 12:14:03 EST,01/26/2021 12:14:04 EST
fuboTV Inc.,FUBO,Sell,Filled,10,10,@39.00,39.00,DAY,01/26/2021 12:04:57 EST,01/26/2021 12:05:35 EST
Luminar Technologies Inc,LAZR,Sell,Filled,10,10,@35.00,35.00,DAY,01/26/2021 12:00:01 EST,01/26/2021 12:00:17 EST
Accuray,ARAY,Buy,Filled,50,50,@5.05,5.05,DAY,01/26/2021 11:43:23 EST,01/26/2021 11:43:23 EST
Trident Acquisitions,TDAC,Sell,Cancelled,0,10,@12.40,,GTC,01/26/2021 11:40:52 EST,
Micronet Enertec,MICT,Buy,Filled,150,150,@2.23,2.23,DAY,01/26/2021 11:37:37 EST,01/26/2021 11:37:38 EST
