Name,Symbol,Side,Status,Filled,Total Qty,Price,Avg Price,Time-in-Force,Placed Time,Filled Time
Canoo Inc,GOEV,Buy,Filled,10,10,@13.67,13.67,DAY,01/05/2021 09:34:37 EST,01/05/2021 09:35:17 EST
Voxx Internatrnl,VOXX,Sell,Filled,40,40,@12.02,12.02,DAY,01/04/2021 11:02:09 EST,01/04/2021 11:04:00 EST
CyberOptics,CYBE,Buy,Filled,50,50,@23.20,23.20,DAY,01/04/2021 10:38:02 EST,01/04/2021 10:38:03 EST
Digital Turbine,APPS,Sell,Filled,23,23,@54.39,54.39,DAY,01/04/2021 10:02:00 EST,01/04/2021 10:02:00 EST
Skillz Inc,SKLZ,Sell,Filled,10,10,@18.50,18.50,DAY,01/04/2021 09:52:33 EST,01/04/2021 09:52:34 EST
LITHIUM AMERS,LAC,Buy,Filled,50,50,@12.58,12.58,DAY,12/31/2020 10:58:11 EST,12/31/2020 10:58:57 EST
XPENG INC.,XPEV,Buy,Filled,10,10,@43.84,43.84,DAY,12/31/2020 10:49:36 EST,12/31/2020 10:49:37 EST
fuboTV Inc.,FUBO,Buy,Filled,30,30,@29.99,29.99,DAY,12/31/2020 10:45:50 EST,12/31/2020 10:46:47 EST
Perion Network,PERI,Buy,Filled,10,10,@13.15,13.15,DAY,12/31/2020 10:26:47 EST,12/31/2020 10:34:46 EST
FORUM MERGER III,FIII,Sell,Cancelled,0,35,12.50,,GTC,12/31/2020 10:02:02 EST,
FORUM MERGER III,FIII,Sell,Cancelled,0,35,@14.81,,GTC,12/31/2020 10:02:02 EST,
GigCapital2 Inc,GIX,Sell,Filled,100,100,@10.60,10.60,GTC,12/31/2020 09:59:28 EST,01/06/2021 09:35:59 EST
GigCapital2 Inc,GIX,Sell,Cancelled,0,100,@11.88,,GTC,12/31/2020 09:59:28 EST,
GigCapital3,GIK,Sell,Filled,40,40,@13.37,13.37,DAY,12/31/2020 09:58:59 EST,12/31/2020 09:58:59 EST
Advent Technologies Holdings Inc,ADN,Sell,Filled,50,50,@14.60,14.60,DAY,12/31/2020 09:55:11 EST,12/31/2020 09:55:12 EST
NEWBORN ACQUISITION CORP,NBAC,Sell,Filled,25,25,@17.42,17.42,DAY,12/31/2020 09:52:47 EST,12/31/2020 09:58:19 EST
Velodyne Lidar Inc,VLDR,Sell,Filled,30,30,@22.87,22.87,DAY,12/31/2020 09:50:56 EST,12/31/2020 09:50:57 EST
Tuscan Holdings Corp,THCB,Sell,Cancelled,0,50,@15.80,,DAY,12/31/2020 09:37:12 EST,
Canoo Inc,GOEV,Buy,Filled,10,10,@14.40,14.40,DAY,12/31/2020 09:08:08 EST,12/31/2020 09:08:09 EST
FuelCell Energy,FCEL,Buy,Cancelled,0,60,@11.50,,DAY,12/30/2020 11:38:00 EST,
Alto Ingredients Inc,ALTO,Buy,Filled,20,20,@5.76,5.76,DAY,12/30/2020 10:35:46 EST,12/30/2020 10:35:46 EST
Velodyne Lidar Inc,VLDR,Sell,Filled,40,40,@22.96,22.96,GTC,12/30/2020 10:15:50 EST,12/31/2020 09:50:16 EST
Velodyne Lidar Inc,VLDR,Sell,Cancelled,0,40,@26.80,,GTC,12/30/2020 10:15:50 EST,
Velodyne Lidar Inc,VLDR,Buy,Filled,70,70,@24.50,24.50,DAY,12/30/2020 10:12:21 EST,12/30/2020 10:14:51 EST
Tuscan Holdings Corp,THCB,Sell,Filled,50,50,@16.06,16.06,GTC,12/30/2020 09:41:41 EST,12/31/2020 09:30:02 EST
Tuscan Holdings Corp,THCB,Sell,Cancelled,0,50,@18.74,,GTC,12/30/2020 09:41:41 EST,
Experience Investment Corp,EXPC,Buy,Filled,50,50,@11.34,11.34,DAY,12/30/2020 09:36:21 EST,12/30/2020 09:37:46 EST
Tuscan Holdings Corp,THCB,Buy,Filled,100,100,@16.80,16.80,DAY,12/30/2020 09:33:28 EST,12/30/2020 09:38:45 EST
GrubHub,GRUB,Sell,Filled,4,4,@72.10,72.10,DAY,12/29/2020 12:35:44 EST,12/29/2020 12:39:26 EST
Quanterix,QTRX,Sell,Filled,25,25,@45.74,45.74,DAY,12/29/2020 12:32:52 EST,12/29/2020 12:33:01 EST
Digital Turbine,APPS,Buy,Cancelled,0,3,@51.50,,DAY,12/29/2020 12:31:10 EST,
EHang Holdings Ltd,EH,Sell,Filled,26,26,@21.05,21.05,DAY,12/29/2020 12:29:22 EST,12/29/2020 12:29:23 EST
EMCORE,EMKR,Sell,Filled,150,150,@4.99,4.99,GTC,12/29/2020 12:17:15 EST,01/04/2021 11:04:35 EST
EMCORE,EMKR,Sell,Cancelled,0,150,@6.00,,GTC,12/29/2020 12:17:15 EST,
XPENG INC.,XPEV,Buy,Filled,15,15,@40.80,40.80,DAY,12/29/2020 11:52:48 EST,12/29/2020 11:53:28 EST
Trident Acquisitions,TDAC,Buy,Filled,50,50,@12.34,12.34,DAY,12/29/2020 11:20:09 EST,12/29/2020 11:20:10 EST
GigCapital3,GIK,Sell,Filled,30,30,@13.60,13.60,DAY,12/29/2020 10:16:07 EST,12/29/2020 10:16:08 EST
LITHIUM AMERS,LAC,Sell,Filled,30,30,@11.73,11.73,DAY,12/29/2020 10:10:54 EST,12/29/2020 10:24:08 EST
Clover Health Investments Corp,CLOV,Sell,Filled,30,30,@15.53,15.53,DAY,12/29/2020 10:02:23 EST,12/29/2020 10:02:24 EST
EMCORE,EMKR,Buy,Filled,100,100,@5.40,5.40,DAY,12/29/2020 09:34:57 EST,12/29/2020 09:35:34 EST
EMCORE,EMKR,Buy,Filled,100,100,@5.10,5.10,DAY,12/28/2020 11:58:57 EST,12/28/2020 11:58:58 EST
Clover Health Investments Corp,CLOV,Sell,Filled,20,20,@15.80,15.80,GTC,12/28/2020 11:53:54 EST,12/29/2020 09:57:13 EST
Clover Health Investments Corp,CLOV,Sell,Cancelled,0,20,@18.03,,GTC,12/28/2020 11:53:54 EST,
FuelCell Energy,FCEL,Sell,Filled,60,60,@11.50,11.50,GTC,12/28/2020 11:43:56 EST,12/28/2020 12:41:35 EST
FuelCell Energy,FCEL,Sell,Cancelled,0,60,@12.90,,GTC,12/28/2020 11:43:56 EST,
Alto Ingredients Inc,ALTO,Buy,Filled,100,100,@6.26,6.26,DAY,12/28/2020 11:22:41 EST,12/28/2020 11:22:41 EST
Experience Investment Corp,EXPC,Buy,Filled,100,100,@11.05,11.05,DAY,12/28/2020 11:15:32 EST,12/28/2020 11:15:32 EST
Perion Network,PERI,Buy,Filled,5,5,@12.87,12.87,DAY,12/28/2020 11:05:59 EST,12/28/2020 11:06:00 EST
Mohawk Group Holdings Inc,MWK,Sell,Filled,30,30,@17.80,17.80,DAY,12/28/2020 11:04:12 EST,12/28/2020 11:04:42 EST
Oblong Inc,OBLG,Sell,Filled,100,100,@5.18,5.18,GTC,12/28/2020 10:31:50 EST,12/31/2020 15:56:48 EST
Oblong Inc,OBLG,Sell,Cancelled,0,100,@5.98,,GTC,12/28/2020 10:31:50 EST,
Clover Health Investments Corp,CLOV,Sell,Filled,10,10,@16.14,16.14,DAY,12/28/2020 10:30:22 EST,12/28/2020 10:30:23 EST
InterPrivate Acquisition Corp,IPV,Sell,Filled,10,10,@16.10,16.10,DAY,12/28/2020 10:20:52 EST,12/28/2020 10:30:48 EST
FuelCell Energy,FCEL,Sell,Filled,60,60,@11.88,11.88,GTC,12/28/2020 10:03:59 EST,12/28/2020 11:41:22 EST
FuelCell Energy,FCEL,Sell,Cancelled,0,60,@13.86,,GTC,12/28/2020 10:03:59 EST,
FuelCell Energy,FCEL,Sell,Filled,20,20,@12.59,12.59,DAY,12/28/2020 10:02:51 EST,12/28/2020 10:02:52 EST
Ozon Holdings PLC,OZON,Sell,Filled,5,5,@43.83,43.83,DAY,12/28/2020 09:45:46 EST,12/28/2020 09:45:47 EST
GrubHub,GRUB,Sell,Filled,2,2,@74.89,74.89,DAY,12/28/2020 09:41:58 EST,12/28/2020 09:42:07 EST
Clover Health Investments Corp,CLOV,Sell,Filled,10,10,@16.56,16.56,DAY,12/28/2020 09:40:39 EST,12/28/2020 09:40:40 EST
eGain,EGAN,Sell,Filled,100,100,@11.98,11.98,GTC,12/28/2020 09:35:53 EST,12/29/2020 09:44:37 EST
eGain,EGAN,Sell,Cancelled,0,100,@13.63,,GTC,12/28/2020 09:35:53 EST,
Oblong Inc,OBLG,Buy,Filled,100,100,@5.54,5.54,DAY,12/28/2020 08:37:36 EST,12/28/2020 09:37:28 EST
NEWBORN ACQUISITION CORP,NBAC,Sell,Filled,25,25,@18.30,18.30,GTC,12/24/2020 10:13:09 EST,12/28/2020 13:35:58 EST
NEWBORN ACQUISITION CORP,NBAC,Sell,Cancelled,0,25,@21.01,,GTC,12/24/2020 10:13:09 EST,
Trident Acquisitions,TDAC,Buy,Filled,40,40,@13.00,13.00,DAY,12/24/2020 09:55:00 EST,12/24/2020 10:29:03 EST
GigCapital3,GIK,Sell,Filled,30,30,@14.00,14.00,DAY,12/24/2020 09:41:18 EST,12/24/2020 09:41:37 EST
FuelCell Energy,FCEL,Sell,Cancelled,0,50,12.00,,GTC,12/24/2020 09:35:04 EST,
FuelCell Energy,FCEL,Sell,Cancelled,0,50,@13.82,,GTC,12/24/2020 09:35:04 EST,
FuelCell Energy,FCEL,Sell,Filled,20,20,@12.50,12.50,DAY,12/24/2020 09:32:09 EST,12/24/2020 09:33:37 EST
AudioCodes,AUDC,Buy,Filled,30,30,@29.20,29.20,GTC,12/23/2020 10:58:35 EST,12/23/2020 12:01:58 EST
Skillz Inc,SKLZ,Buy,Filled,10,10,@18.00,18.00,GTC,12/23/2020 10:30:09 EST,12/31/2020 13:31:01 EST
Clover Health Investments Corp,CLOV,Sell,Filled,10,10,@14.29,14.29,DAY,12/23/2020 10:23:21 EST,12/23/2020 10:23:22 EST
OCEAN POWER TECH,OPTT,Sell,Filled,150,150,@2.75,2.75,GTC,12/23/2020 10:16:13 EST,12/31/2020 11:45:59 EST
OCEAN POWER TECH,OPTT,Sell,Cancelled,0,150,@3.41,,GTC,12/23/2020 10:16:13 EST,
eGain,EGAN,Buy,Filled,100,100,@12.00,12.00,DAY,12/23/2020 10:11:39 EST,12/23/2020 10:11:40 EST
NEWBORN ACQUISITION CORP,NBAC,Sell,Filled,30,30,@19.43,19.43,DAY,12/23/2020 09:57:15 EST,12/23/2020 09:57:16 EST
Mohawk Group Holdings Inc,MWK,Sell,Filled,20,20,@15.73,15.73,DAY,12/23/2020 09:50:36 EST,12/23/2020 09:53:30 EST
Alto Ingredients Inc,ALTO,Buy,Filled,100,100,@6.45,6.45,DAY,12/23/2020 09:47:57 EST,12/23/2020 09:54:08 EST
Velodyne Lidar Inc,VLDR,Sell,Filled,17,17,@26.06,26.06,DAY,12/23/2020 09:43:10 EST,12/23/2020 09:43:10 EST
FuelCell Energy,FCEL,Sell,Filled,10,10,@12.11,12.11,DAY,12/23/2020 09:42:00 EST,12/23/2020 09:42:01 EST
Perion Network,PERI,Buy,Filled,20,20,@16.00,16.00,DAY,12/23/2020 09:36:14 EST,12/23/2020 09:36:21 EST
FuelCell Energy,FCEL,Sell,Filled,10,10,@12.10,12.10,DAY,12/23/2020 09:32:32 EST,12/23/2020 09:32:32 EST
LITHIUM AMERS,LAC,Buy,Filled,30,30,@10.34,10.34,DAY,12/22/2020 12:25:54 EST,12/22/2020 12:25:57 EST
FORUM MERGER III,FIII,Buy,Filled,70,70,@12.32,12.32,DAY,12/22/2020 12:22:26 EST,12/22/2020 12:22:26 EST
LITHIUM AMERS,LAC,Buy,Filled,50,50,@10.45,10.45,DAY,12/22/2020 12:19:47 EST,12/22/2020 12:19:51 EST
InterPrivate Acquisition Corp,IPV,Sell,Filled,10,10,@17.79,17.79,DAY,12/22/2020 12:07:32 EST,12/22/2020 12:07:32 EST
Alto Ingredients Inc,ALTO,Buy,Filled,70,70,@6.13,6.13,DAY,12/22/2020 11:59:30 EST,12/22/2020 11:59:30 EST
Collective Growth Corporation,CGRO,Sell,Filled,25,25,@13.98,13.98,DAY,12/22/2020 11:48:17 EST,12/22/2020 11:48:51 EST
Digital Turbine,APPS,Sell,Filled,5,5,@58.59,58.59,DAY,12/22/2020 11:47:33 EST,12/22/2020 11:47:34 EST
Clover Health Investments Corp,CLOV,Sell,Filled,20,20,@12.90,12.90,DAY,12/22/2020 11:44:50 EST,12/22/2020 11:45:15 EST
XL Fleet,XL,Sell,Filled,25,25,@17.47,17.47,DAY,12/22/2020 11:44:14 EST,12/22/2020 11:44:34 EST
XL Fleet,XL,Sell,Filled,10,10,@17.55,17.55,DAY,12/22/2020 11:42:58 EST,12/22/2020 11:43:03 EST
EHang Holdings Ltd,EH,Sell,Filled,15,15,@25.30,25.30,DAY,12/22/2020 11:26:47 EST,12/22/2020 11:26:48 EST
Alto Ingredients Inc,ALTO,Buy,Filled,150,150,@6.08,6.08,DAY,12/22/2020 11:18:39 EST,12/22/2020 11:18:40 EST
XL Fleet,XL,Sell,Cancelled,0,10,@17.98,,DAY,12/22/2020 11:00:31 EST,
FuelCell Energy,FCEL,Sell,Filled,40,40,@11.04,11.04,DAY,12/22/2020 10:46:59 EST,12/22/2020 10:47:00 EST
OCEAN POWER TECH,OPTT,Buy,Filled,150,150,@2.84,2.84,DAY,12/22/2020 10:35:06 EST,12/22/2020 10:47:11 EST
Tattooed Chef  Inc.,TTCF,Sell,Filled,35,35,@24.67,24.67,DAY,12/22/2020 10:23:19 EST,12/22/2020 10:23:32 EST
Rada,RADA,Buy,Filled,40,40,@9.85,9.85,GTC,12/22/2020 09:58:29 EST,12/22/2020 10:40:06 EST
Velodyne Lidar Inc,VLDR,Sell,Filled,8,8,@27.37,27.37,DAY,12/22/2020 09:47:54 EST,12/22/2020 09:47:57 EST
XL Fleet,XL,Sell,Cancelled,0,35,@18.90,,DAY,12/22/2020 09:31:54 EST,
GigCapital2 Inc,GIX,Sell,Filled,50,50,@10.34,10.34,DAY,12/21/2020 12:09:31 EST,12/21/2020 12:30:00 EST
Perion Network,PERI,Buy,Filled,25,25,@13.62,13.62,DAY,12/21/2020 12:08:40 EST,12/21/2020 12:08:41 EST
Array Technologies  Inc.,ARRY,Buy,Filled,10,10,@44.50,44.50,GTC,12/21/2020 12:03:13 EST,12/22/2020 10:48:04 EST
Advent Technologies Holdings Inc,ADN,Buy,Filled,50,50,@13.68,13.68,GTC,12/21/2020 11:57:40 EST,12/22/2020 11:41:12 EST
Livexlive Media,LIVX,Sell,Filled,80,80,@3.45,3.45,DAY,12/21/2020 11:56:08 EST,12/21/2020 11:56:09 EST
GrubHub,GRUB,Sell,Filled,2,2,@72.63,72.63,DAY,12/21/2020 11:49:45 EST,12/21/2020 11:49:46 EST
Ozon Holdings PLC,OZON,Sell,Filled,5,5,@44.48,44.48,DAY,12/21/2020 11:48:46 EST,12/21/2020 11:48:46 EST
AG Mortgage,MITT,Sell,Filled,40,40,@3.10,3.10,DAY,12/21/2020 11:48:14 EST,12/21/2020 15:59:59 EST
Desktop Metal Inc,DM,Buy,Cancelled,0,30,@17.00,,GTC,12/21/2020 11:44:25 EST,
GigCapital3,GIK,Buy,Filled,100,100,@11.63,11.63,DAY,12/21/2020 11:32:10 EST,12/21/2020 11:32:10 EST
E2open Parent Holdings Inc,ETWO,Sell,Filled,200,200,@10.36,10.36,DAY,12/21/2020 10:28:27 EST,12/21/2020 10:28:52 EST
Advent Technologies Holdings Inc,ADN,Buy,Cancelled,0,50,@12.80,,DAY,12/21/2020 10:27:25 EST,
Trident Acquisitions,TDAC,Buy,Filled,100,100,@12.20,12.20,DAY,12/21/2020 10:10:03 EST,12/21/2020 10:10:06 EST
AGEAGLE AERIAL,UAVS,Buy,Cancelled,0,50,@4.07,,DAY,12/21/2020 09:52:00 EST,
XL Fleet,XL,Sell,Filled,15,15,@18.43,18.43,DAY,12/21/2020 09:47:29 EST,12/21/2020 09:47:30 EST
Quanterix,QTRX,Buy,Filled,25,25,@43.55,43.55,DAY,12/21/2020 09:42:37 EST,12/21/2020 09:43:12 EST
IZEA Worldwide,IZEA,Buy,Cancelled,0,600,@1.09,,DAY,12/21/2020 09:36:59 EST,
Digital Turbine,APPS,Buy,Filled,5,5,@53.60,53.60,DAY,12/21/2020 05:48:49 EST,12/21/2020 05:51:49 EST
EHang Holdings Ltd,EH,Buy,Filled,15,15,@19.80,19.80,DAY,12/17/2020 11:21:49 EST,12/17/2020 11:36:59 EST
NEWBORN ACQUISITION CORP,NBAC,Buy,Filled,80,80,@14.82,14.82,DAY,12/17/2020 11:00:45 EST,12/17/2020 11:03:04 EST
Palomar Holdings Inc,PLMR,Sell,Filled,4,4,@86.65,86.65,DAY,12/17/2020 10:52:23 EST,12/17/2020 10:52:24 EST
Fisker Inc,FSR,Buy,Filled,15,15,@16.00,16.00,DAY,12/17/2020 10:50:57 EST,12/17/2020 11:04:20 EST
EHang Holdings Ltd,EH,Buy,Cancelled,0,20,@19.50,,DAY,12/16/2020 11:56:42 EST,
Revolve Group,RVLV,Sell,Filled,18,18,@26.79,26.79,DAY,12/16/2020 09:39:55 EST,12/16/2020 09:39:58 EST
American Well Corp,AMWL,Sell,Filled,20,20,@29.50,29.50,GTC,12/15/2020 11:20:38 EST,12/15/2020 12:02:32 EST
American Well Corp,AMWL,Sell,Cancelled,0,20,@33.75,,GTC,12/15/2020 11:20:38 EST,
Hyliion Holdings Corporation,HYLN,Sell,Filled,25,25,@15.71,15.71,DAY,12/15/2020 10:37:46 EST,12/15/2020 10:44:34 EST
Livexlive Media,LIVX,Sell,Filled,50,50,@2.74,2.74,DAY,12/15/2020 10:21:37 EST,12/15/2020 11:23:39 EST
Romeo Power Inc,RMO,Sell,Filled,30,30,@18.00,18.00,GTC,12/15/2020 09:58:33 EST,12/15/2020 15:22:02 EST
Romeo Power Inc,RMO,Sell,Cancelled,0,30,@20.70,,GTC,12/15/2020 09:58:33 EST,
American Well Corp,AMWL,Sell,Filled,10,10,@32.86,32.86,DAY,12/15/2020 09:49:55 EST,12/15/2020 09:50:00 EST
VAXART,VXRT,Sell,Filled,50,50,@7.69,7.69,DAY,12/15/2020 09:49:14 EST,12/15/2020 09:53:16 EST
Tattooed Chef  Inc.,TTCF,Sell,Filled,30,30,@20.50,20.50,DAY,12/15/2020 09:46:37 EST,12/15/2020 10:04:06 EST
FuelCell Energy,FCEL,Buy,Filled,100,100,@8.09,8.09,DAY,12/15/2020 09:36:17 EST,12/15/2020 09:36:17 EST
E2open Parent Holdings Inc,ETWO,Buy,Filled,200,200,@10.40,10.40,DAY,12/15/2020 05:18:24 EST,12/15/2020 08:48:18 EST
Velodyne Lidar Inc,VLDR,Sell,Cancelled,0,25,18.40,,GTC,12/14/2020 11:28:05 EST,
Velodyne Lidar Inc,VLDR,Sell,Cancelled,0,25,@21.26,,GTC,12/14/2020 11:28:05 EST,
Palomar Holdings Inc,PLMR,Buy,Cancelled,0,6,@74.00,,GTC,12/14/2020 11:21:46 EST,
Romeo Power Inc,RMO,Sell,Cancelled,0,10,@20.80,,DAY,12/14/2020 11:15:53 EST,
XL Fleet,XL,Buy,Filled,50,50,@15.30,15.30,DAY,12/14/2020 10:20:40 EST,12/14/2020 10:20:41 EST
Tuscan Holdings Corp,THCB,Sell,Filled,190,190,@14.00,14.00,GTC,12/14/2020 09:55:36 EST,12/14/2020 15:53:17 EST
Tuscan Holdings Corp,THCB,Sell,Cancelled,0,190,@16.19,,GTC,12/14/2020 09:55:36 EST,
Advent Technologies Holdings Inc,ADN,Sell,Filled,70,70,@12.20,12.20,GTC,12/14/2020 09:48:12 EST,12/15/2020 14:37:22 EST
Advent Technologies Holdings Inc,ADN,Sell,Cancelled,0,70,@14.82,,GTC,12/14/2020 09:48:12 EST,
Tattooed Chef  Inc.,TTCF,Sell,Filled,30,30,@19.30,19.30,DAY,12/14/2020 09:40:50 EST,12/14/2020 10:00:07 EST
FOLEY TRASIMENE,BFT,Sell,Filled,20,20,@15.21,15.21,DAY,12/14/2020 09:38:40 EST,12/14/2020 09:38:42 EST
Livexlive Media,LIVX,Sell,Filled,70,70,@3.00,3.00,DAY,12/11/2020 11:35:11 EST,12/11/2020 11:35:31 EST
Longview Acquisition Corp.,LGVW,Sell,Filled,20,20,@15.35,15.35,DAY,12/11/2020 11:22:28 EST,12/11/2020 11:22:29 EST
Livexlive Media,LIVX,Sell,Filled,100,100,@2.96,2.96,DAY,12/11/2020 11:09:20 EST,12/11/2020 11:09:35 EST
Rekor Systems Inc,REKR,Sell,Filled,100,100,@5.27,5.27,DAY,12/11/2020 11:05:10 EST,12/11/2020 11:05:11 EST
Romeo Power Inc,RMO,Sell,Filled,10,10,@22.68,22.68,DAY,12/11/2020 11:01:47 EST,12/11/2020 11:02:36 EST
Revolve Group,RVLV,Sell,Filled,17,17,@23.56,23.56,DAY,12/11/2020 10:57:48 EST,12/11/2020 10:57:49 EST
VAXART,VXRT,Buy,Filled,50,50,@7.75,7.75,DAY,12/11/2020 10:37:59 EST,12/11/2020 10:37:59 EST
FOLEY TRASIMENE,BFT,Sell,Filled,25,25,@14.03,14.03,DAY,12/11/2020 10:25:21 EST,12/11/2020 10:25:22 EST
Collective Growth Corporation,CGRO,Sell,Cancelled,0,8,@14.89,,DAY,12/11/2020 09:38:55 EST,
Collective Growth Corporation,CGRO,Sell,Filled,15,15,@17.03,17.03,DAY,12/11/2020 07:35:33 EST,12/11/2020 07:35:34 EST
Tuscan Holdings Corp,THCB,Sell,Filled,40,40,@15.00,15.00,GTC,12/10/2020 11:49:18 EST,12/14/2020 09:50:58 EST
GigCapital2 Inc,GIX,Buy,Filled,150,150,@10.40,10.40,DAY,12/10/2020 11:35:07 EST,12/10/2020 11:47:21 EST
Fisker Inc,FSR,Buy,Filled,10,10,@15.55,15.55,DAY,12/10/2020 09:44:46 EST,12/10/2020 09:44:46 EST
BigCommerce Holdings  Inc.,BIGC,Buy,Cancelled,0,4,@72.50,,DAY,12/10/2020 09:33:07 EST,
EHang Holdings Ltd,EH,Buy,Filled,6,6,@18.95,18.95,DAY,12/10/2020 09:25:24 EST,12/10/2020 09:33:28 EST
Tuscan Holdings Corp,THCB,Sell,Filled,50,50,@15.55,15.55,DAY,12/10/2020 08:00:04 EST,12/10/2020 08:00:33 EST
Clover Health Investments Corp,CLOV,Buy,Filled,100,100,@11.36,11.36,DAY,12/09/2020 11:02:04 EST,12/09/2020 11:02:05 EST
Longview Acquisition Corp.,LGVW,Sell,Filled,20,20,@15.99,15.99,DAY,12/09/2020 10:39:00 EST,12/09/2020 10:40:14 EST
Velodyne Lidar Inc,VLDR,Sell,Filled,20,20,@19.50,19.50,GTC,12/09/2020 10:38:31 EST,12/09/2020 13:44:28 EST
Velodyne Lidar Inc,VLDR,Sell,Cancelled,0,20,@22.30,,GTC,12/09/2020 10:38:31 EST,
LiveRamp,RAMP,Sell,Filled,10,10,@68.73,68.73,GTC,12/09/2020 10:21:30 EST,12/09/2020 12:48:43 EST
LiveRamp,RAMP,Sell,Cancelled,0,10,@77.66,,GTC,12/09/2020 10:21:30 EST,
EHang Holdings Ltd,EH,Buy,Filled,20,20,@21.68,21.68,DAY,12/09/2020 10:11:22 EST,12/09/2020 10:11:26 EST
Palomar Holdings Inc,PLMR,Sell,Filled,6,6,@67.90,67.90,DAY,12/09/2020 10:10:30 EST,12/09/2020 10:16:58 EST
Tuscan Holdings Corp,THCB,Sell,Filled,20,20,@14.61,14.61,DAY,12/09/2020 09:49:07 EST,12/09/2020 09:51:38 EST
Tuscan Holdings Corp,THCB,Sell,Filled,50,50,@13.89,13.89,DAY,12/09/2020 09:36:50 EST,12/09/2020 09:36:51 EST
Palomar Holdings Inc,PLMR,Sell,Cancelled,0,5,@70.37,,DAY,12/09/2020 09:28:47 EST,
FOLEY TRASIMENE,BFT,Buy,Filled,5,5,@12.60,12.60,DAY,12/08/2020 10:43:41 EST,12/08/2020 11:35:44 EST
Palomar Holdings Inc,PLMR,Buy,Filled,10,10,@71.50,71.50,GTC,12/08/2020 10:06:25 EST,12/08/2020 10:08:34 EST
GrubHub,GRUB,Sell,Filled,7,7,@67.56,67.56,DAY,12/08/2020 09:53:48 EST,12/08/2020 09:53:49 EST
Tuscan Holdings Corp,THCB,Buy,Filled,50,50,@12.23,12.23,DAY,12/08/2020 09:50:44 EST,12/08/2020 09:50:45 EST
Revolve Group,RVLV,Buy,Filled,15,15,@25.00,25.00,DAY,12/08/2020 09:49:01 EST,12/08/2020 09:49:02 EST
Advent Technologies Holdings Inc,ADN,Buy,Filled,70,70,@12.84,12.84,DAY,12/08/2020 09:34:08 EST,12/08/2020 09:34:10 EST
Shift4 Payments  Inc.,FOUR,Sell,Filled,20,20,@61.00,61.00,DAY,12/08/2020 09:02:32 EST,12/08/2020 09:30:01 EST
Velodyne Lidar Inc,VLDR,Sell,Filled,20,20,@20.25,20.25,GTC,12/08/2020 06:10:50 EST,12/08/2020 06:23:24 EST
InterPrivate Acquisition Corp,IPV,Sell,Filled,50,50,@15.00,15.00,GTC,12/08/2020 05:13:55 EST,12/08/2020 09:46:28 EST
InterPrivate Acquisition Corp,IPV,Sell,Filled,30,30,@15.35,15.35,DAY,12/08/2020 04:59:22 EST,12/08/2020 05:00:25 EST
FOLEY TRASIMENE,BFT,Buy,Filled,40,40,@14.32,14.32,DAY,12/08/2020 04:02:25 EST,12/08/2020 04:29:04 EST
Collective Growth Corporation,CGRO,Buy,Filled,40,40,@13.87,13.87,DAY,12/07/2020 09:49:52 EST,12/07/2020 10:08:19 EST
Tattooed Chef  Inc.,TTCF,Buy,Filled,80,80,@16.25,16.25,DAY,12/07/2020 09:45:31 EST,12/07/2020 09:45:48 EST
FuelCell Energy,FCEL,Buy,Filled,120,120,@8.40,8.40,DAY,12/07/2020 09:11:38 EST,12/07/2020 09:30:04 EST
InterPrivate Acquisition Corp,IPV,Sell,Filled,50,50,@13.57,13.57,DAY,12/07/2020 09:04:50 EST,12/07/2020 09:32:50 EST
Mohawk Group Holdings Inc,MWK,Buy,Filled,50,50,@9.50,9.50,DAY,12/04/2020 12:31:00 EST,12/04/2020 12:31:00 EST
Ozon Holdings PLC,OZON,Buy,Filled,10,10,@46.50,46.50,GTC,12/04/2020 11:45:27 EST,12/07/2020 10:13:40 EST
Tuscan Holdings Corp,THCB,Buy,Filled,40,40,@11.70,11.70,DAY,12/04/2020 11:34:34 EST,12/04/2020 11:34:34 EST
Niu Technologies,NIU,Buy,Filled,10,10,@27.99,27.99,DAY,12/04/2020 11:16:05 EST,12/04/2020 11:16:33 EST
Tuscan Holdings Corp,THCB,Buy,Filled,10,10,@11.58,11.58,DAY,12/04/2020 10:56:33 EST,12/04/2020 10:56:34 EST
Digital Turbine,APPS,Buy,Filled,8,8,@42.52,42.52,DAY,12/04/2020 10:34:53 EST,12/04/2020 10:35:09 EST
iClick,ICLK,Sell,Filled,70,70,@7.24,7.24,DAY,12/04/2020 10:12:28 EST,12/04/2020 10:12:29 EST
Velodyne Lidar Inc,VLDR,Buy,Filled,20,20,@16.56,16.56,DAY,12/04/2020 10:03:14 EST,12/04/2020 10:16:17 EST
InterPrivate Acquisition Corp,IPV,Buy,Filled,200,200,@12.20,12.20,DAY,12/04/2020 09:58:36 EST,12/04/2020 10:24:29 EST
Voxx Internatrnl,VOXX,Buy,Filled,40,40,@12.06,12.06,GTC,12/03/2020 13:09:32 EST,12/15/2020 10:26:00 EST
Tuscan Holdings Corp,THCB,Buy,Filled,100,100,@11.69,11.69,DAY,12/03/2020 12:37:08 EST,12/03/2020 12:37:08 EST
Velodyne Lidar Inc,VLDR,Buy,Filled,5,5,@15.04,15.04,DAY,12/03/2020 10:58:47 EST,12/03/2020 11:00:11 EST
