,Symbol,Expiration,Size,Strike,Spot,Received,dt,Type,Cap,diff
0,DD,2021/02/19,$11.81M,120.0,72.86,2021/02/02 04:29,20210201,Put,11810.0,17
1,GE,2023/01/20,$1.12M,10.0,10.8,2021/02/02 04:28,20210201,Call,1120.0,717
2,RFP,2021/07/16,$125.00K,12.5,8.7,2021/02/02 04:27,20210201,Call,125.0,164
3,SIRI,2021/03/19,$36.92K,8.0,6.25,2021/02/02 04:25,20210201,Call,36.92,45
4,NLOK,2022/01/21,$174.60K,15.0,21.42,2021/02/02 04:25,20210201,Put,174.6,353
5,GME,2021/02/19,$37.58M,22.0,231.2,2021/02/02 04:24,20210201,Call,37580.0,17
6,GME,2021/04/16,$45.90M,12.0,231.2,2021/02/02 04:24,20210201,Call,45900.0,73
7,ZM,2021/03/19,$19.85M,380.0,379.1,2021/02/02 04:24,20210201,Call,19850.0,45
8,ZM,2021/03/19,$20.00M,380.0,379.1,2021/02/02 04:24,20210201,Put,20000.0,45
9,GE,2021/06/18,$49.04K,16.0,10.8,2021/02/02 04:23,20210201,Call,49.04,136
10,BB,2022/01/21,$703.89K,10.0,14.74,2021/02/02 04:22,20210201,Put,703.89,353
11,CMCSA,2023/01/20,$414.00K,65.0,49.98,2021/02/02 04:21,20210201,Call,414.0,717
12,SNDL,2021/02/19,$60.66K,1.0,1.09,2021/02/02 04:18,20210201,Put,60.66,17
13,CSCO,2022/01/21,$2.50M,45.0,45.42,2021/02/02 04:18,20210201,Call,2500.0,353
14,GE,2021/06/18,$32.63K,16.0,10.84,2021/02/02 04:17,20210201,Call,32.63,136
15,GE,2021/03/19,$247.50K,10.0,10.84,2021/02/02 04:15,20210201,Call,247.5,45
16,BABA,2021/03/19,$2.64M,265.0,262.55,2021/02/02 04:14,20210201,Put,2640.0,45
17,MU,2021/02/19,$372.14K,89.0,80.29,2021/02/02 04:12,20210201,Call,372.14,17
18,WMT,2021/02/19,$278.38K,150.0,139.41,2021/02/02 04:11,20210201,Call,278.38,17
19,TLRY,2021/02/05,$28.00K,25.0,18.98,2021/02/02 04:09,20210201,Call,28.0,3
20,DD,2021/02/12,$180.00K,120.0,72.7,2021/02/02 04:08,20210201,Call,180.0,10
21,DD,2021/02/12,$284.10M,120.0,72.7,2021/02/02 04:08,20210201,Put,284100.0,10
22,CGRO,2021/03/19,$138.90K,17.5,13.19,2021/02/02 04:08,20210201,Call,138.9,45
23,MDT,2021/02/26,$1.01M,114.0,111.68,2021/02/02 04:05,20210201,Call,1010.0,24
24,MDT,2021/02/19,$377.00K,115.0,111.68,2021/02/02 04:05,20210201,Call,377.0,17
25,MDT,2021/02/19,$267.80K,107.0,111.68,2021/02/02 04:05,20210201,Put,267.8,17
26,BHC,2021/02/05,$19.95K,28.0,25.95,2021/02/02 04:04,20210201,Call,19.95,3
27,DD,2021/02/19,$30.00K,100.0,72.22,2021/02/02 04:00,20210201,Call,30.0,17
28,DD,2021/02/19,$5.58M,100.0,72.22,2021/02/02 04:00,20210201,Put,5580.0,17
29,SABR,2021/04/16,$123.13K,15.0,11.23,2021/02/02 03:59,20210201,Call,123.13,73
30,SABR,2021/04/16,$110.82K,9.0,11.23,2021/02/02 03:59,20210201,Put,110.82,73
31,DD,2021/02/19,$78.50K,105.0,72.24,2021/02/02 03:59,20210201,Call,78.5,17
32,DD,2021/02/19,$25.83M,105.0,72.24,2021/02/02 03:59,20210201,Put,25830.0,17
33,ZNGA,2021/02/12,$52.50K,12.0,10.12,2021/02/02 03:58,20210201,Call,52.5,10
34,DD,2021/02/05,$9.75K,60.0,72.14,2021/02/02 03:58,20210201,Put,9.75,3
35,DD,2021/02/05,$260.00K,70.0,72.14,2021/02/02 03:58,20210201,Put,260.0,3
36,PCG,2021/02/19,$206.22K,12.0,11.51,2021/02/02 03:56,20210201,Call,206.22,17
37,PCG,2021/02/19,$198.85K,11.0,11.51,2021/02/02 03:56,20210201,Put,198.85,17
38,SIRI,2021/02/19,$187.00K,6.0,6.27,2021/02/02 03:53,20210201,Put,187.0,17
39,GE,2021/06/18,$60.14K,16.0,10.87,2021/02/02 03:51,20210201,Call,60.14,136
40,TPR,2021/03/19,$234.38K,35.0,31.89,2021/02/02 03:48,20210201,Call,234.38,45
41,JMIA,2021/02/05,$315.44K,80.0,61.15,2021/02/02 03:48,20210201,Call,315.44,3
42,VIAC,2021/04/16,$465.00K,44.0,52.24,2021/02/02 03:45,20210201,Put,465.0,73
43,NOK,2022/01/21,$187.96K,7.0,4.95,2021/02/02 03:44,20210201,Call,187.96,353
44,GSAT,2021/02/19,$39.40K,1.0,1.05,2021/02/02 03:44,20210201,Call,39.4,17
45,GSAT,2021/02/19,$40.00K,1.0,1.05,2021/02/02 03:43,20210201,Call,40.0,17
46,PCH,2021/02/19,$194.00K,55.0,49.09,2021/02/02 03:42,20210201,Call,194.0,17
47,NOK,2021/02/19,$32.79K,12.0,4.96,2021/02/02 03:42,20210201,Call,32.79,17
48,GPS,2021/02/19,$89.61K,23.0,20.28,2021/02/02 03:42,20210201,Call,89.61,17
49,MRO,2021/02/05,$45.32K,7.5,7.44,2021/02/02 03:42,20210201,Call,45.32,3
50,PCG,2021/06/18,$177.50K,14.0,11.56,2021/02/02 03:41,20210201,Call,177.5,136
51,GCI,2021/03/19,$28.75K,7.5,4.56,2021/02/02 03:41,20210201,Call,28.75,45
52,CCJ,2021/03/19,$670.00K,13.0,14.82,2021/02/02 03:39,20210201,Call,670.0,45
53,CCJ,2021/03/19,$420.00K,15.0,14.82,2021/02/02 03:39,20210201,Call,420.0,45
54,ZI,2021/02/19,$120.00K,60.0,49.88,2021/02/02 03:39,20210201,Call,120.0,17
55,VIAC,2021/03/19,$5.09M,50.0,52.14,2021/02/02 03:38,20210201,Put,5090.0,45
56,SLQT,2021/02/19,$59.50K,17.5,21.35,2021/02/02 03:38,20210201,Put,59.5,17
57,GE,2021/03/19,$248.00K,10.0,10.84,2021/02/02 03:33,20210201,Call,248.0,45
58,EVRI,2021/03/19,$170.00K,15.0,13.62,2021/02/02 03:29,20210201,Call,170.0,45
59,LAC,2021/02/19,$359.71K,22.5,19.64,2021/02/02 03:24,20210201,Call,359.71,17
60,TIGR,2021/04/16,$1.84M,25.0,18.93,2021/02/02 03:22,20210201,Call,1840.0,73
61,TIGR,2021/04/16,$1.30M,20.0,18.93,2021/02/02 03:22,20210201,Call,1300.0,73
62,TIGR,2021/04/16,$756.00K,30.0,18.93,2021/02/02 03:22,20210201,Call,756.0,73
63,USFD,2021/07/16,$551.26K,40.0,31.3,2021/02/02 03:20,20210201,Call,551.26,164
64,USFD,2021/07/16,$1.43M,35.0,31.3,2021/02/02 03:20,20210201,Call,1430.0,164
65,M,2021/02/19,$63.72K,20.0,14.78,2021/02/02 03:20,20210201,Call,63.72,17
66,BABA,2021/06/18,$7.35M,270.0,261.39,2021/02/02 03:19,20210201,Call,7350.0,136
67,BABA,2021/06/18,$12.25M,270.0,261.39,2021/02/02 03:19,20210201,Call,12250.0,136
68,BABA,2021/06/18,$16.25M,270.0,261.39,2021/02/02 03:19,20210201,Put,16250.0,136
69,BABA,2021/06/18,$9.75M,270.0,261.39,2021/02/02 03:19,20210201,Put,9750.0,136
70,MO,2021/03/19,$180.00K,42.5,40.94,2021/02/02 03:19,20210201,Call,180.0,45
71,TSM,2021/02/19,$555.00K,136.0,125.91,2021/02/02 03:19,20210201,Call,555.0,17
72,M,2021/02/19,$117.00K,22.0,14.77,2021/02/02 03:17,20210201,Call,117.0,17
73,IFF,2021/02/19,$7.90M,150.0,130.42,2021/02/02 03:15,20210201,Put,7900.0,17
74,IFF,2021/02/19,$456.00K,150.0,130.42,2021/02/02 03:15,20210201,Call,456.0,17
75,PBR,2021/03/19,$27.93K,13.0,10.26,2021/02/02 03:12,20210201,Call,27.93,45
76,SQ,2021/03/19,$7.84M,230.0,220.88,2021/02/02 03:08,20210201,Put,7840.0,45
77,SQ,2021/03/19,$5.03M,230.0,220.88,2021/02/02 03:08,20210201,Call,5030.0,45
78,NOK,2021/06/18,$265.00K,8.0,4.85,2021/02/02 03:08,20210201,Call,265.0,136
79,SQ,2021/03/19,$7.80M,230.0,220.73,2021/02/02 03:07,20210201,Put,7800.0,45
80,SQ,2021/03/19,$5.10M,230.0,220.73,2021/02/02 03:07,20210201,Call,5100.0,45
81,SQ,2021/03/19,$30.43M,320.0,220.65,2021/02/02 03:07,20210201,Put,30430.0,45
82,DKNG,2023/01/20,$1.25M,25.0,54.96,2021/02/02 03:01,20210201,Put,1250.0,717
